Reg. No.,Project Name,Project Land Area (Sq Mtrs),Total Open Area (Sq Mtrs),Project Address,Project End Date,Type,Total Units,Total No. of Towers/Blocks,Promoter name,Promoter Type,Total no. Of Years Of Work Experience Of Group Entity In Gujarat,Total no. Of Completed Projects By Group Entity,Architect Name,Pool Avaliable,Disposal Of Sewage Water Avaliable,Lift Avaliable,Garden Avaliable,Security Avaliable,Drinking Water Avaliable,Water Conservation Avaliable,Water Supply Avaliable,Renewable Energy Avaliable,Community Hall Avaliable,Fire Safety Avaliable,Road Avaliable
PR/GJ/SURAT/CHORASI/SUDA/RAA06320/A2R/060523,ORCHID FANTASIA,"12,110","8,103.05","TPS NO. 43 (JAHANGIRABAD), BLOCK NO.78/B, OP NO.14, Chorasi, Surat, Gujarat,",30/06/2026,Residential/Group Housing,616,14,BHAVYARAJ DEVELOPERS,PARTNERSHIP FIRM,5,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/CHORASI/SUDA/RAA02764/310518,NAKSHATRA GALAXIA,"10,197","7,420.84","BLOCK NO 208 FP NO 118 TPS NO 9 PALANPOR BHESAN, Chorasi, Surat, Gujarat, 395005",30/06/2024,Residential/Group Housing,361,6,HAPPY HOME DEVELOPERS,PARTNERSHIP FIRM,12,0,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/CHORASI/SUDA/RAA00246/250917,Nakshatra Nebula Phase-2,"26,166","12,620.33","Block No.141, F.P.No.56, T.P.S.No.44 (Jahangirabad), , Chorasi, Surat, Gujarat, 395005",31/03/2019,Residential/Group Housing,416,8,HAPPY HOME DEVELOPERS,PARTNERSHIP FIRM,12,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/RAJKOT/RAJKOT/Rajkot Municipal Corporation/MAA14049/280824/311227,SANKALP SIDDH VIVANT,"1,178.38",550.59,"SANKALP SIDDH VIVANT, SOMNATH MAIN ROAD, OPP. AADITYA HEIGHTS,, Rajkot, Rajkot, GUJARAT, 360005",31/12/2027,Mixed Development,72,1,SHREE CONSTRUCTION,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/RAJKOT/RAJKOT/Others/RAA12607/081123,R K HIGHSTREET,"11,684.94","3,782.13","NEAR SHITAL PARK CIRCLE, Rajkot, Rajkot, Gujarat,",31/12/2027,Residential/Group Housing,208,4,VIVAN BUILDTECH LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/KALOL/AUDA/RAA09873/280222,JOY,"14,913","10,341","SUPERCITY JOY, Kalol, Gandhinagar, Gujarat,",31/12/2026,Residential/Group Housing,808,10,SHRINIVAS ORGANISORS PRIVATE LIMITED,COMPANY,8,3,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/KALOL/AUDA/RAA00507/A1R/280921,SUPER CITY PHASE 2 HONOUR,"27,047","10,604","BHADAJ DENTAL COLLEGE ROAD, Kalol, Gandhinagar, Gujarat, 382721",30/12/2021,Residential/Group Housing,134,1,SHRINIVAS ORGANISORS PRIVATE LIMITED,COMPANY,8,3,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/GANDHINAGAR/KALOL/AUDA/RAA00455/141017,SUPER CITY PHASE 2 DREAM,"44,540","14,813","BHADAJ DENTAL COLLEGE ROAD,, Kalol, Gandhinagar, Gujarat, 382721",30/09/2021,Residential/Group Housing,156,1,SHRINIVAS ORGANISORS PRIVATE LIMITED,COMPANY,8,3,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00023/EX1/100119,SUPER CITY PHASE 1,"1,40,211","48,495","BHADAJ DENTAL COLLEGE ROAD, Kalol, Gandhinagar, Gujarat, 382721",31/05/2019,Mixed Development,408,4,SHRINIVAS ORGANISORS PRIVATE LIMITED,COMPANY,8,3,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA12307/250923,TULSI PARADISE,"4,037","2,634.3","B/h Parshwanath Metro city, Nr Shyam Elegance, T.P No. 46, S P Ring Road, , Gandhinagar, Gandhinagar, Gujarat,",31/03/2027,Residential/Group Housing,120,3,TULSI PARADISE,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA11904/030623,Polaris Calice,"4,508","2,000.64","Polaris Calice, Dholeshwar Mahadev Road,, Gandhinagar, Gandhinagar, Gujarat,",30/12/2027,Residential/Group Housing,148,1,POLARIS BUILDCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA10931/161122,ASTERIA,"9,207","5,277.29","ASTERIA NEAR GNLU COLLEGE, Gandhinagar, Gandhinagar, Gujarat,",31/12/2026,Residential/Group Housing,192,6,AS BUILDCON,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA10315/130622,Altezza,"3,905","2,786.52","FP 117 and 119 TP 28, Gandhinagar, Gandhinagar, Gujarat,",31/03/2026,Residential/Group Housing,70,3,ALTEZZA INFRA LIMITED LIABILITY PARTNERSHIP,LIMITED LIABILITY PARTNERSHIP FIRM,32,15,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA09353/221121,SRUSHTI,"6,261","3,393.63","FP No.72,TP No.03(GUDA),near PDPU junction, Gandhinagar, Gandhinagar, Gujarat,",31/08/2025,Residential/Group Housing,252,2,K R CORPORATION,PARTNERSHIP FIRM,36,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA09000/070921,SOBHA AVALON,"5,441","2,666","SOBHA AVALON, BLOCK-41, BUILDING FOOTPRINT-41C & 41D, Gandhinagar, Gandhinagar, Gujarat,",31/03/2027,Residential/Group Housing,268,1,SOBHA LIMITED,COMPANY,0,143,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: No,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA05158/EX1/180924/290925,Sobha Dream Heights,"9,008",956.07,"Building No. 41E and 41F, Block 41, Zone 4 , Gandhinagar, Gandhinagar, Gujarat, 382355",29/09/2025,Residential/Group Housing,474,1,SOBHA LIMITED,COMPANY,0,143,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12303/210923,THE ATLANTIS 2,"3,911","2,290.69","The Atlantis 2 , Gandhinagar, Gandhinagar, Gujarat,",30/06/2026,Mixed Development,192,1,SATYAGRAH BUILDERS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12238/010923,The Nest,"9,100","5,306.41","Survey no. 543, Survey no. 548/1 and Survey no. 548/3 total admeasuring 33994 sq mt. covered in draft T.P. Scheme no. 63(Khoraj) and allotted final plot no. 107/1 + 112 admeasuring 9100 sq mtr, Gandhinagar, Gandhinagar, Gujarat,",30/06/2027,Mixed Development,260,4,NEST BUILDSPACE,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12149/170823,STELLA,"6,503","2,773","BLOCK NO 25 BUILDING FOOTPRING 25D, Gandhinagar, Gandhinagar, Gujarat,",30/03/2028,Mixed Development,419,1,BAKERI RESIDENCES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: No,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12134/100723,Vivaan Orbit,"6,313","3,342.09","Survey No. 451, F.P. No. 90, TPS No. 409/B, Vivaan Orbit, Gandhinagar, Gandhinagar, Gujarat,",30/06/2028,Mixed Development,313,1,MEADOWS PROPERTIES,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11999/220623,Vivaan Solitaire,"1,578","1,034.64","Sr. No. 437/2/1, FP 240, Gandhinagar, Gandhinagar, Gujarat,",31/03/2027,Mixed Development,67,1,SPARSH REALTY,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11611/180423,Nirman Sahvas,"6,372","3,737.59","Final Plot No. 42+78/3, O.P. No. 78, Survey No. 869, 1016, 1030, T.P.S. 10 (Adalaj-Por), Gandhinagar, Gandhinagar, Gujarat,",31/12/2028,Mixed Development,282,6,SAHVAS CONSTRUCTION LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11559/060423,SHILP NORTH SKY,"6,918","2,344.18","PLOT NO - 25B & 25C, Gandhinagar, Gandhinagar, Gujarat,",31/03/2028,Mixed Development,668,3,SHILP INFRAPROJECTS PRIVATE LIMITED,COMPANY,5,20,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11459/150323,Vivaan Oliver,"4,674","2,466.31","FP No. 106, TPS No. 409/B, Sr. No. 460, Vivaan Oliver, Gandhinagar, Gandhinagar, Gujarat,",31/12/2027,Mixed Development,221,1,NORTHSIDE PROPERTIES,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11284/020323,SKYLEAF,"2,553","1,654.79","SKYLEAF OPP. DHARTI SILVER,, Gandhinagar, Gandhinagar, Gujarat,",31/12/2026,Mixed Development,122,2,SHREEHARI INFRA,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11224/280223,Vivaan Essence,"3,096","2,054.87","FP No. 109, TPS No. 409/B, Sr. No. 463, Vivaan Essence , Nr. Vivaan Ixora, B/h. Sangath Prominence,, Gandhinagar, Gandhinagar, Gujarat,",30/06/2026,Mixed Development,169,3,NORTHSIDE PROPERTIES,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11100/301222,MARINA,"4,790",127,"GIFT SEZ AT GIFT CITY, Gandhinagar, Gandhinagar, Gujarat,",31/12/2027,Mixed Development,270,3,SAVVY REALTY CREATORS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,35,18,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10843/211022,Satyamev Royal 5,"8,089","4,242.72","TP-16, Nr, Mahakaleshwar Temple, Gandhinagar, Gandhinagar, Gujarat,",31/03/2027,Mixed Development,424,6,SHREE GAYATRI SATYAMEV REALTY PRIVATE LIMITED,COMPANY,25,20,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10283/080622,SAHJANAND SAFAL,"3,521","1,951.46","Survey No 1243 ,OP No 116, Gandhinagar, Gandhinagar, Gujarat,",28/03/2026,Mixed Development,117,2,AKKSHAR INFRA PROJECT,PARTNERSHIP FIRM,10,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: No,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10271/060622,Polaris Casarica,"4,913","1,850","Survey No. 428/1/001, F.P. No. 428/1/PAIKI, Polaris Casarica, Behind Shikshapatri, Near Ashwamegh, Swagat Flamingo Road,, Gandhinagar, Gandhinagar, Gujarat,",31/12/2027,Mixed Development,170,1,POLARIS BUILDCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10077/220422,Shagun Saral 207,"6,940","4,258.99","Shagun Saral 207, Near Shagun 108,, Gandhinagar, Gandhinagar, Gujarat,",30/06/2027,Mixed Development,229,4,AADITYA BUILDCON,PARTNERSHIP FIRM,14,3,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA09919/A1M/180423,Capstone Zuri,"3,521","2,128.84","Capstone Zuri, FP NO 144 (REVENUE SURVEY NO 479/4), TOWN PLANING SCHEM NO 409/B (ZUNDAL),, Gandhinagar, Gandhinagar, Gujarat,",14/12/2025,Mixed Development,131,2,CAPSTONE REALTY,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA07381/250820,Smart Life - II,"6,028.55","3,416.6","Block No.41H, Zone-04,, Gandhinagar, Gandhinagar, Gujarat,",31/12/2025,Mixed Development,178,1,SANGATH INFRASTRUCTURES PRIVATE LIMITED,COMPANY,30,10,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA07345/EX1/020424/300624,Smart Life - I,"6,028.55","3,416.6","Block No.41G, Zone-04, , Gandhinagar, Gandhinagar, Gujarat,",30/06/2024,Mixed Development,179,1,SANGATH INFRASTRUCTURES PRIVATE LIMITED,COMPANY,30,10,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA07212/A1M/060421,Swagat Queen'SLand Phase-2,"11,749","7,591.95","swagat queensland, Nr. Swagat Afford, Gandhinagar, Gandhinagar, Gujarat,",30/04/2025,Mixed Development,264,5,SWAGAT INFRASTRUCTURE P L TD,COMPANY,24,32,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA03405/A1M/EX1/040522,Swagat Queen'S Land Phase - 1,"11,749","7,591.95","Swagat Queen's land, Nr. Swagat Afford, Gandhinagar, Gandhinagar, Gujarat, 382016",31/07/2023,Mixed Development,320,6,SWAGAT INFRASTRUCTURE P L TD,COMPANY,24,32,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/GIFT Urban Development Authority/RN209AA10109/011022,VIDA,"5,128","2,971.93","VIDA, Plot no. 46 J, Block No. 46, Opp. Petrol Pump , Gandhinagar, Gandhinagar, GUJARAT, 382355",30/06/2028,Residential/Group Housing,496,1,Nila Spaces Limited,COMPANY,4,1,,Pool: Yes,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RAA14134/180924/300928,SAAMARTH HERITAGE VILLE,"22,876","12,952.68","NR.KOBA CIRCLE,, Gandhinagar, Gandhinagar, GUJARAT, 382426",30/09/2028,Residential/Group Housing,71,2,YAS INFRACON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RAA13673/120624/311227,Saamarth Twinland,"37,595","21,556.07","NR.KOBA CIRCLE, , Gandhinagar, Gandhinagar, GUJARAT, 382426",31/12/2027,Residential/Group Housing,80,2,YAS INFRACON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RAA13092/A1R/141024/300628,THE ONE,"5,261","2,273.31","BLOCK NO.233+234/17, T.P.5(KUDASAN-RANDESAN-DHOLAKUVA-INDRODA) F.P.NO.101,, Gandhinagar, Gandhinagar, GUJARAT, 382007",30/06/2028,Residential/Group Housing,90,2,BUILDONE PROJECTS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MN38AA09938/230522,Imperia Vista,"4,247.92","2,319.58","Imperia Vista, near Aditya Greens , Gandhinagar, Gandhinagar, GUJARAT, 382421",30/12/2026,Mixed Development,211,1,SMARAK INFRA LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MN330AA10230/310323,PANACHE,"5,222","2,912.13","PANACHE, Beside Tragad Underpass,, Gandhinagar, Gandhinagar, GUJARAT, 382421",30/06/2026,Mixed Development,189,1,AVIBHANAM ROYAL INFRA,PARTNERSHIP FIRM,11,6,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA14416/181124/011229,The Privilon,"5,195","2,506.17","The Privilon, Near Gopal Baugh, Opp. Raysan Petrol Pump , Gandhinagar, Gandhinagar, GUJARAT, 382421",01/12/2029,Mixed Development,152,1,DV DEVELOPERS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228,HILLTOWN PARADISE,"2,358","1,347.54","HILLTOWN PARADISE, SR. NO. 38/A, TP. NO. 19, F.P. NO. 74 , Gandhinagar, Gandhinagar, GUJARAT, 382007",31/12/2028,Mixed Development,85,1,HILLTOWN PARADISE,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13424/300424/300926,THE ATLANTIS WAVE,"2,368","1,427.97","THE ATLANTIS WAVE, B/H CAPSTONE ZURI,SARDAR PATEL RING ROAD, Gandhinagar, Gandhinagar, GUJARAT, 382421",30/09/2026,Mixed Development,146,1,SATYAGRAH DEVELOPERS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA10833/201022,AMBROSIA,"9,952","6,837.03","R 5B (R5 PART) ,AT VILLAGE-DANTALI , Gandhinagar, Gandhinagar, Gujarat,",30/09/2026,Residential/Group Housing,156,3,ADANI ESTATE MANAGEMENT PRIVATE LIMITED,COMPANY,18,13,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA10759/121022,PAARIJAT @ SHANTIGRAM,"6,202.98","4,167.52","Block No 385 (Given New No 205), Gandhinagar, Gandhinagar, Gujarat,",31/07/2027,Residential/Group Housing,112,2,BSA BUILDCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
