Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING
GGM/704/436/2023/48 DATED 29.03.2023,M3M GOLF HILLS PHASE 1,LOON LAND DEVELOPMENT LIMITED,SECTOR 79/ 79B,GURUGRAM,1046.04,250.00,125.00,1080.00,250.00,110.00,595.00,70.00,0.00,0.00,0.00,0.00,0.00,1186.19,20.0438 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATEDWOODEN FLOOR/CERAMIC TILE,NA,EXTERNAL ALUMINIUM WITH GLASSINTERNAL – WOODEN,AS PER APPROVED MAKE,LIFTS AS PER BUILDING PLANS,AS PER APPROVED MAKE,NA
GGM/575/307/2022/50 DATED 13.06.2022,SHREE VARDHMAN MANTRA(RESI.)/ SHOPPING MART,SHREE VARDHMAN BUILDPROP PVT LTD,"SECTOR-67,VILLAGE BADSHAPUR,G
URUGRAM",GURUGRAM,310.43,264.30,124.48,56.00,175.92,43.19,0,7.57,48.22,0,0,0,0,0,11.262 (Acre),31-12-2024,30,CERAMIC TILES/ MARBAL FLOORING,MARBLE COUNTER WITH 2 DADO,HARDWOOD/FLUSH DOORS,ISI MARKED,MARBELE FLOORING/ KOTA STONE,ISI MARKED,OBD
GGM/302/2018/34 DATED 07.12.2018,GODREJ AIR PHASE-III,GODREJ DEVELOPERS & PROPERTIES LLP,"SECTOR-85, GURUGRAM",GURUGRAM,186,67,49,213,46,41,131,57,461,0,10,0,0,0,2.312 (Acre),Not available,Not available,"VITRIFIED TILES IN LIVING/DINING, WOODEN FLOORING IN BEDROOMS, ANTI SKID TILES IN TOILETS, KITCHEN, BALCONY & UTILITY OR EQUIVALENT",COUNTER WITH SINK AND CP FITTINGS OR EQUIVALENT,"TEAK FRAME IN MAIN DOOR, RED MERANTI IN INTERNAL DOORS, ALUMINUM FRAME WITH GLASS FOR WINDOWS & SLIDING DOOR WINDOWS OR EQUIVALENT",ONLY SWITCHES,YES,ONLY SWITCH,N/A
GGM/386/118/2020/02 DATED 06.01.2020,SIGNATUREGLOBAL PROXIMA 2,SIGNATURE INFRABUILD PRIVATE LIMITED,"VILLAGE HAYATPUR, SECTOR 89 G
URUGRAM-MANESAR URBAN COMPLEX, HARYANA",GURUGRAM,107.17,136.98,66.41,0,164.78,14.52,0,13.57,0,0,0,0,0,161.14,4.73125 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/501/233/2021/69 DATED 25.10.2021,M3M SOULITUDE,AAWAM RESIDENCY PRIVATE LIMITED,"SECTOR-89, GURUGRAM MANESAR U
RBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27292.28 (Sqr/mtrs),Not available,Not available,VITRIFIED TILE / LAMINATED WOODEN FLOORING / CERAMIC TILE,GRANITE COUNTER WITH SS SINK,HARDWOOD DOOR FRAME WITH LAMINATED FLUSH/WOODEN DOOR,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,NA
GGM/819/551/2024/46 DATED 22.04.2024,DLF PRIVANA WEST,DLF LIMITED,SECTOR 76/77,GURUGRAM,1745.67,604.12,587.15,2120.71,614.09,253.72,0,2230.94,0,0,0,0,0,678.51,12.572 (Acre),Not available,Not available,TILES/MARBLE/GRANITE/LAMINATED WOODEN,MODULAR KICTHEN WITH APPLIANCES AS PERPOINT 6.6 CABINETRY AND SS SINK,MS/UPVC/ALWOOD/COMPOSITION MATERIAL,SWITCH BOX AND SOCKETS,BRANDED MAKE,SAME AS POINT 8,NA
GGM/831/563/2024/58 DATED 03.06.2024,SIGNATUREGLOBAL TITANIUM SPR,SIGNATUREGLOBAL (INDIA) LIMITED,"VILLAGE- FAZILPUR JHARSA, SEC
TOR-71, GURUGRAM, HARYANA",GURUGRAM,418.53,662.50,222.25,0,274.43,55.19,0,48.06,0,0,0,0,0,0,14.3825 (Acre),Not available,Not available,IMPORTED MARBLE,IMPORTED MARBLE,"HIGH LAMINATED SHUTTER, FLUSH DOOR SHUTTERS",AS/ SELECTION,"PASSENGER LIFT, SERVICE LIFT, PENTHOUSE INTERNAL LIFT, PRIVATE LIFT FOR EACH TOWER / WING",AS/SELECTION,NA
GGM/837/569/2024/64 DATED 14.06.2024,LUSHLANDS,ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,"VILLAGE GWAL PAHARI, SECTOR 0
2, GURUGRAM",GURUGRAM,354.25,59.94,110.89,167.67,60.23,41.68,11.55,154.26,1770.39,0,0,0,0,0,8.349 (Acre),30-06-2029,10,"MARBLE, LAMINATED FLOORING AND WOODEN FLOOR",MARBLE (GREY WILLIAN//EQ UIVALENT)CORIAN COUNTER MODULAR KITCHEN/ EQUIVALENT,DOORS - PANELED DOORS &SS; HARDWARE,ISI STANDARD,AS PER APPLICABLE NORMS,ISI STANDARDS,PAINT FINISH
GGM/823/555/2024/50 DATED 03.05.2024,SEASONS,KEYSTONE WORLD PVT LTD,"SECTOR 77, GURUGRAM",GURUGRAM,162.00,236.00,72.00,100.00,65.00,22.00,450.00,200.00,750,0,100.00,0,0,0,4.0350 (Acre),Not available,Not available,LIVING ROOM / DINING FAMILY LOUNGE - ITALIAN/ IMPORTED MARBLE BED ROOM-LAMINATED WOODEN FLOOR KITCHEN-TILES BATHROOMS - TILES BALCONIES / TERRACES- TILES SERVANT ROOM & TOILET-TILES APARTMENT LIFT LOBBIES (PRIVATE).-ITALIAN/ IMPORTED MARBLE,"CERAMIC TILES ABOVE KITCHEN PLATFORM UPTO APPROXIMATELY 2 FEET AND LOW VOC ACRYLIC EMULSION PAINT IN THE BALANCE AREA,CEILING - LOW VOC ACRYLIC EMULSION PAINT AND PART POP","DOORS - WOODEN FRAME WITH FLUSH DOOR WITH VENEER FINISH (ON BOTH SIDES) & ARCHITRAVES,UPVC FRAMED SINGLE GLAZING UNIT,WOODEN FRAME WITH FLUSH DOOR WITH BOTH SIDE LAMINATED FINISH & ARCHITRAVE",HEAVY DUTY/ MEDIUM DUTY,HIGH SPEED ELEVATORS,MODULAR,LOW VOC ACRYLIC EMULSION
GGM/463/195/2021/31 DATED 13.07.2021,SIGNATURE GLOBAL CITY 37D - 1,SIGNATUREGLOBAL DEVELOPERS PVT LTD,"VILLAGE GADULI KALAN, SECTOR-
37D, GURUGRAM",GURUGRAM,317.82,223.01,97.26,0,194.03,31.60,0,0,0,0,0,0,0,0,15.502 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/716/448/2023/60 DATED 08.05.2023,EMERALD HILLS - PHASE 2,EMAAR INDIA LIMITED,"VILLAGE BADSHAHPUR, MAIDAWAS,
NANGLI UMARPUR, SECTOR - 62 & 65, GURUGRAM",GURUGRAM,1611.74,366.26,811.8,563.68,0,0,29,275.26,0,0,0,0,0,0,50.61 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
GGM/808/540/2024/35 DATED 01.04.2024,SOBHA ARANYA PHASE-1,SOBHA LIMITED,"SECTOR-80, REVENUE ESTATE OF
VILLAGE NAURANGPUR, GURUGRAM",GURUGRAM,490.72,300.70,184.31,0,243.66,34.12,0,12.41,0,0,0,0,0,0,14.81747 (Acre),Not available,Not available,VERTIFIED/CERAMIC TILES,RAK OR EQUIVALENT,TIMBER WITH BOTH SIDE MASONITE SKIN,CLIPSAL- OPALE/EQUIVA LENT,4 FLATS PER FLOOR-D TOWER 3 FLATS PER FLOOR-Z TOWER 3 NO OF LIFTS PER FLOOR,CLIPSAL- OPALE/EQUIVA LENT,EXTERIOR PAINT
GGM/844/576/2024/71 DATED 01.07.2024,M3M ANTALYA HILLS 3,LOON LAND DEVELOPMENT LIMITED,"SECTOR 79 & 79B, GURUGRAM",GURUGRAM,202.20,62.23,27.54,0,33.56,27.46,54.74,43.71,0,0,0,0,0,0,4.17 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATE WOODEN FOR BEDROOM ; ANTISKID CERAMIC TILES FOR TOILET,"VITRIFIED TILES, PLASTER AND OBD",UPVC / ALUMINIUM POWDER COATED FOR EXTERNAL,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,PLASTER AND OBD
GGM/471/203/2021/39 DATED 27.07.2021,SIGNATURE GLOBAL CITY 92,SIGNATURE INFRBUILD PVT. LTD.,"VILLAGE MEVKA, WAZIRPUR, SECT
OR-92, GURUGRAM",GURUGRAM,257.71,188.81,58.26,0,106.59,15.81,0,0,0,0,0,0,0,0,7.806 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/477/209/2021/45 DATED 27.07.2021,SIGNATURE GLOBAL CITY 81,STERNAL BUILDCON PRIVATE LIMITED,"VILLAGE NAKHDOLA, SECTOR 81",GURUGRAM,213.44,159.73,51.82,0,127.33,18.38,0,0,0,0,0,0,0,261.50,11.9778 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/663/395/2023/07 DATED 12.01.2023,THE ASPEN,WHITELAND CORPORATION PRIVATE LIMITED,"DARBARIPUR ROAD, SECTOR 76",GURUGRAM,754.50,294.00,252.00,5292.0,294.00,192.00,2940.0,375.00,0,0,84.00,81.38,0,959.00,11.96 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/671/403/2023/15 DATED 23.01.2023,THE SIXTY THREE,DLF HOME DEVELOPERS LIMITED,"SECTOR 63, GURUGRAM, HARYANA-
122102",GURUGRAM,521.07,609.15,154.53,0,148.37,45.82,3498.60,127.33,0,0,35.70,0,0,0,25.087 (Acre),Not available,Not available,TILES / MARBLE / GRANITE / LAMINATED WOOD,"MODULAR KITCHEN WITH APPLIANCES AS PER POINT 6.6 IN UNIT WISE SPECIFICATIONS, CABINETRY AND SS SINK",MS / UPVC / AL / WOOD / COMPOSITE MATERIAL,NA,BRANDED MAKE,SWITCH BOX AND SOCKETS. HOME AUTOMATION IN SELECT AREAS AS PER DESIGN,NIL
GGM/682/414/2023/26 DATED 30.01.2023,SIGNATURE GLOBAL CITY 93,SIGNATURE BUILDERS PRIVATE LIMITED,"VILLAGE WAZIRPUR, SECTOR 93,
GURUGRAM, HARYANA",GURUGRAM,412.97,231.5,125.2,0.00,147.05,39.85,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00,9.304 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILE,OPEN KITCHEN,WOODEN / UPVC/ALUMIN UM,N/A,OTIS/FUGITE CH,N/A,N/A
GGM/799/531/2024/26 DATED 18.03.2024,GODREJ ZENITH,GODREJ PROPERTIES LTD,"SECTOR 89, GURUGRAM, HARYANA",GURUGRAM,558.72,1213.25,395.98,5553.79,75.98,226.44,3403.78,0,3194.14,0,0,1490.43,0,5055.34,14.20625 (Acre),Not available,Not available,VITRIFIED TILES / CERAMIC TILES,"FLOOR: VITRIFIED TILES WALL: CERAMIC TILES 2'-0"" ABOVE COUNTER & OIL BOUND DISTEMPER CEILING: OIL BOUND DISTEMPER",LAMINATE FINISH FLUSH DOORS/MOULDED SHUTTER WITH WOODEN FRAME)(PREHUNG- LVL WITH LAMINATE),AS PER BUILDING NORMS,3 IN EACH TOWER- 2 PASSENGER AND 1 SERVICE,AS PER BUILDING NORMS,"PROVIDING AND APPLYING 10 TO 12MM THICK PLASTER TO MASONRY AND RCC WALLS, COLUMNS ETC. IN CEMENT MORTAR 1:5"
GGM/797/529/2024/24 DATED 14.03.2024,ASHIANA AMARAH PHASE 3 & 3A,ASHIANA HOUSING LIMITED,"REVENUE ESTATE OF VILLAGE- WA
ZIRPUR, SECTOR 93, DISTT. GURUGRAM, HARYANA",GURUGRAM,507,164,112,211,141,31,104,8,0,0,11,0,0,0,4.5143 (Acre),Not available,Not available,"LIVING/DINING, ENTRANCE FOYER, CORRIDOR LEADING TO BEDROOMS: VITRIFIED TILES (600X600) OR (800X800) OR (600X1200) OR (800X1600), BEDROOMS AND STUDY ROOM: VITRIFIED TILES OR WOODEN TEXTURE TILE,(145 X 600) (600X600) OR (800X800) OR (600X1200),OPEN TERRACE: KOTA STONE/OTHER LOCAL STONE/CERAMIC TILES OF APPROPRIATE QUALITY/STONE MOSAIC FLOOR, STAIRCASE :CERAMIC TILES OR KOTA STONE OR COMBINATION LOCAL STONE OF APPROPRIATE SIZE.","1 STAINLESS STEEL SINK WITH ONE BOWL AND A DRAIN BOARD, 1 SWIVEL TYPE SINK MIXER, 2 CP ANGLE VALVE FOR IN AND OUT OF HOT WATER GEYSER, 1 CP ANGLE VALVE FOR WATER PURIFIER UNIT/RO, NO TAP IS PROVIDED BELOW SINK, PROVISION FOR PIPED LPG GAS WITH LPG METER WILL BE PROVIDED,KITCHEN CABINETS WITH HOB, CHIMNEY, DISHWASHER. GEYSER & EXHAUST FAN.",MAIN DOOR FRAME IN MS ARE EITHER ENAMEL PAINTED/POWDER COATED. AND OTHER MS DOOR FRAMES ARE ENAMEL PAINTED OR POWDER COATED .,"ALL ELECTRICAL WIRING IN CONCEALED CONDUITS WITH COPPER WIRES. CONVENIENT POSITION & DISTRIBUTION OF LIGHT AND POWER PLUGS AND PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM AND WATER PURIFIER POINT IN KITCHEN. MODULAR ELECTRICAL SWITCHES WITH SOCKETS AND FAN REGULATORS OF SSK/ANCHOR/PANASONIC/NORTH WEST/LEGRAND OR EQUIVALENT,",NOT APPLICABLE.,ALL ELECTRICAL WIRING IN CONCEALED CONDUITS WITH COPPER WIRES. CONVENIENT POSITION & DISTRIBUTION OF LIGHT AND POWER PLUGS AND PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM AND WATER PURIFIER POINT IN KITCHEN. MODULAR ELECTRICAL SWITCHES WITH SOCKETS AND FAN REGULATORS OF SSK/ANCHOR/PANASONIC/NORTH WEST/LEGRAND OR EQUIVALENT.,GRANITE AND/OR MARBLE AND/OR QUARTZ STONE AND /VITRIFIED TILES AND/OR CERAMIC TILES AND/OR CEMENT SAND PLASTER AND/OR OTHER LOCAL STONE AND/OR COMBINATION OF ANY TWO OR MORE ITEMS WITH EMULSION PAINT FINISH (WHEREVER APPLICABLE).
GGM/842/574/2024/69 DATED 24.06.2024,SMARTWORLD ONE DXP PHASE-2,NOURISH DEVELOPERS PRIVATE LIMITED,"SECTOR 113, VILLAGE CHAUMA,GU
RUGRAM",GURUGRAM,261.98,63.60,95.40,0.00,95.40,100.73,114.11,179.08,0.00,0.00,0.00,0.00,0.00,0.00,5.1055 (Acre),Not available,Not available,BARE R.C.C. SLAB,NA,ALUMINIUM FRAME,LED TYPE FITTINGS IN COMMON AREA ONLY,PASSENGER AND SERVICE LIFT AS PER VERTICAL TRAFFIC,LED TYPE FITTING COMMON AREA ONLY,GYPSUM PLASTER & PAINT
01 OF 2017 DATED 14.06.2017 (SUPERSEDED BY GGM/688/420/2023/32 DATED 02.02.2023),MIXED LAND USE COLONY FOR 14.4125 ACRES,MANGLAM MULTIPLEX PVT LTD,"VILLAGE BADSHAPUR AND MAIDAWA
S, SECTOR-65, GURUGRAM",GURUGRAM,1288,2641,65,2735,44,0,2630,171,1541,0,108,0,0,2725,14.4125 (Acre),Not available,Not available,RCC SLAB/TILE,N.A.,POWDER COATED ALUMINIUM FRAME/WOODEN FRAME,PUBLIC AREAS & TOILETS TO BE PROVIDED WITH LED LIGHT FIXTURES.,SCHINDLER / THYSSENKRUPP / FUJITEC / KONE,PROVISION OF WIRE / CABLE UP TO DISTRIBUTION BOARD ISI /BIS APPROVED,"ANTISKID TILES/IPS ON FLOOR, PAINT/WHITE WASH FINISH ON WALL & CEILING IN PUBLIC AREAS"
GGM/341/73/2019/35 DATED 18.06.2019,M3M URBANA,M3M INDIA PVT. LTD. & MARTIAL BUILDCOM PVT. LTD.,"SECTOR-67, GURUGRAM",GURUGRAM,119.44,223.01,223.01,298,149,15,537,12,0,0,50,0,0,166,11405 (Sqr/mtrs),30-09-2021,58,CEMENT CONCRETE FLOORING,NA,ALUMINIUM AND GLASS,OF REPUTED BRAND,PROVIDED OF REPUTED BRAND,OF REPUTED BRAND,PLASTER AND WHITEWASH
GGM/316/48/2019/10 DATED 21.02.2019,PYRAMID FUSION HOMES,PYRAMID INFRATECH PRIVATE LIMITED,VILLAGE PALRA SECTOR 70A,GURUGRAM,37,69.5,42.72,0,64.58,7.51,20.37,6,0,0,0,0,0,0,5.11875 (Acre),Not available,Not available,TILES/IPS,"2 FEET TILE ON WALL, OBD/COLOUR WASH ON REMAING WALL, TILE/STONE ON KITCHEN COUNTER.",HARDWOOD/ MS Z-SECTION/ FIBRE/ COMPOSITE/ ALUMINIUM/ FRAME WINDOWS ETC.,ISI MARK,2 LIFTS AS PER SANCTIONED PLAN,STANDARD,OBD/COLOUR WASH
GGM/369/101/2019/63 DATED 22.10.2019,THE PEACEFUL HOMES,HAAMID REAL ESTATES PRIVATE LIMITED,SECTOR 70A,GURUGRAM,619.54,41.48,73.19,0,52.59,24.47,41.35,27.43,0,0,0,0,0,0,8.38 (Acre),31-12-2019,95,IMPORTED MARBLE – LIVING / DINING WOODEN FLOORING- MASTER BEDROOM & OTHER BEDROOMS ANTI SKID CERAMIC TILES- KITCHEN & TOILETS,ANTI SKID CERAMIC TILES,MAIN DOOR- VENEERED WITH POLISH INTERNAL DOORS- SKIN MOULDED SHUTTER EXTERNAL DOORS & WINDOWS- UPVC SHUTTER UTILITY- FLUSH DOOR,MODULAR SWITCH SOCKETS PROVIDED,3 PASSENGER LIFT+1 STRETCHER- TOWER AS1 3 PASSENGER LIFT+1 STRETCHER- TOWER AS2 3 PASSENGER LIFT+1 STRETCHER- TOWER AS3,MODULAR FITTINGS,WALLS- ACRYLIC EMULSION CEILING- OBD
GGM/384/116/2019/78 DATED 23.12.2019,SUNCITY AVENUE 76,SUNCITY PROJECTS PVT. LTD.,"SECTOR 76, VILLAGE KHERKI DAU
LA",GURUGRAM,236,534,259.05,850,270,19,198.02,14.39,34.29,0,14,35,0,0,10 (Acre),Not available,Not available,TILES/IPS,"FLOORING /WALL -TILES/IPS, TILES UPTO 2 FEET HIGH ABOVE STONE/RCC COUNTER AND OBD/COLOR WASH IN BALANCE AREA",FRAME -HARDWOOD /MS/FIBRE/UPVC,"ISI MARKED PRODUCTS FOR WIRING,SWITCHES AND CIRCUITS",STANDARD MAKE,"ISI MARKED PRODUCTS FOR WIRING,SWITCHES AND CIRCUITS",PUTTY & PAINT
GGM/383/115/2019/77 DATED 31.12.2019,SIGNATUREGLOBAL PROXIMA 1,SIGNATUREGLOBAL (INDIA) PRIVATE LIMITED,"VILLAGE HAYATPUR, SECTOR 89 G
URUGRAM, HARYANA",GURUGRAM,124.74,156.02,56.81,0,165.13,15.35,0,14.65,0,0,0,0,0,182.28,5.00 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/419/151/2020/35 DATED 16.10.2020,COBAN RESIDENCES,PAREENA INFRASTRUCTURES PVT. LTD.,"GARHI HARSARU ROAD VILLAGE GO
PALPUR, SECTOR 99A, GURUGRAM, HARYANA",GURUGRAM,80.31,98.88,51.84,0,19.92,16.25,115.43,20.95,119.49,0,0,0,0,0,10.5875 (Acre),30-06-2021,20,VITRIFIED TILES,"GRANITE COUNTER, CERAMIC TILES UPTO 2 FT ABOVE COUNTER AND REST OBD",PAINTED HARD WOOD DOOR FRAMES WITH FLUSH DOOR SHUTTERS.,NOT PROVIDING,PASSENGER & SERVICE LIFTS IN EACH TOWER,NOT PROVIDING,NA
GGM/300/2018/32 DATED 07.12.2018,GODREJ AIR PHASE-I,GODREJ DEVELOPERS & PROPERTIES LLP,"SECTOR-85, GURUGRAM",GURUGRAM,150,55,40,173,37,33,106,46,373,0,0,0,0,0,5.417 (Acre),Not available,Not available,"VITRIFIED TILES IN LIVING/DINING, WOODEN FLOORING IN BEDROOMS, ANTI SKID TILES IN TOILETS, KITCHEN, BALCONY & UTILITY OR EQUIVALENT",COUNTER WITH SINK AND CP FITTINGS OR EQUIVALENT,"TEAK FRAME IN MAIN DOOR, RED MERANTI IN INTERNAL DOORS, ALUMINUM FRAME WITH GLASS FOR WINDOWS & SLIDING DOOR WINDOWS OR EQUIVALENT",ONLY SWITCHES,YES,ONLY SWITCH,N/A
GGM/434/166/2021/02 DATED 08.01.2021,JOYVILLE GURUGRAM PHASE VI,JOYVILLE SHAPOORJI HOUSING PRIVATE LIMITED,"KHERKI MAJRA, SECTOR 102, GUR
UGRAM",GURUGRAM,438,139,114,0,289,69,324,10,0,0,0,0,0,590,5.046 (Acre),Not available,Not available,CERAMIC/VITRIFIED/WOODEN LAMINATED FLOORING,GRANITE PLATFORM WITH SINK,HARD WOOD/ENGINEERED WOOD/ALUMINIUM/STONE,STANDARD SWITCHES AND SOCKETS,PASSENGER AND FIRE LIFTS,STANDARD SWITCHES AND SOCKETS,-
GGM/400/132/2020/16 DATED 22.06.2020,ZEPHYR AT THE WESTERLIES,EXPERION DEVELOPERS PVT LTD,"SECTOR 108, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3633 (Acre),Not available,Not available,"VITRIFIEDTILES, LAMINATED WOODEN FLOOR, CERAMIC TILE, KOTA STONE .","CERAMIC TILES IN DADO 2’-0 HIGH , OBD PAINT.",EXTERNALDOORFRAMES-ALUMINIUM/ UPVC INTERNAL DOOR FRAMES- HARD WOOD FRAME.,MODULAR SWITCH AND SOCKETS.,SINGLE LIFT .,MODULAR SWITCH AND SOCKETS.,OBD PAINT
GGM/592/324/2022/67 DATED 18.07.2022,PURI THE ARAVALLIS,PURI CONSTRUCTION PRIVATE LIMITED,"SECTOR 61, VILLAGE ULLAWAS",GURUGRAM,201.39,281.95,120.83,563.89,80.56,20,604.17,241.67,2500,26.15,32,34.54,0,0,10 (Acre),Not available,Not available,TILES / LAMINATED WOODEN FLOORING,"TILE ON FLOOR, WALL TILE FOR 2 FEET HEIGHT ABOVE COUNTER, OBD PAINT ABOVE THAT",HARDWOOD DOOR FRAME,ISI MARKED STANDARD FITTINGS,LIFTS WITH MS POWDER COATED / SS FINISH CABINS,ISI MARKED STANDARD FITTING,"TILES / LAMINATED WOODEN FLOORING, OBD PAINT ON WALLS , & OTHER DETAILS AS PER DRAWING"
GGM/673/405/2023/17 DATED 23.01.2023,BIRLA NAVYA (AVIK PHASE-1),AVARNA PROJECTS LLP,"SECTOR- SECTOR-63A,VILLAGE- K
ADARPUR, MAIDAWAS, ULLAHWAS",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6104 (Acre),Not available,Not available,STONES / TILES/ANTI -SKID TILES/ EQUIVALENT /WOODEN FLOORING,ACRYLIC EMULSION /OBD/EQUIVALENT,WOODEN DOORS AND ALUMINIUM WINDOWS,LED FOR ONLY THE COMMON AREAS,I COMMON /PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,NA
GGM/645/377/2022/120 DATED 13.12.2022,SMARTWORLD ONE DXP,NOURISH DEVELOPERS PRIVATE LIMITED,SEC-113,GURUGRAM,966.6,978.07,223.59,984.27,754.06,134.15,685.41,300,0,0,0,0,0,0,7.94 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATED WOODEN FLOOR/CERAMIC TILE,AS PER APPROVED,ALUMINIUM FRAME,LED TYPE FITTINGS IN COMMON AREA ONLY,SCHINDLER/THYSSENKRUPP/KONE/AS APPROVED AS PER VERTICAL TRAFFIC,LED TYPE FITTINGS IN COMMON AREA ONLY,GYPSUM PLASTER & PAINT ONLY FOR COMMON AREA
GGM/687/419/2023/31 DATED 02.02.2023,M3M CROWN PHASE 1,METRO EDUCATION & WELFARE PRIVATE LIMITED,SECTOR-111,GURUGRAM,338.24,72.00,125.00,590.00,250.00,76.00,192,0,0,0,0,0,0,697.41,15.9938 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATEDWOODEN FLOOR/CERAMIC TILE,NA,EXTERNAL ALUMINIUM WITH GLASSINTERNAL – WOODEN,AS PER APPROVED MAKE,LIFTS AS PER BUILDING PLANS,AS PER APPROVED MAKE,NA
GGM/715/447/2023/59 DATED 08.05.2023,WATERFALL SUITES,KRISUMI CORPORATION PRIVATE LIMITED,SECTOR 36A,GURUGRAM,620.68,205.32,70.8,0,147.5,29.5,0,36.58,0,0,0,0,0,0,3.886 (Acre),Not available,Not available,"WOODEN FLOORING, VITRIFIED TILES",VITRIFIED TILES,ENGINEERED WOOD,MODULAR SWITCH,NA,MODULAR SWITCHES,"OBD, PLASTER, PAINT"
GGM/741/473/2023/85 DATED 07.08.2023,URBAN OASIS - PHASE 1 & 2,EMAAR INDIA LIMITED,"VILLAGE - MAIDAWAS AND NANGLI
UMARPUR, SECTOR - 62 & 65,, GURGAON",GURUGRAM,395,412,47,91,76,85,71,92,0,0,0,0,0,0,6.64 (Acre),Not available,Not available,TILES/MARBLE/WOODEN FLOORING,"TILES, PAINT, SINK SS",NA,NA,NA,NA,NA
GGM/692/424/2023/36 DATED 02.02.2023 (SUPERSEDED BY GGM/745/477/2023/89 DATED 11.09.2023),THE NATION,JMS INFRA REALITY PVT LTD,VPO WAZIRPUR SECTOR 95,GURUGRAM,441.67,350.61,263.85,0,464.73,72.98,0,60.5,0,0,0,0,0,0,19.0125 (Acre),Not available,Not available,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
GGM/746/478/2023/90 DATED 18.09.2023,GODREJ ARIA & 101 (VOL. II),WONDER CITY BUILDCON LIMITED,"SEC 79, NAURANGPUR",GURUGRAM,23.4,29.6,11.6,16.0,13.5,3.8,7.0,0,0,0,0,0,0,0,0.9875 (Acre),14-02-2028,0,LIVING & DINING ROOM/KITCHEN- VITRIFIED TILES BEDROOMS-LAMINATED WOODEN FLOOR TOILETS - VITRIFIED TILES BALCONY- ANTI SKID TILES UTILITY ROOM-CERAMIC TILES,"(FLOORS-VITRIFIED TILES EXTERNAL DOORS & WINDOWS-POWDER COATED ALUMINUM INTERNAL WALLS-CERAMIC TILES 2'-0"" ABOVE COUNTER. FIXTURES & FITTINGS-GRANITE TOP WITH STAINLESS STEEL SINK WITH DRAIN BOARD)",WOODEN FRAME /POWDERED COATED ALUMINIUM,ALL PROVIDED OF STANDARD COMPANY MAKE,AS PER BUILDING CODE,ALL PROVIDED OF STANDARD COMPANY MAKE,YES
