Project Name,Registration No.,Promoter Name,Project Address,Date of Registration
RAM EKBAL VAIBHAV,BRERAP00318-2/204/R-372/2019,VAIBHAV BUILDERS & CONSTRUCTION,,28 Jan 2019
RAM ENCLAVE,BRERAP0005402-1/1096/R-975/2020,ANCHITA DEVELOPERS PRIVATE LIMITED,"SAINIK COLONY, GOLA ROAD, Block- Danapur Mauja - दानापुर District - PatnaPlot No -1163",08 May 2020
RAM JIWAN APARTMENT,BRERAP04054-2/65/R-1379/2022,METROPLEX HOMES PVT LTD,"PLOT NO-722, OPPOSITE GANGA HOSPITAL, GOVINDPUR,AIIMS ROAD, P.S-KHAGAUL, DANAPUR, PATNA , Block- Danapur Mauja - सैदपुरा District - PatnaPlot No -722P",13 Apr 2022
RAM KHELAWAN VATIKA,BRERAP00372-1/403/R-219/2018,SASU ENGICON PVT. LTD.,"BADA BARIYARPUR,MOTIHARI, Block- Motihari Mauja - बरियारपुर District - East ChamparanPlot No -357",25 Oct 2018
RAM KRISHAN TOWER,BRERAP34435-2/55/R-1569/2023,"OM SAI RAM JAI MATA DI CONSTRUCTION,PROPRIETOR -HARISHCHANDRA PRASAD SINHA",,19 May 2023
RAM KRISHNA COMPLEX,BRERAP94206-1/13/R-1309/2022,CALCULAS PROJECTS LLP,"KANDI NAWADA,NEAR MANPUR BYPASS, GAYA , Block- Sadar Gaya Mauja - कंडी नवादा District - GayaPlot No -1001,1002,1003,1004,1007",28 Mar 2022
RAM KRISHNA PALACE,BRERAP95852-1/1291/R-1114/2021,ARNAV MANSION PRIVATE LIMITED,"Ram Krishna Palace,Dhanaut, Mahuabagh, patna, Block- Danapur Mauja - धनौत District - PatnaPlot No -2459, 2460",28 Jan 2021
RAM LAKHAN PALACE,BRERAP00880-1/613/R-675/2019,SUPERB BUILDERS PRIVATE LIMITED,"Shaubhagya Sharma Path, Rupaspur, Patna., Block- Danapur Mauja - धनौत District - PatnaPlot No -500/478",21 Jun 2019
Ram Lakhan Plaza,BRERAP63625-1/1016/R-713/2019,Saarthak Hi-Tech Home Developers Pvt. Ltd.,"Khata No- 96,Thana No- 12,Mauza- Kumhrar,Thana- Agankuan, Block- Patna Sadar Mauja - कुम्‍हरार District - PatnaPlot No -420",13 Aug 2019
Ram Lakhan Vatika,BRERAP00120-1/47/R-101/2018,Ambey Bhagwati Marketing Construction Pvt. Ltd.,"Near Sushila Enclave, Vijay Vihar Colony, East Gola Road, Block- Danapur Mauja - दानापुर District - PatnaPlot No -1079(p)",19 Jul 2018
RAM LAL APPARTMENT,BRERAP00360-1/311/R-529/2019,KAPILA AMARNATH CONSTRRUCTION,"DIGHA,PHULWARISHARIF, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -1748",26 Mar 2019
RAM NAGINA ENCLAVE,BRERAP02626-2/75/R-1402/2022,RAJEEV RANJAN,"AT NEAR PETROL PUMP NEW BYPASS ALKAPURI LANE PATNA, Block- Phulwari Sarif Mauja - हरनीचक District - PatnaPlot No -321,350",01 Jun 2022
RAM NIKETAN,BRERAP00050-1/52/R-136/2018,DISHA CONSTRUCTION,"RAM NIKETAN SAHDEO PATH PATEL NAGAR PATNA, Block- Patna Sadar Mauja - मैनपुरा District - PatnaPlot No -1297 1298 1299 1300 1301",16 Aug 2018
Ram Nilayam,BRERAP40402-1/47/R-1183/2021,AADI HOMES,"Mauza- Jalalpur, Plot No.- 396, Khata No.- 171, Tauzi No.- 5774, Thana No-22, Thana- Danapur, District- Patna, Bihar, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -396",19 Aug 2021
RAM PADARATH ENCLAVE,BRERAP00075-1/189/R-310/2018,SHRI BALAJEE NEST BUILDER PRIVATE LIMITED,"RAM GOVIND SINGH PATH NEAR SAI MANDIR KANKARBAGH, Block- Patna Sadar Mauja - लोहानीपुर District - PatnaPlot No -581P",18 Dec 2018
RAM PRASAD ENCLAVE,BRERAP00140-5/53/R-1192/2021,PREM ADITIYA HOMES PVT LTD,"Chandrashekhar Nagar, Vijay Vihar Colony, Danapur, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -974 Part",02 Sep 2021
RAM PRASAD KUNJ,BRERAP00144-1/71/R-54/2018,PREM ADITIYA CONSTRUCTIONS,"CHANDRASHAKAR NAGAR EAST GOLA ROAD , Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -974",19 Jun 2018
Ram Rekha Apartment,BRERAP30708-3/112/R-1728/2024,MAA KUNDESHWARI CONSTRUCTION PRIVATE LIMITED,"Mohalla- Khanjarpur, Surya Narayan Singh Road, P.S- Kotwali Old, Barari New, Anchal- Jagdishpur, Dist- Bhagalpur, In Ward No.- 4 Old, 24 New, Holding No.- 7 Old, 33 New, Khata No.- 351, Khesra No.- 203 K, KH, G, Block- Jagdishpur Sadar Mauja - खंजरपुर(वार्ड न.4) District - BhagalpurPlot No -203, K KH, G",08 Jul 2024
RAM SAWARI ENCLAVE,BRERAP12455-001/148/R-1673/2024,ALPHA CONSTRUCTION,,10 Apr 2024
RAM SWAROOP APARTMENT,BRERAP00427-6/1336/R-1141/2021,R.D.ECO DEVELOPERS PVT. LTD.,"BIHIND ST.KARENS SCHOOL,GOLA ROAD,DANAPUR,PATNA, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -1666",01 Mar 2021
RAM VATIKA,BRERAP00060-1/273/R-214/2018,R.R. BUILDERS AND DEVELOPERS,"MAHUABAGH, BEHIND POTATO RESEARCH CENTRE, NEAR PHULWARI GUMTI, PATNA, Block- Danapur Mauja - धनौत District - PatnaPlot No -2488",25 Oct 2018
RAMA DEVI CASTLE,BRERAP04423-1/1076/R-930/2020,RADHARANI CONSTRUCTION PVT LTD,"KHEMNICHAK BYPASS NEAR- FORD HOSPITAL, Block- Sampatchak Mauja - खेमनीचक District - PatnaPlot No -PLOT NO-8,9 KHATA NO- 75,76",16 Mar 2020
RAMA ENCLAVE,BRERAP00764-1/567/R-424/2019,LAND TO HOME INFRADEVELOPERS PRIVATE LIMITED,"MUSTAFA PUR PATNA, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -74,31,31",14 Feb 2019
RAMA HARI APARTMENT,BRERAP00350-5/69/R-1382/2022,SHASHI RAJAN CONSTRUCTION PVT LTD,,20 Apr 2022
Rama Heritage,BRERAP00407-1/322/R-154/2018,KANTYAN DEVELOPERS,"Karodichak, Fulwari Sarif, Patna., Block- Phulwari Sarif Mauja - फुलवारी District - PatnaPlot No -1030",06 Sep 2018
"RAMA HERITAGE, BLOCK B",BRERAP00407-2/184/R-1479/2022,KANTYAN DEVELOPERS,"MOHALLA- KARORICHAK, MAUZA-PHULWARI SHARIF, PATNA , Block- Phulwari Sarif Mauja - फुलवारी District - PatnaPlot No -1030",21 Oct 2022
RAMABRAJ COMPLEX,BRERAP82106-1/46/R-1174/2021,BRITESKY CONSTRUCTION PRIVATE LIMITED,,29 Jul 2021
Ramadhar Enclave,BRERAP00678-2/1205/R-1006/2020,Smart India Infrahigh and Multiservices Private Limited,"Kiratpur Gurudas URF Khabra Circle-Mushahari PS- Sadar Thana NO-334, Khata NO-534, 106 New, Block- Musahari Mauja - खबङा District - MuzaffarpurPlot No -1723,1724",04 Aug 2020
RAMALYA APARTMENT,BRERAP00484-1/381/R-694/2019,RAJESH KUMAR SINHA,"SHIV BHAWAN COLONY, NEAR POLICE LINE, KUTCHERY CHOWK, BHAGALPUR, Block- Patna Sadar Mauja - रानीपुर मिल्‍की District - PatnaPlot No -225, GHA, CHA, CHHA, JA(PART",15 Jul 2019
RAMANAND ENCLAVE,BRERAP01116-1/11/R-1730/2024,Arcadia Buildcon,"NEAR PANCHHI ENCLAVE,INFRONT OF TIWARIJI MANDIR, BALAMICHAK, ANISHABAD, PATNA , Block- Phulwari Sarif Mauja - वेउर District - PatnaPlot No -406",12 Jul 2024
Ramanand Enclave,BRERAP00253-1/196/R-122/2018,KAMAL HOMES PVT.LTD,"Mourya Bihar colony,Khagaul,Danapur Patna , Block- Danapur Mauja - सैदपुरा District - PatnaPlot No -622P",03 Aug 2018
Ramashrya Dera,80/2023/377,DERA INFRATECH PRIVATE LIMITED,,
Ramashrya Dera,BRERAP12286-002/136/R-1653/2024,DERA INFRATECH PRIVATE LIMITED,,03 Jan 2024
RAMAYANA,BRERAP000907-5/134/R-1750/2024,Sidhanta Estate Pvt. Ltd.,"KHATA NO-1116, PLOT NO-2192,MAUZA- DIGHA, DANAPUR, PATNA , Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -2192 P",20 Aug 2024
RAMBAHADUR RAY,BRERAP51558-1/136/R-1448/2022,VASTI HOMES PRIVATE LIMITED,"BALBHADRAPUR, LAHERIASARAI, THANA NO. 434, WARD NO.44, Block- Bahadurpur Mauja - बलभद्ररपुर District - DarbhangaPlot No -2561",08 Aug 2022
Ramdeo Kunj Phase 1,BRERAP00410-4/426/R-362/2019,ADITYA INFRACOMP PRIVATE LIMITED,"West Anandpuri, Boring Road, Patna, Block- Patna Sadar Mauja - मैनपुरा District - PatnaPlot No -2374",24 Jan 2019
"Ramesh Complex Block ""C""",BRERAP000178-1/123/R-89/2018,RUDRA CONSTRUCTIONS,"R. K. Puram, A. G. Colony, , Block- Danapur Mauja - ववक्करपुर District - PatnaPlot No -144",16 Jul 2018
RAMESH MANSION,BRERAP00173-1/89/R-29/2018,ACCOCCA CONSTRUCTION PRIVATE LIMITED,"RK PURAM KAILASHPATI MISHRA PATH SAGUNA MORE, Block- Danapur Mauja - ववक्करपुर District - PatnaPlot No -45",24 May 2018
RAMESHWARAM ENCLAVE,BRERAP00477-1/323/R-341/2019,JAI NIWAS CONSTRUCTIONS,"KHAJPURA, AARA GARDEN, PATNA, Block- Patna Sadar Mauja - खाजपुरा District - PatnaPlot No -1714",17 Jan 2020
RAMGOLIA CITY,BRERAP00090-1/267/R-137/2018,KUMAR AUTO INFRA PRIVATE LIMITED,"KOTHWAN, Block- Danapur Mauja - कोथवॉ District - PatnaPlot No -37",16 Aug 2018
RAMJEE PALCE,BRERAP00900-2/633/R-355/2019,SURJ HOMES,"MOHALLA - AMBEDAKAR PATH KHAJPURA PHULWARI PATNA, Block- Patna Sadar Mauja - खाजपुरा District - PatnaPlot No -744",22 Jan 2019
RAMJYOTI ENCLAVE,BRERAP60022-1/125/R-1283/2022,OM BALAJEE HOMES PRIVATE LIMITED,"Near Jhunjhun Mahal, Janta Road, New Yarpur, Patna, Block- Patna Sadar Mauja - यारपुर District - PatnaPlot No -479",28 Feb 2022
RAMKRISHNA APARTMENT,BRERAP00087-1/140/R-74/2018,PUSHP BHARTI DEVELOPERS PRIVATE LIMITED,"AT POLSAN ROAD DIGHA, NEAR DIGHA THANA,, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -1634",06 Jul 2018
RAMLAKHAN APARTMENT,BRERAP21354-1/1246/R-1102/2021,NUTAN HOMES,"AT SUBHASH NAGAR, NEW JAGANPURA, PATNA- 800027, PLOT NO.-1105 PART, KHATA NO.- 162, MAUZA- JAGANPURA, SURVEY THANA NO. -26, TAUZI NO.- 355, ANCHAL- PHULWARI, P.S RAMKRISHNA NAGAR, DIST.- PATNA, PIN CODE-800027, Block- Phulwari Sarif Mauja - जगनपुरा District - PatnaPlot No -1105 PART",18 Jan 2021
RAMNAUMI VATIKA,BRERAP80816-1/1086/R-848/2019,MUKESH KUMAR,"MITHANPURA, SHERPUR, Block- Marwan Mauja - मिठनपुरा District - MuzaffarpurPlot No -26/387",22 Nov 2019
RAMPRIT ENCLAVE,BRERAP04559-1/105/R-1225/2021,DYNAMIC AWAS PRIVATE LIMITED,"GOKUL PATH,PATEL NAGAR,NEAR PETROL PUMP,PATNA-800023, Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -1308",21 Oct 2021
RAMRATI HERITAGE,BRERAP12567-3/181/R-1777/2024,BHUDEVA BUILDTECH,"BESIDE RADIANT SCHOOL SAGUNA MORE, Block- Danapur Mauja - दानापुर District - PatnaPlot No -663",30 Oct 2024
RAMSAKHI DEVI RESIDENCY,BRERAP00372-4/97/R-1245/2021,SASU ENGICON PVT. LTD.,"SHANTIPURI, STATION ROAD, MOTIHARI, Block- Banjariya Mauja - तड़कुलवा District - East ChamparanPlot No -446",07 Dec 2021
RAMSAKHI ENCLAVE,BRERAP12429-2/152/R-1768/2024,OM ADITYA HOMES,"SAICHAK BEUR, Block- Phulwari Sarif Mauja - साईचक District - PatnaPlot No -460 P",09 Oct 2024
RANGOLI SHEELA RAJ APPARTMENT,BRERAP00852-1/568/R-559/2019,RANGOLI CONSTRUCTOR,"PLOT NO-3964,TAUZI NO-5336,KHATA NO-1567,PATNA, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -3964`",04 Apr 2019
Ranjeet Mansion,BRERAP00154-1/278/R-502/2019,Balaji Dream Homes,"ARYA SAMAJ MANDIR ROAD,BAILY ROAD.DANAPUR PATNA, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -1514",11 Mar 2019
Raunak Galaxy,BRERAP00202-1/142/R-117/2018,Raunak Vatika pvt ltd,"Mauza Shaguna, Khagaul Road, Phulwari, Tauzi No.5292, Thana 23, Khata 45, Block- Danapur Mauja - सगुना District - PatnaPlot No -145",31 Jul 2018
Raunak Life Style,BRERAP00202-3/572/R-300/2018,Raunak Vatika pvt ltd,"Khata no. 180 & 175, Tauzi No. 5541, Mauza Jamsaut, Block- Danapur Mauja - जमसौत District - PatnaPlot No -2084, 2093, 2094, 2095",16 Jan 2023
Raunak Village,BRERAP00202-1/43/R-38/2018,Raunak Vatika pvt ltd,"Khata-151, survey thana-37, ward-39, mauza-kothwa, west of RPS Engineering, Block- Danapur Mauja - कोथवॉ District - PatnaPlot No -329 (P)",04 Jun 2018
RAVI COMPLEX,BRERAP00547-1/434/R-247/2018,SHREE RAVI HOMES PRIVATE LIMITED,"BAHADURPUR SANDALPUR, Block- Patna Sadar Mauja - संदलपुर District - PatnaPlot No -652/687/931/935/936",15 Nov 2018
RAVI ENCLAVE,BRERAP00346-1/459/R-395/2019,SAI RESIDENCY PRIVATE LIMITED,"SAGUNA KHAGAUL ROAD,DANAPUR,BIHAR, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -779 AND 780",06 Feb 2019
Ravi Prem Enclave,BRERAP00497-1/445/R-243/2018,Sanrachna Homes Pvt. Ltd.,"Mauza Danapur, Tauzi 5299, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -968",06 Nov 2018
RAVI RAJ ENCLAVE,BRERAP00907-1/898/R-718/2019,Sidhanta Estate Pvt. Ltd.,"AKASHWANI ROAD, Block- Patna Sadar Mauja - खाजपुरा District - PatnaPlot No -495/496",13 Aug 2019
RD MANSION,BRERAP00427-1/430/R-162/2018,R.D.ECO DEVELOPERS PVT. LTD.,"MAUZA - MUSTAFAPUR, PS- DANAPUR, PATNA, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -51, 53 P",10 Sep 2018
Realize Green Exotica,BRERAP00048-1/42/R-116/2018,Realize Realcon Private Limited,"Near Aims Patna bhusala Danapur, Block- Patna Sadar Mauja - सैदपुर District - PatnaPlot No -1301,1302,118,126/4,2563/1301,2564/1301",31 Jul 2018
REALIZE SINGNATURE CITY,BRERAP00048-2/211/R-415/2019,Realize Realcon Private Limited,"THANA NO 78,TOJI NO 7040,SURVEY PLOT 2177,KHATA NO 110, Block- Bihta Mauja - पान्डेयपुर District - PatnaPlot No -2177",12 Feb 2019
REBLOON GLAXY,BRERAP14434-1/870/R-743/2019,REBLOON CONSTRUCTION,"AS PER DEVELOPMENT AGREEMENT , Block- Danapur Mauja - कोथवॉ District - PatnaPlot No -102P,106P,02,106",13 Sep 2021
Redbrick Canvas,BRERAP01068-2/820/R-702/2019,REDBRICK INFRABUILD PVT LTD,,07 Aug 2019
Redbrick City Chapra,BRERAP01068-8/175/R-1475/2022,REDBRICK INFRABUILD PVT LTD,"Vill- Karinga, Thana No. 273, Thana- Chapra Muffasil, Dist- Saran , Block- Saran Sadar Mauja - करीगां District - SaranPlot No -972, 973, 974",20 Oct 2022
REDBRICK EMPIRE,BRERAP01068-1/823/R-701/2019,REDBRICK INFRABUILD PVT LTD,,07 Aug 2019
Redbrick Manni Residency,BRERAP34843-1/168/R-1787/2024,REDBRICK HOME PRIVATE LIMITED,"Redbrick Manni Residency Gas Godam Gali, Zero Mile Patna 800007, Block- Patna Sadar Mauja - जकरियापुर District - PatnaPlot No -439",16 Dec 2024
Redbrick Vidyapati Enclave,BRERAP01068-4/817/R-619/2019,REDBRICK INFRABUILD PVT LTD,"Opp BM Hospital, Chanakya Nagar, Begusarai, Block- Begusarai Mauja - मिर्जापुर बन्‍दुआर District - BegusaraiPlot No -84, 85",08 Sep 2022
REETANJAN,BRERAP91939-1/148/R-1769/2024,VANTAGE CONSTRUCTIONS,"RAJDHANI NAGAR, GOLA ROAD, PATNA , Block- Danapur Mauja - जलालपुर District - PatnaPlot No -86",09 Oct 2024
REGENCY ENCLAVE,BRERAP00135-4/316/R-597/2019,Regency buildwell pvt.ltd,"RAM JAI PAL NAGAR RUPASPUR,DANUAT JALALPUR PATNA 801503, Block- Danapur Mauja - धनौत District - PatnaPlot No -746(P)",22 Apr 2019
REGENCY PALACE,88/2023/402,Regency buildwell pvt.ltd,,
REGENCY PALACE,BRERAP00135-014/127/R-1624/2023,Regency buildwell pvt.ltd,,13 Dec 2023
RENU RESIDENCY,BRERAP14600-1/930/R-667/2019,SKYWALK INFRASTRUCTURE PVT LTD,"RANIPUR CHAKMILKI, Block- Patna Sadar Mauja - रानीपुर मिल्‍की District - PatnaPlot No -223P",19 Jun 2019
RISHI ENCLAVE,BRERAP00333-1/260/R-186/2018,ORINO ENGICON PRIVATE LIMITED,"OPP. MARCHHA BABA MANDIR, ARA PATNA HIGHWAY, NEAR OFFICE OF NDRF, BIHTA, Block- Bihta Mauja - सिकन्दरपुर District - PatnaPlot No -3141",26 Sep 2018
RITA RESIDENCY,BRERAP00447-2/349/R-642/2019,OM DEV CONSTRUCTION PVT.LTD.,"MAUZA-PHULWARI,S. PLOT NO-793,KHATA NO-979,TAUZI N.O-5247,THANA NO-35, PHULWARI. AND SOCITY PLOT NO-32, BLOCK-B, PURANDERPUR, PATNA., Block- Phulwari Sarif Mauja - फुलवारी District - PatnaPlot No -S. PLOT NO-793, SOCITY PLOT NO-32",23 May 2019
RIVER VIEW APARTMENTS,BRERAP00350-1/251/R-312/2018,SHASHI RAJAN CONSTRUCTION PVT LTD,,18 Dec 2018
RIVIERA,BRERAP10945-1/13/R-1147/2021,RIVIERA HEIGHTS LLP,,26 Mar 2021
RKM ENCLAVE SAHYOG,BRERAP00085-3/139/R-1337/2022,SHIVAM CONSTRUCTIONS,"RKM ENCLAVE SAHYOG, Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -PLOT NO. 569 , PART OF 570, KHATA NO. 198, 167",04 Apr 2022
RKM SQUIRE,BRERAP00085-2/815/R-514/2019,SHIVAM CONSTRUCTIONS,"RKM SQUIRE, PLOT NO. 455/454, KHATA NO. 35, MAUZA-BADALPURA, KHAGAUL LAKH, DANAPUR - 801105  , Block- Danapur Mauja - बदलपुरा District - PatnaPlot No -455/454",14 Mar 2019
RKM TOWER,BRERAP00313-1/472/R-360/2019,JMD SERVICES PRIVATE LIMITED,"JALALPUR ROAD(RPS ROAD), MAUJA - JALALPUR, KATHA NO. 4, TAUZI NO. 5170, THANA - 22, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -129B",24 Jan 2019
"Roof Tech Royal Garden Phase 1(A,B)",BRERAP00105-1/29/R-90/2018,ROOFTECH DEVELOPERS PRIVATE LIMITED,"Janipur Patna, Block- Phulwari Sarif Mauja - जानीपुर District - PatnaPlot No -249,251,577,578",24 Feb 2023
Rosewood Towers,BRERAP00019-4/54/R-1386/2022,Bharat Bhushan Deva,"Deva Nagar, Singhaul, Block- Begusarai Mauja - सिंघौल District - BegusaraiPlot No -1659 and 1660",28 Apr 2022
ROY VILLA,BRERAP05702-2/151/R-1293/2022,ANU DEVELOPERS OPC PVT LTD,"DANAPUR SHAHJADPUR SOUTH OF BAZAR SAMITI , Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -926",11 Mar 2022
ROYAL BALDEV APPARTMENT,BRERAP00379-1/421/R-614/2019,ROYAL PREMIUM DEVELOPERS,"PLOT NO-2068,2069,2070, Block- Sadar Gaya Mauja - मुरारपुर ( सर्वे वार्ड 16 व 8 ) District - GayaPlot No -2068,2069,2070",24 Apr 2023
ROYAL BALDEV APPARTMENT,BRERAP00379-1/421/R-614/2019,ROYAL PREMIUM DEVELOPERS,"PLOT NO-2068,2069,2070, Block- Sadar Gaya Mauja - मुरारपुर ( सर्वे वार्ड 16 व 8 ) District - GayaPlot No -2068,2069,2070",24 Apr 2023
ROYAL DEFENCE SOCIETY,BRERAP22534-2//48R-1221/2021,MAGDHA DEVELOPER AND CONSTRUCTION PRIVATE LIMITED,"NEAR AT GATE GAYA SEHERGHATI ROAD, Block- Sadar Gaya Mauja - कलेर District - GayaPlot No -928,927,931,933",08 Nov 2021
ROYAL DIVYA DHAM,BRERAP00379-7/61/R-1404/2022,ROYAL PREMIUM DEVELOPERS,"Hario PS Magadh Medical College, Block- Sadar Gaya Mauja - हरियो District - GayaPlot No -199,299",01 Jun 2022
ROYAL GAYATRI ARCADE,BRERAP00379-031/37/R-1684/2024,ROYAL PREMIUM DEVELOPERS,,02 May 2024
ROYAL GEETANJALI,BRERAP00212-4/15/R-1341/2022,Geetanjali Real Tech Private Limited,"DHAWALPURA, BAHARI BEGAMPURA, BYPAAS, PATNA CITY, Block- Patna Sadar Mauja - धवलपुरा District - PatnaPlot No -4P,7P",05 Apr 2022
"Royal Heights, Akauna",BRERAP05656-3/166/R-1467/2022,Royal Kingdom Construction Pvt. Ltd.,"Mauza- Akauna Minhani, P.S.- Muffassil, Revenue Thana No.- 370, R.S. Khata No.- 169, R.S Plot No.- 172 and 174, Ward No.- 1, Nawada, Bihar, Block- Nawada Sadar Mauja - अकौना मिनहाई District - NawadaPlot No -172 and 174",06 Dec 2022
Royal Natraj,BRERAP05656-004/18/1660/2024,Royal Kingdom Construction Pvt. Ltd.,,04 Apr 2024
ROYAL NIRMALA APARTMENT,BRERAP00379-2/982/R-767/2019,ROYAL PREMIUM DEVELOPERS,"ROYAL NIRMALA APARTMENT, MOUZA-HARDASPUR, P.S-DANAPUR, THANA NO-38 DANAPUR, PATNA, Block- Danapur Mauja - कोथवॉ District - PatnaPlot No -672 And 673",13 Sep 2019
ROYAL SIDDHARTHA ENCLAVE,BRERAP00379-017/105/R-1642/2024,ROYAL PREMIUM DEVELOPERS,,01 Feb 2024
RP Singh Dangi,BRERAP00049-1/348/R-119/2018,APNA ASHIANA BUILDCON PVT.LTD,"Khata-265, Thana No.-51, Thana- Danapur, Block- Patna Sadar Mauja - सैदपुर District - PatnaPlot No -1106 & 1107",01 Aug 2018
RPS STAR,BRERAP00133-3/769/R-739/2019,RPS BUILDERS,"ARYA SAMAJ MANDIR ROAD, MANSHA PANDEY BAGH ARA, Block- Ara Mauja - मुरसीदपुर (बेचिरागी) District - BhojpurPlot No -179,180,181,184,185 and 281/285",26 Aug 2019
RR PLAZA,BRERAP00270-4/1034/R-849/2019,SIMANCHAL INFRATECH PRIVATE LIMITED,"RANGBHOOMI MAIDAN,WARD No.18,PURNEA, Block- Purnia East Mauja - मधुबनी District - PurneaPlot No -1310",26 Nov 2019
RSP TOWER,BRERAP00133-2/64/R-577/2019,RPS BUILDERS,"GODHNA ROAD ARA, Block- Ara Mauja - आरा नगर District - BhojpurPlot No -3119",10 Apr 2019
RUDRA RADHE ANAND COMPLEX,BRERAP00178-6/132/R-1437/2022,RUDRA CONSTRUCTIONS,"Surya Nagar, Surya Mandir, Phase III, Behind State Boring, Block- Danapur Mauja - नसीरपुर (बेचिरागी) District - PatnaPlot No -21 , 22",22 Jul 2022
Rudra Ramchandra Complex,BRERAP00178-7/06/R-1529/2023,RUDRA CONSTRUCTIONS,"R K Puram Near Rudra Ramesh Complex, Danapur, Block- Danapur Mauja - ववक्करपुर District - PatnaPlot No -214,215",26 Apr 2023
Rudra Shila Enclave,BRERAP14236-3/11/R-1560/2023,Satyabhawani Plaza Buildcon Pvt. Ltd.,"Khata No.- 17,59,20, Khesra No.- 72, 73,74,75, Tauzi No.- 6424, Thana No.- 457, Ward No.-3 (Old), 3 (New), Naka No.- 1, Mauza- Nauagadhi Rampati, Pargana- Haweli Darbhanga, P.S.- L.N.M.U, Anchal- Sadar, Dist- Darbhanga, Bihar, Block- Darbhanga Mauja - नवागढ़ी District - DarbhangaPlot No -72,73,74,75",25 Apr 2023
Rudrakshas Moti Palace,BRERAP00855-2/124/R-1288/2022,Rudraksha Infrastructure,"Mauza-Kothwan, Survey Thana- Danapur, Hal Thana- Khagaul, Registry Office- Danapur, Tauzi No- Bihar Sarkar, Thana No- 37, Khata No- 153, District- Patna, Block- Danapur Mauja - कोथवॉ District - PatnaPlot No -330 P",08 Mar 2022
RUKHAIYAR ENCLAVE,BRERAP03349-1/179/R-1264/2022,PRAROOP TECHNOCRATS PRIVATE LIMITED,"GAYA DOBHI ROAD, OPP. CENTRAL JAIL, NEAR RAMPUR, P.S- GAYA- 804403, Block- Sadar Gaya Mauja - मुस्तफाबाद District - GayaPlot No -304",01 Feb 2022
RUKMANI EMPORIUM,BRERAP00464-1/490/R-498/2019,RUKMANI INFRATECH INDIA PVT.LTD.,"JURAN CHAPRA ,WARD NO 5, MUZAFFARPUR, Block- Musahari Mauja - जुरन छपरा District - MuzaffarpurPlot No -656,657,659",06 Mar 2019
Rukmini Palace,BRERAP00164-1/110/R-388/2019,Kuber Aashiyana Private Limited,"NH-80 - Sabour Road, Babupur Mor, Block- Sabour Mauja - सबौर District - BhagalpurPlot No -429",31 Jan 2019
RUPA TOWER,BRERAP00385-2/531/R-340/2019,GANPATI RESIDENCY PRIVATE LIMITED,"R.P.S More Near Doon Public school. Bailey Road, Patna, Block- Danapur Mauja - सगुना District - PatnaPlot No -382",17 Jan 2019
S  S KUSUM ENCLAVE,104/2023/48,SS BASE CONSTRUCTION PRIVATE LIMITED,,
S 2 MALL,BRERAP00017-4/200/R-111/2018,Shanti Creation Pvt. Ltd.,"RASHIDA CHAK, SHITLA MATA MANDIR, AGAM KUAN, PARNA, Block- Patna Sadar Mauja - पहाडी District - PatnaPlot No -428 & 441",26 Jul 2018
S B APARTMENT,BRERAP45037-1/28/R-1187/2021,DAKSHA CONSTRUCTION PRIVATE LIMITED,"NAVRATAN HATA, PURNEA, Block- Purnia East Mauja - मधुबनी District - PurneaPlot No -178",01 Sep 2021
S K PALACE BLOCK-C,BRERAP00356-028/06/R-1641/2024,Vastu vastaya builder pvt ltd,,01 Feb 2024
S K TOWER 14,BRERAP00356-13/219/R-1799/2024,Vastu vastaya builder pvt ltd,"KHESRA PLOT NO 180 NEW , 183 NEW, 184 NEW, KHATA NO.- 185, 186, MAUZA- LAKANPUR, THANA NO.- 287, THANA - MOFFSILL, , Block- Manpur Mauja - लखनपुर District - GayaPlot No -180 NEW, 183, NEW, 184 NEW",17 Jan 2025
S R GRIHAM,BRERAP01030-022/166/R-1685/2024,GRIHAM DEVELOPERS PRIVATE LIMITED,,02 May 2024
S. J. PALACE,BRERAP00920-1/875/R-626/2019,AANJANEYA REALESTATE AND CONSTRUCTION PRIVATE LIMITED,"MAJHAULIA ROAD, MAJHAULI KHETAL, Block- Musahari Mauja - मझौलि खेतल District - MuzaffarpurPlot No -322",20 May 2019
