XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r61891,Vaishnavi Park View,"Kodipur, Bangalore",Price on Request,N/A,Ready to Move,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Kodipur,South Bangalore,,N/A,N/A,N/A,N/A,PRM/KA/RERA/1251/310/AG/171114/000400,Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,Indoor Games
r423312,Bramhandev Krupa,"Prabhadevi, Mumbai",Price on Request,N/A,Ready to Move,1 BHK,260 Sq. Ft (Saleable),Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Prabhadevi,Mumbai South,"Strategically located near Western Express Highway, access,Vibrant neighborhood, Prabhadevi, hub for lifestyle,2 BHK and 3 BHK apartments with modern specifications",N/A,N/A,N/A,N/A,A51800000454,Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,N/A,Party Hall; Indoor Games
r1182,Brigade Omega,"Banashankari, Bangalore",Rs77.98 Lac - 1.47 Cr,"Rs6,372 Per Sq. Ft",Ready to Move,"2, 3, 4 BHK",1270 Sq. Ft to 2390 Sq. Ft (Saleable),Brigade,520 units,6.5 Acres,Ask for Details,1-Jun-16,Banashankari,Central Bangalore,,https://www.squareyards.com/brigade-projects/433/builder,33 Years Experience,25,132,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Medical Facility; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Cards Room; Clubhouse; Indoor Games
r60,Eldeco Aamantran,"Sector 119, Noida",Rs1.15 Cr - 2.25 Cr,"Rs10,288 Per Sq. Ft",Ready to Move,"2, 3 BHK",1111 Sq. Ft to 2185 Sq. Ft (Saleable),Eldeco,598 units,14 Acres,Ask for Details,15-Nov-14,Sector 119,Noida Central,,https://www.squareyards.com/eldeco-projects/38/builder,35 Years Experience,4,68,UPRERAAGT10119,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Treated Water Supply; Guest House; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Solar Lighting; Large Green Area,Sauna; Party Hall; Cards Room; Clubhouse; Indoor Games; Spa; High Street Retail
r377352,Kasturi The Balmoral Riverside,"Balewadi, Pune",Rs1.67 Cr - 4.18 Cr,"Rs14,675 Per Sq. Ft",Under Construction,"3, 4 BHK",1176 Sq. Ft to 2488 Sq. Ft (Carpet),Kasturi,536 units,10.43 Acres,Ask for Details,Ask for Details,Balewadi,Pune West,"Strategic location near Baner Road and Mumbai-Bangalore Highway.,Enjoy luxurious living with VRV AC Fittings and Italian marble flooring.,Power backup for seamless living and convenience.,State-of-the-art gym for a healthy and active lifestyle.,RERA-approved properties with multiple certifications",https://www.squareyards.com/kasturi-projects/536/builder,19 Years Experience,6,13,A51800000454,"Fittings & Fixtures: VRV AC Fittings; Living Area-Flooring: Italian/Imported Marble; Ceilings: False Ceiling; Kitchen-Equipments: Modular Kitchen, Fully Equipped Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure; Master Bedroom-Flooring: Engineered Wooden; Other Bedrooms-Flooring: Engineered Wooden",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Squash Court; Football; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; PNG; Solar Heaters; Home Automation; Treated Water Supply; Pet Area; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Party Hall; Cards Room; Clubhouse; Indoor Games; Food Court
r372024,Krishna Amarillo,"Hinjewadi, Pune",Rs75.00 Lac - 1.02 Cr,"Rs11,206 Per Sq. Ft",Partially Ready To Move,"2, 3 BHK",635 Sq. Ft to 867 Sq. Ft (Carpet),Krishna group Pune,443 units,5 Acres,Ask for Details,Ask for Details,Hinjewadi,Pune West,,https://www.squareyards.com/krishna-group-pune-projects/11805/builder,N/A,3,2,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning; Fittings & Fixtures: Air Conditioner Fittings; Kitchen-Equipments: Modular Kitchen; Bathroom: Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Jogging / Cycle Track; Table Tennis,Power Backup; PNG; Solar Heaters; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Luxurious Clubhouse
r372413,Prestige Misty Waters Phase II,"Hebbal, Bangalore",Rs1.10 Cr - 1.39 Cr,N/A,Ready to Move,"2, 3 BHK",1339 Sq. Ft to 1693 Sq. Ft (Saleable),Prestige,119 units,2 Acres,Ask for Details,Ask for Details,Hebbal,Central Bangalore,,https://www.squareyards.com/prestige-projects/483/builder,33 Years Experience,26,217,PRM/KA/RERA/1251/310/AG/171114/000400,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Ceilings: False Ceiling; Fittings & Fixtures: Split Air Conditioner; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Solar Heaters; Treated Water Supply; Medical Facility; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Emergency Rescue / Alarms,Rain Water Harvesting; Sewage Treatment Plant; Solar Lighting; Large Green Area,Mini Theatre; Party Hall; Clubhouse; Amphitheater; Indoor Games
r417187,Hubtown Rising City Atlanta Heights,"Ghatkopar East, Mumbai",Rs1.97 Cr - 3.35 Cr,N/A,Mid Stage,"2, 3 BHK",630 Sq. Ft to 1073 Sq. Ft (Carpet),Hubtown,217 units,128 Acres,Ask for Details,Ask for Details,Ghatkopar East,Mumbai Central Suburbs,,https://www.squareyards.com/hubtown-projects/553/builder,33 Years Experience,4,67,A51800000454,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Simulator; Golf Putting; Gazebo,Power Backup; Restaurant; Treated Water Supply; High Speed Elevators; Pre-School; Medical Facility; Pet Area; Car Washing Bays; Concierge Desk; Guest House; 24*7 Water Supply; ATM's; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games; Spa; Jacuzzi; Hypermarket; Senior Citizen Area
r301253,Sugee Marina Bay,"Worli, Mumbai",Rs18.00 Cr - 36.57 Cr,"Rs47,527 Per Sq. Ft",Under Construction,"3, 4 BHK",1817 Sq. Ft to 3692 Sq. Ft (Carpet),Sugee,135 units,2 Acres,Ask for Details,Ask for Details,Worli,Mumbai South,"Exclusive 3 BHK & 4 BHK apartments in Worli, Mumbai,Strategically located near Eastern Express Highway & Dr. Annie Besant Road,Stunning 1817-3692 sq. ft. units with premium finishes & acrylic emulsion walls,Unbeatable power backup facilities for a hassle-free living experience,State-of-the-art gymnasium for a healthy and active lifestyle,RERA approved project withRegistration Number P51900011592,Prime location with easy access to city major attractions and amenities",https://www.squareyards.com/sugee-projects/1439/builder,N/A,9,19,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Normal Park / Central Green,Cafe / Coffee Bar; Massage Room; Mini Theatre; Party Hall; Amphitheater; Indoor Games; Jacuzzi
r156481,Siddhivinayak Shubh Aarambh,"Alandi, Pune",Rs26.95 Lac - 37.95 Lac,N/A,Ready to Move,"1, 2 BHK",385 Sq. Ft to 553 Sq. Ft (Carpet),Siddhivinayak Developers Pune City,80 units,0.66 Acres,Ask for Details,Ask for Details,Alandi,Pimpri Chinchwad PCMC,,https://www.squareyards.com/siddhivinayak-developers-pune-city-projects/28067/builder,N/A,1,1,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
r400715,Chheda Prem Nagar Legacy,"Mulund West, Mumbai",Rs1.21 Cr - 2.02 Cr,N/A,Under Construction,"1, 2 BHK",441 Sq. Ft to 735 Sq. Ft (Carpet),Chheda Group Mumbai,81 units,0.83 Acres,Ask for Details,Ask for Details,Mulund West,Mumbai Central Suburbs,,https://www.squareyards.com/chheda-group-mumbai-projects/20095/builder,N/A,2,N/A,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
r34284,TVH Ouranya Bay,"Kelambakkam, Chennai",Rs45.38 Lac - 1.56 Cr,"Rs3,750 Per Sq. Ft",Ready to Move,"2, 3, 4, 5 BHK",Ask for Details,TVH,612 units,14.5 Acres,Ask for Details,30-Aug-17,Kelambakkam,Chennai South,"Affordable luxury apartments near ECR State Highway SH 49,Strategic location on Old Mahabalipuram Road, Chennai,Contemporary amenities like power backup and gymnasium,Spacious rooms with vitrified tiles flooring,Investment opportunity in Kelambakkam s prime locality",https://www.squareyards.com/tvh-projects/636/builder,22 Years Experience,11,N/A,Delhi/Agent/0027/2017,Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Table Tennis,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; Intercom Facility,Rain Water Harvesting; Normal Park / Central Green; Solar Lighting,Reading Room/Library; Party Hall; Clubhouse; Indoor Games
r79370,Lodha Elisium,"Wadala, Mumbai",Rs4.42 Cr - 5.13 Cr,"Rs31,856 Per Sq. Ft",Ready to Move,"2, 3 BHK",763 Sq. Ft to 1069 Sq. Ft (Carpet),Lodha,22 units,2.12 Acres,Ask for Details,30-Aug-17,Wadala,Mumbai South,,https://www.squareyards.com/lodha-projects/521/builder,39 Years Experience,40,341,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; Medical Facility; Centralized AC; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smart Card Access; Intercom Facility; Video Phone; Emergency Rescue / Alarms,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Indoor Games; Luxurious Clubhouse
r353221,Goel Ganga Altus,"Kharadi, Pune",Rs65.00 Lac - 86.69 Lac,N/A,Under Construction,"2, 3 BHK",617 Sq. Ft to 802 Sq. Ft (Carpet),Goel Ganga Group,400 units,3.37 Acres,Ask for Details,Ask for Details,Kharadi,Pune East,,https://www.squareyards.com/goel-ganga-group-projects/445/builder,36 Years Experience,5,117,A51800000454,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Volleyball; Yoga Areas; Table Tennis; Snooker/Pool/Billiards,Power Backup; Solar Heaters; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Multi Brand Retail; High Street Retail
r385001,Prestige Marigold,"Bettenahalli, Bangalore",Rs85.00 Lac - 1.70 Cr,"Rs4,045 Per Sq. Ft",Ready to Move,Ask for Details,1200 Sq. Ft to 2400 Sq. Ft (Saleable),Prestige,396 units,50 Acres,Ask for Details,Ask for Details,Bettenahalli,North Bangalore,,https://www.squareyards.com/prestige-projects/483/builder,33 Years Experience,26,217,PRM/KA/RERA/1251/310/AG/171114/000400,N/A,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Table Tennis; Skating Rink,Power Backup; Treated Water Supply; Pet Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Party Lawn,24 x 7 Security,Large Green Area,Party Hall; Clubhouse; Amphitheater; Indoor Games
r269505,One Indiabulls Thane,"Pokhran Road No Two, Thane",Rs98.00 Lac - 5.12 Cr,N/A,Advanced Stage,"1, 2, 3, 5 BHK",464 Sq. Ft to 2450 Sq. Ft (Carpet),Indiabulls,388 units,7.25 Acres,Ask for Details,Ask for Details,Pokhran Road No Two,Thane West,"Strategically located on Pokhran Road No Two, Thane.,Easy access to Eastern Express Highway and Thane Ghodbunder Road.,Approved under RERA, serial number P51700000958, guaranteeing authenticity.,State-of-the-art gymnasium and reliable power backup for convenience.,Stunning master bedrooms with vitrified tile flooring.",https://www.squareyards.com/indiabulls-projects/55/builder,15 Years Experience,2,28,A51800000454,Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Normal Park / Central Green,Reading Room/Library; Party Hall; Clubhouse; Indoor Games
r3774,BGA Amrita Abashan III,"Sonarpur, Kolkata",Price on Request,N/A,Ready to Move,"1, 2 BHK",455 Sq. Ft to 680 Sq. Ft (Saleable),BGA Realtors,32 units,Ask for Details,Ask for Details,Ask for Details,Sonarpur,South Kolkata,"Prime location in Sonarpur, Garia Main Road at doorstep.,Well-equipped gym for a healthy lifestyle.,Precise power backup for uninterrupted living.,Vitrified tiles flooring in living area.,Apartments near Garia Main Road, easy access.",https://www.squareyards.com/bga-realtors-projects/2013/builder,29 Years Experience,15,N/A,HIRA/A/NOR/2018/000035,Walls: Others; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure; Master Bedroom-Flooring: Ceramic Tiles; Other Bedrooms-Flooring: Ceramic Tiles,Gymnasium; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup,24 x 7 Security,Normal Park / Central Green,Party Hall
r387854,Shri Ratan Luxuria Ratan Annex,"Tardeo, Mumbai",Rs1.03 Cr - 3.62 Cr,N/A,Ready to Move,"1, 2, 3, 4 BHK",317 Sq. Ft to 1105 Sq. Ft (Carpet),Shri Nakoda Enterprises,43 units,0.52 Acres,Ask for Details,Ask for Details,Tardeo,Mumbai South,,https://www.squareyards.com/shri-nakoda-enterprises-projects/9590/builder,N/A,1,1,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Normal Park / Central Green,Indoor Games
r260688,Brigade 7 Gardens,"Banashankari, Bangalore",Rs85.00 Lac - 1.16 Cr,"Rs7,935 Per Sq. Ft",Ready to Move,"2, 3 BHK",1165 Sq. Ft to 1603 Sq. Ft (Saleable),Brigade,336 units,8 Acres,Ask for Details,31-Oct-20,Banashankari,Central Bangalore,,https://www.squareyards.com/brigade-projects/433/builder,33 Years Experience,25,132,PRM/KA/RERA/1251/310/AG/171114/000400,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator, Microwave; Bathroom: Shower Panel, Geyser, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; PNG; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Reading Room/Library; Party Hall; Clubhouse; Indoor Games; Hypermarket
r22964,Nyati Eternity,"Mohammadwadi, Pune",Rs46.82 Lac - 95.00 Lac,"Rs8,621 Per Sq. Ft",Ready to Move,"1, 2, 3 BHK",690 Sq. Ft to 1400 Sq. Ft (Saleable),Nyati,800 units,14 Acres,Ask for Details,30-Jun-16,Mohammadwadi,Pune South,"Nyati Eternity, a prestigious project in Mohammadwadi, Pune.,Proximity to Pervati Road, Katraj Kondhwa Road, and Kondhwa Road.,Well-equipped gymnasium for a healthy lifestyle.,Backup power supply ensures continuous living.,Spacious apartments with vitrified tiles flooring.",https://www.squareyards.com/nyati-projects/525/builder,22 Years Experience,8,60,A51800000454,Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Attached Market; Treated Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Large Green Area,Party Hall; Clubhouse; Indoor Games; Obeservatory Deck
r400573,Sumeru Eastern Arc,"Badowala, Dehradun",Rs17.84 Lac - 35.76 Lac,"Rs3,425 Per Sq. Ft",Ready to Move,"1, 2 BHK",Ask for Details,Sumeru Infrastructure,444 units,Ask for Details,Ask for Details,Ask for Details,Badowala,Dehradun West,"Esteemed project with Rera certification, UKREP09170000030.,Close proximity to Badowala, a prime sublocation.,Well-equipped with power backup for uninterrupted living.,World-class amenities include kids play areas and sand pits.,Lavish finishing with oil bound distemper and vitrified tiles.",https://www.squareyards.com/sumeru-infrastructure-projects/2649/builder,N/A,1,N/A,UKREA0810000019,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,Indoor Games
r12234,Vipul Greens,"Sector 48, Gurgaon",Rs1.99 Cr - 3.62 Cr,N/A,Ready to Move,"3, 4, 5 BHK",1860 Sq. Ft to 3387 Sq. Ft (Saleable),Vipul,644 units,17.18 Acres,Ask for Details,30-Jul-13,Sector 48,Sohna Road,,https://www.squareyards.com/vipul-projects/124/builder,18 Years Experience,1,16,660/2017/307,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Indoor Games; Senior Citizen Area
r266,Kolte Patil 24K Allura,"NIBM Road, Pune",Price on Request,N/A,Well Occupied,"3, 4 BHK",1685 Sq. Ft to 2285 Sq. Ft (Saleable),Kolte Patil Developers Ltd,144 units,2 Acres,Ask for Details,Ask for Details,NIBM Road,Pune South,,https://www.squareyards.com/kolte-patil-developers-ltd-projects/457/builder,29 Years Experience,15,125,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
r315451,Rustomjee The Panorama,"Pali Hill, Mumbai",Rs30.00 Cr - 38.00 Cr,N/A,New Launch,"4, 5 BHK",2543 Sq. Ft to 3220 Sq. Ft (Carpet),Rustomjee,25 units,0.42 Acres,Ask for Details,Ask for Details,Pali Hill,Mumbai Western Suburbs,"Experience premium living on luxurious 4 & 5 BHK apartments in Pali Hill.,Strategically located near Swami Vivekanand Road, Link Road, and Western Express Highway.,Enjoy unparalleled views from Rustomjee The Panorama elevation-rich apartments in Pali Hill.,Stay fit with the state-of-the-art gym facility and power backup for 24/7 convenience.,Experience luxurious living amidst the charm of Pali Hill with Rustomjee The Panorama.,Luxuriate in spacious 4 & 5 BHK apartments with high-quality specifications like oil-bound distemper walls.",https://www.squareyards.com/rustomjee-projects/599/builder,23 Years Experience,15,82,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r403514,Lodha Acenza,"Andheri East, Mumbai",Rs5.68 Cr - 8.06 Cr,N/A,Under Construction,"3, 4 BHK",1480 Sq. Ft to 2100 Sq. Ft (Carpet),Lodha,187 units,3 Acres,Ask for Details,Ask for Details,Andheri East,Mumbai Western Suburbs,,https://www.squareyards.com/lodha-projects/521/builder,39 Years Experience,40,341,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Ceilings: False Ceiling; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Shower Panel, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Football; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Party Hall; Clubhouse; Amphitheater; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Obeservatory Deck; Senior Citizen Area
