XID,Registration Number,Apartment Type,Block Number,Carpet Area (In sq. meters),Area of Exclusive Balcony (In sq. meters),Area of Exclusive Verandah (In sq. meters),Area of Exclusive Terrace (In sq. meters),Area of Exclusive Store (In sq. meters),Any Other Area (In sq. meters),Proposed Number of Apartments,
r435628,RAJ/P/2024/3341,SHOP NO. KS-1,K,13.77,0,0,0,0,0,1,0
r435628,RAJ/P/2024/3341,SHOP NO. KS-2,K,13.63,0,0,0,0,0,1,0
r435628,RAJ/P/2024/3341,SHOP NO. KS-3 TO KS-4,K,9.17,0,0,0,0,0,2,0
r435628,RAJ/P/2024/3341,SHOP NO. KS-5,K,158.59,0,0,0,0,0,1,0
r291041,RAJ/P/2017/345,2 BHK,Block - 1,2190.6,200.52,0,0,0,0,36,24
r291041,RAJ/P/2017/345,2 BHK PENTHOUSE,Block - 1,121.7,11.14,0,0,0,0,2,0
r291041,RAJ/P/2017/345,3 BHK,Block - 1,1506.6,133.74,0,0,0,0,18,9
r291041,RAJ/P/2017/345,3 BHK,Block - 1,335.92,36,0,0,0,0,4,4
r291041,RAJ/P/2017/345,3-BHK,Block - 1,6046.56,534.96,0,0,0,0,72,70
r291041,RAJ/P/2017/345,3BHK PENTHOUSE,Block - 1,83.7,8.91,0,0,0,0,1,1
r291041,RAJ/P/2017/345,2 BHK,Block - 2,2190.6,200.52,0,0,0,0,36,17
r291041,RAJ/P/2017/345,2 BHK PENTHOUSE,Block - 2,121.7,11.14,0,0,0,0,2,0
r291041,RAJ/P/2017/345,3 BHK,Block - 2,4534.92,401.22,0,0,0,0,54,53
r291041,RAJ/P/2017/345,3 BHK,Block - 2,1108.1,70.14,0,0,0,0,14,8
r291041,RAJ/P/2017/345,3 BHK PENT HOUSE,Block - 2,251.94,26.73,0,0,0,0,3,1
r291041,RAJ/P/2017/345,3 BHK PENTHOUSE,Block - 2,79.15,5.01,0,0,0,0,1,1
r291041,RAJ/P/2017/345,4 BHK,Block - 3,2720.7,431.28,0,0,0,0,18,18
r291041,RAJ/P/2017/345,4 BHK,Block - 3,2819.34,411.3,0,0,0,0,18,17
r291041,RAJ/P/2017/345,4 BHK PENT HOUSE,Block - 3,151.15,23.96,0,0,0,0,1,0
r291041,RAJ/P/2017/345,4 BHK PENTHOUSE,Block - 3,156.63,22.85,0,0,0,0,1,0
r291541,RAJ/P/2017/244,TYPE A3 - 5 BHK (tower A),Block - 1,289.43,67.4,0,0,0,0,1,1
r291541,RAJ/P/2017/244,TYPE A3 - 5 BHK (tower A),Block - 1,289.4,56.73,0,0,0,0,1,1
r291541,RAJ/P/2017/244,TYPE A3 - 5 BHK (tower A),Block - 1,289.43,60.14,0,0,0,0,5,5
r291541,RAJ/P/2017/244,TYPE A3 - 5 BHK (tower A),Block - 1,289.4,58.83,0,0,0,0,5,5
r291541,RAJ/P/2017/244,TYPE A3 - 5 BHK (tower A),Block - 1,289.43,62,0,0,0,0,4,4
r291541,RAJ/P/2017/244,TYPE A3 - 5 BHK (tower A),Block - 1,289.4,57,0,0,0,0,4,4
r291541,RAJ/P/2017/244,TYPE A3 - Duplex(tower A),Block - 1,547.7,112.17,0,0,0,0,1,1
r291541,RAJ/P/2017/244,TYPE A3 Duplex (tower A),Block - 1,547.68,120.01,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A3- Pent House (Duplex tower A),Block - 1,532.24,158.9,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type A3-Pent house (Duplex tower A),Block - 1,528.54,163.24,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type A2- 5BHK (Tower B),Block - 2,289.43,57.81,0,0,0,0,4,4
r291541,RAJ/P/2017/244,Type A2- 5BHK(Tower B),Block - 2,289.31,61.19,0,0,0,0,4,4
r291541,RAJ/P/2017/244,Type A2-5BHK (tower B),Block - 2,288.68,56.14,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A2-5BHK (tower B),Block - 2,288.66,59.56,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A2-5BHK (tower B),Block - 2,289.3,56.88,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A2-5BHK (tower B),Block - 2,289.31,62.11,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A2-5BHK (tower B),Block - 2,289.4,56.96,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A2-5BHK (tower B),Block - 2,289.31,67.4,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A2-5BHK (tower B),Block - 2,289.37,59.64,0,0,0,0,5,5
r291541,RAJ/P/2017/244,Type A2-5BHK (tower B),Block - 2,289.27,59.36,0,0,0,0,5,5
r291541,RAJ/P/2017/244,Type A2-Pent house (Duplex Tower B),Block - 2,528,159.06,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A2-Pent House(Duplex Tower B),Block - 2,531.63,161.82,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type A1-5 BHK(Tower C),Block - 3,289.42,67.59,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A1-5BHK(Tower C),Block - 3,288.68,59.31,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A1-5BHK(Tower C),Block - 3,288.67,56.01,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A1-5BHK(Tower C),Block - 3,288.79,60.69,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A1-5BHK(Tower C),Block - 3,288.78,55.59,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type A1-5BHK(Tower C),Block - 3,289.31,56.73,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type A1-5BHK(Tower C),Block - 3,289.41,60.16,0,0,0,0,5,5
r291541,RAJ/P/2017/244,Type A1-5BHK(Tower C),Block - 3,289.31,58.83,0,0,0,0,5,5
r291541,RAJ/P/2017/244,Type A1-5BHK(Tower C),Block - 3,289.41,62,0,0,0,0,4,4
r291541,RAJ/P/2017/244,Type A1-5BHK(Tower C),Block - 3,289.31,57,0,0,0,0,4,4
r291541,RAJ/P/2017/244,Type A1-Pent House(Tower C),Block - 3,532.36,163.93,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type A1-Pent House(Tower C),Block - 3,530.09,157.05,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,219.69,37.65,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,219.69,39.65,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,221.19,37.2,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,221.21,41.58,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,221.31,38.6,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,221.41,46.34,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,221.31,40.7,0,0,0,0,5,4
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,221.41,40.57,0,0,0,0,5,3
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,221.31,38.33,0,0,0,0,6,6
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,221.41,42.28,0,0,0,0,5,4
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower D),Block - 4,221.41,40.83,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,219.69,39.64,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,219.69,37.65,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,221.29,41.58,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,221.19,37.2,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,221.41,46.34,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,221.31,38.6,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,221.41,40.57,0,0,0,0,5,3
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,221.31,40.64,0,0,0,0,5,3
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,221.41,42.24,0,0,0,0,5,4
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,221.31,38.31,0,0,0,0,6,3
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower E),Block - 5,221.41,40.79,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,219.69,37.65,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,219.69,39.64,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,221.19,37.2,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,221.29,41.63,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,221.31,38.6,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,221.41,46.34,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,221.31,40.64,0,0,0,0,5,4
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,221.41,40.57,0,0,0,0,5,3
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,221.31,38.31,0,0,0,0,6,3
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,221.41,42.24,0,0,0,0,5,3
r291541,RAJ/P/2017/244,Type B1-4BHK(Tower F),Block - 6,221.41,40.79,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK ( Tower G),Block - 7,221.41,42.24,0,0,0,0,4,4
r291541,RAJ/P/2017/244,Type B2-4BHK (Tower G),Block - 7,221.31,38.31,0,0,0,0,4,3
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower G),Block - 7,219.69,39.65,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower G),Block - 7,219.69,37.65,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower G),Block - 7,221.29,41.65,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower G),Block - 7,221.19,37.2,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower G),Block - 7,221.41,46.34,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower G),Block - 7,221.31,38.6,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower G),Block - 7,221.41,40.57,0,0,0,0,5,4
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower G),Block - 7,221.31,40.64,0,0,0,0,5,4
r291541,RAJ/P/2017/244,Type B2-Pent House(DuplexTower G),Block - 7,423.56,85.73,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type B2-Pent House(DuplexTower H),Block - 7,422.77,82.11,0,0,0,0,1,1
r291541,RAJ/P/2017/244,TYPE B2 - Pent House (Duplex tower H),Block - 8,422.47,82.12,0,0,0,0,1,1
r291541,RAJ/P/2017/244,TYPE B2 - Pent House (Duplex tower H),Block - 8,423.52,85.78,0,0,0,0,1,1
r291541,RAJ/P/2017/244,Type B2- 4BHK (Tower H),Block - 8,221.41,42.24,0,0,0,0,4,3
r291541,RAJ/P/2017/244,Type B2- 4BHK( Tower H),Block - 8,221.31,38.31,0,0,0,0,4,2
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower H),Block - 8,219.69,37.65,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower H),Block - 8,219.69,39.65,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower H),Block - 8,221.19,37.2,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower H),Block - 8,221.29,41.65,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower H),Block - 8,221.31,38.6,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower H),Block - 8,221.41,46.34,0,0,0,0,1,0
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower H),Block - 8,221.31,40.64,0,0,0,0,5,4
r291541,RAJ/P/2017/244,Type B2-4BHK(Tower H),Block - 8,221.41,40.57,0,0,0,0,5,4
r100125,RAJ/P/2022/1977,2 BHK (Flat No. 101-1201),Block- 1,66.55,6.46,0,0,0,0,12,6
r100125,RAJ/P/2022/1977,2 BHK (Flat No. 103-1103),Block- 1,63.79,4.29,0,0,0,0,11,5
r100125,RAJ/P/2022/1977,2 BHK (Flat No. 104-1104),Block- 1,61.35,4.17,0,0,0,0,11,4
r100125,RAJ/P/2022/1977,2 BHK (Flat No. 106-1206),Block- 1,66.43,6.49,0,0,0,0,12,7
r100125,RAJ/P/2022/1977,2 BHK (Flat No. 107-1207),Block- 1,64.53,4.17,0,0,0,0,12,2
r100125,RAJ/P/2022/1977,2 BHK (Flat No. 108-1208),Block- 1,62.91,4.12,0,0,0,0,12,3
r100125,RAJ/P/2022/1977,3 BHK (Flat No. 102-1202),Block- 1,86.15,13.38,0,0,0,0,12,7
r100125,RAJ/P/2022/1977,3 BHK (Flat No. 105-1205),Block- 1,86.24,13.34,0,0,0,0,12,7
r100125,RAJ/P/2022/1977,COMMERCIAL,Block- 1,363.72,0,0,0,0,0,1,1
r100125,RAJ/P/2022/1977,SHOWROOM 1,Block- 1,18.94,0,0,0,0,0,1,0
r100125,RAJ/P/2022/1977,SHOWROOM 11,Block- 1,17.18,0,0,0,0,0,1,0
r100125,RAJ/P/2022/1977,SHOWROOM 12,Block- 1,30.64,0,0,0,0,0,1,0
r100125,RAJ/P/2022/1977,SHOWROOM 2,Block- 1,16.83,0,0,0,0,0,1,0
r100125,RAJ/P/2022/1977,SHOWROOM 3 - SHOWROOM 4,Block- 1,16.77,0,0,0,0,0,2,1
r100125,RAJ/P/2022/1977,SHOWROOM 5,Block- 1,17.77,0,0,0,0,0,1,1
r100125,RAJ/P/2022/1977,SHOWROOM 6,Block- 1,17.46,0,0,0,0,0,1,1
r100125,RAJ/P/2022/1977,SHOWROOM 7,Block- 1,17.45,0,0,0,0,0,1,0
r100125,RAJ/P/2022/1977,SHOWROOM 8,Block- 1,17.76,0,0,0,0,0,1,0
r100125,RAJ/P/2022/1977,SHOWROOM 9 - SHOWROOM 10,Block- 1,16.76,0,0,0,0,0,2,0
r100125,RAJ/P/2022/1977,STUDIO (E XII 01 - XII 02),Block- 1,23.7,1.97,0,0,0,0,2,0
r100125,RAJ/P/2022/1977,STUDIO (E XII 03),Block- 1,20.94,5.37,0,0,0,0,1,0
r100125,RAJ/P/2022/1977,STUDIO (E XII 04),Block- 1,23.16,4.18,0,0,0,0,1,0
r100125,RAJ/P/2022/1977,STUDIO (E XII 05),Block- 1,21.98,3.97,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2 BHK (SMALL) TYPE-I,,74.33,14.99,0,0,0,0,20,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-I),,77.31,22.34,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-II),,85.93,13.38,0,0,0,0,3,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-II),,74.33,16.13,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-II),,74.33,22.05,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-III),,105.91,13.38,0,0,0,0,20,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-III),,85.34,19.75,0,0,0,0,2,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-III),,85.34,14.99,0,0,0,0,22,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-IV),,74.33,22.05,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-V),,85.34,14.99,0,0,0,0,22,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-V),,74.33,24.84,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-VI),,61.13,15.66,0,0,0,0,3,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-VII),,74.33,24.84,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2 BHK (TYPE-VIII),,74.33,16.13,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2 BHK(TYPE-I),,64.44,9.83,0,0,0,0,2,0
r3006,RAJ/P/2017/329,2 BHK(TYPE-I),,85.34,19.75,0,0,0,0,2,0
r3006,RAJ/P/2017/329,2BHK (SMALL) TYPE-I,,63.7,15.66,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2BHK (SMALL) TYPE-II,,64.44,9.83,0,0,0,0,2,0
r3006,RAJ/P/2017/329,2BHK (SMALL) TYPE-II,,73.13,11.73,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2BHK (TYPE-I),,83.88,22.31,0,0,0,0,22,0
r3006,RAJ/P/2017/329,2BHK (TYPE-I),,73.13,7.28,0,0,0,0,10,0
r3006,RAJ/P/2017/329,2BHK (TYPE-II),,77.31,22.34,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2BHK (TYPE-II),,74.33,14.99,0,0,0,0,12,0
r3006,RAJ/P/2017/329,2BHK (TYPE-III),,85.93,13.38,0,0,0,0,3,0
r3006,RAJ/P/2017/329,2BHK (TYPE-III),,85.34,14.99,0,0,0,0,12,0
r3006,RAJ/P/2017/329,2BHK (TYPE-IV),,74.33,14.99,0,0,0,0,20,0
r3006,RAJ/P/2017/329,2BHK (TYPE-IV),,66.16,8.58,0,0,0,0,1,0
r3006,RAJ/P/2017/329,2BHK (TYPE-VI),,54.13,6.22,0,0,0,0,2,0
r3006,RAJ/P/2017/329,2BHK (TYPE-VII),,58.84,2.69,0,0,0,0,2,0
r3006,RAJ/P/2017/329,2BHK (TYPE-VIII),,66.16,7.28,0,0,0,0,10,0
r3006,RAJ/P/2017/329,3 BHK - TYPE 2,,106.69,9.67,0,0,0,0,1,0
r3006,RAJ/P/2017/329,3 BHK (SMALL),,116.23,13.28,0,0,0,0,19,0
r3006,RAJ/P/2017/329,3 BHK (SMALL),,116.23,13.28,0,0,0,0,19,0
r3006,RAJ/P/2017/329,3 BHK (SMALL) -TYPE 1,,115.93,9.67,0,0,0,0,19,0
r3006,RAJ/P/2017/329,3 BHK (SMALL) TYPE-1,,115.93,9.67,0,0,0,0,19,0
r3006,RAJ/P/2017/329,3 BHK (TYPE-II),,106.69,9.67,0,0,0,0,1,0
r3006,RAJ/P/2017/329,3 BHK (TYPE-III),,109.81,13.29,0,0,0,0,2,0
r3006,RAJ/P/2017/329,3 BHK (TYPE-V),,61.13,15.66,0,0,0,0,3,0
r3006,RAJ/P/2017/329,3 BHK -TYPE 1,,106.97,13.28,0,0,0,0,1,0
r3006,RAJ/P/2017/329,3BHK (TYPE-I),,106.97,13.28,0,0,0,0,1,0
r3006,RAJ/P/2017/329,3BHK (TYPE-I),,107.49,14.31,0,0,0,0,1,0
r3006,RAJ/P/2017/329,3BHK (TYPE-I),,107.49,14.31,0,0,0,0,22,0
r3006,RAJ/P/2017/329,3BHK (TYPE-II),,105.91,13.38,0,0,0,0,20,0
r3006,RAJ/P/2017/329,3BHK (TYPE-II),,107.49,20.64,0,0,0,0,2,0
r3006,RAJ/P/2017/329,3BHK (TYPE-III),,107.49,20.64,0,0,0,0,2,0
r3006,RAJ/P/2017/329,3BHK (TYPE-IV),,109.81,13.29,0,0,0,0,2,0
r3006,RAJ/P/2017/329,3BHK (TYPE-IV),,74.33,24.84,0,0,0,0,1,0
r3006,RAJ/P/2017/329,3BHK (TYPE-V),,83.88,22.31,0,0,0,0,2,0
r302159,RAJ/P/2017/412,"2BHK FLAT NO.,105,205,305,405,505,605,705,805,905,1005,1105,1205",Block - 1,48.59,5.26,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.101,201,301,401,501,601,701,801,901,1001,1101,1201",Block - 1,48.59,5.26,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.104,204,304,404,504,604,704,804,904,1004,1104,1204",Block - 1,48.59,5.26,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.108,208,308,408,508,608,708,808,908,1008,1108,1208",Block - 1,48.59,5.26,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.102,202,302,402,502,602,702,802,902,1002,1102,1202",Block - 1,59.94,7.58,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.103,203,303,403,503,603,703,803,903,1003,1103,1203",Block - 1,59.94,7.58,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.106,206,306,406,506,606,706,806,906,1006,1106,1206",Block - 1,59.94,7.58,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.107,207,307,407,507,607,707,807,907,1007,1107,1207",Block - 1,59.94,7.58,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.,105,205,305,405,505,605,705,805,905,1005,1105,1205",Block - 2,48.59,5.26,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.101,201,301,401,501,601,701,801,901,1001,1101,1201",Block - 2,48.59,5.26,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.104,204,304,404,504,604,704,804,904,1004,1104,1204",Block - 2,48.59,5.26,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.108,208,308,408,508,608,708,808,908,1008,1108,1208",Block - 2,48.59,5.26,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.102,202,302,402,502,602,702,802,902,1002,1102,1202",Block - 2,59.94,7.58,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.103,203,303,403,503,603,703,803,903,1003,1103,1203",Block - 2,59.94,7.58,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.106,206,306,406,506,606,706,806,906,1006,1106,1206",Block - 2,59.94,7.58,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.107,207,307,407,507,607,707,807,907,1007,1107,1207",Block - 2,59.94,7.58,0,0,0,0,12,
r302159,RAJ/P/2017/412,shop no.1,Block - 2,10.46,0,0,0,0,0,1,
r302159,RAJ/P/2017/412,shop no.2,Block - 2,10.46,0,0,0,0,0,1,
r302159,RAJ/P/2017/412,shop no.3,Block - 2,12,0,0,0,0,0,1,
r302159,RAJ/P/2017/412,shop no.4,Block - 2,12,0,0,0,0,0,1,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.102,202,302,402,502,602,702,802,902,1002,1102,1202",Block - 3,62.22,7.47,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.105,205,305,405,505,605,705,805,905,1005,1105,1205",Block - 3,61.92,5.59,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.114,214,314,414,514,614,714,814,914,1014,1114,1214",Block - 3,62.32,9.24,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.115,215,315,415,515,615,715,815,915,1015,1115,1215",Block - 3,62.32,9.13,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.117,217,317,417,517,617,717,817,917,1017,1117,1217",Block - 3,62.32,8.46,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.118,218,318,418,518,618,718,818,918,1018,1118,1218",Block - 3,62.32,8.46,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHK FLAT NO.121,221,321,421,521,621,721,821,921,1021,1121,1221",Block - 3,62.32,8.46,0,0,0,0,12,
r302159,RAJ/P/2017/412,"2BHKFLAT NO.122,222,322,422,522,622,722,822,922,1022,1122,1222",Block - 3,62.32,8.46,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.101,201,301,401,501,601,701,801,901,1001,1101,1201",Block - 3,89.67,10.05,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.103,203,303,403,503,603,703,803,903,1003,1103,1203",Block - 3,89.84,9.75,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.104,204,304,404,504,604,704,804,904,1004,1104,1204",Block - 3,77.62,11.75,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.106,206,306,406,506,606,706,806,906,1006,1106,1206",Block - 3,89.84,9.88,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.107,207,307,407,507,607,707,807,907,1007,1107,1207",Block - 3,89.84,9.75,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.108,208,308,408,508,608,708,808,908,1008,1108,1208",Block - 3,89.84,9.75,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.109,209,309,409,509,609,709,809,909,1009,1109,1209",Block - 3,89.84,9.75,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.110,210,310,410,510,610,710,810,910,1010,1110,1210",Block - 3,89.84,9.75,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.111,211,311,411,511,611,711,811,911,1011,1111,1211",Block - 3,77.47,11.75,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.116,216,316,416,516,616,716,816,916,1016,1116,1216",Block - 3,77.75,8.82,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.119,219,319,419,519,619,719,819,919,1019,1119,1219",Block - 3,89.84,10.05,0,0,0,0,12,
r302159,RAJ/P/2017/412,"3BHK FLAT NO.120,220,320,420,520,620,720,820,920,1020,1120,1220",Block - 3,89.84,9.88,0,0,0,0,12,
r61689,RAJ/P/2018/779,2 BHK + 2 Bathroom + Store (Magnolia),,75.7,6.06,0,0,0,0,24,0
r61689,RAJ/P/2018/779,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r61689,RAJ/P/2018/779,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r61689,RAJ/P/2018/779,3 BHK + 2 Bathrooms (Lavender),,93.2,10.35,0,0,0,0,24,0
r61689,RAJ/P/2018/779,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r61689,RAJ/P/2018/779,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r349509,RAJ/P/2020/1180,3 BHK+Staff,,118.53,9.89,0,0,0,0,26,19
r349509,RAJ/P/2020/1180,4 BHK,,151.68,14.69,0,0,0,0,26,26
r349509,RAJ/P/2020/1221,3 BHK+Staff,,118.53,9.89,0,0,0,0,28,27
r349509,RAJ/P/2020/1221,4 BHK,,151.68,14.69,0,0,0,0,28,28
r367203,RAJ/P/2020/1266,"2BHK A-01,07 2nd to 8th and 11th to 14th Floors",1,71.83,17.07,0,0,0,0,22,17
r367203,RAJ/P/2020/1266,2BHK A-07 9th And 10th Floor,1,71.83,10.91,0,0,0,0,2,1
r367203,RAJ/P/2020/1266,"2BHK B-01,02 2nd to 8th and 11th to 14th Floors",2,71.83,10.91,0,0,0,0,22,9
