Sr.No.,Project Name,Promoter Name,Promoter Address,Project Type,Email Id,Mobile No,Project Registration No.,District,Approved on
2902,896 EWS 1 AT R14 R15 R16 AT TARSAMIYA BHAVNAGAR,GUJARAT HOUSING BOARD,NARANPURA AHMEDABAD Ahmedabad 380013,Residential/Group Housing,ghb.phase6@gmail.com,9099996558,PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/RAA04965/EX2/121023,Bhavnagar,02-03-2019
2903,192 EWS 2 AT 10B TARSAMIYA BHAVNAGAR,GUJARAT HOUSING BOARD,NARANPURA AHMEDABAD Ahmedabad 380013,Residential/Group Housing,ghb.phase6@gmail.com,9099996558,PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/RAA04982/EX1/180822,Bhavnagar,07-03-2019
2904,UTSAV ENCLAVE,UTSAV ENCLAVE,"Utsav Enclave, T.P. 59, F.P. 109/A, BLOCK NO. 130 UNN Surat 394210",Residential/Group Housing,utsavenclave546@gmail.com,9879500546,PR/GJ/SURAT/SURAT CITY/SUDA/RAA05216/EX1/081024/300625,Surat,05-04-2019
2905,SURAMYA BUNGALOWS,RAJENDRABHAI DAHYABHAI PATEL Proprietor of MATAJI INFRA,"B-84, BALAJI NAGAR, VIP ROAD AMIT NAGAR CIRCLE, KARELIBAUG Vadodara 390001",Residential/Group Housing,matajiinfra01@gmail.com,9825577083,PR/GJ/VADODARA/VADODARA/Others/RAA05302/220419,Vadodara,22-04-2019
2906,ANTRIKSH,KR INFRA,D-402 SHREE RANG AROMA Gandhinagar 382007,Residential/Group Housing,info@kaavyaratna.com,9558818904,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA05239/100419,Gandhinagar,10-04-2019
2907,AKSHAR HEIGHTS,AKSHAR HEIGHTS ENTERPRISE,"BEHIND DWARIKADHISH HEIGHTS,SHITAL PARK CIRCLE, 150 FEET RING ROAD Rajkot 360006",Residential/Group Housing,aksharheightssss@gmail.com,9172264513,PR/GJ/RAJKOT/RAJKOT/Others/RAA05211/040419,Rajkot,04-04-2019
2908,THE ETERNITY PARK PHASE 1,NAGJUA LIFESPACES,"SHOP NO. 29-32, NAGJUA,GARDEN CITY SAMARVANI, SILVASSA Dadra and Nagar Haveli 396230",Residential/Group Housing,serenityparkp1@gmail.com,9924065559,PR/GJ/VALSAD/PARDI/Others/RAA05341/A1R/050121,Valsad,29-04-2019
2909,SHREEJI HEIGHT,SHREEJI BUILDCON,"19, AKSHAR 3, JUNAGADH BYPASS, NEAR ZANZARDA CROSS ROAD, JUNAGADH Rajkot 362001",Residential/Group Housing,shreejiheightsrera@gmail.com,9909400035,PR/GJ/RAJKOT/RAJKOT/Others/RAA06056/190919,Rajkot,19-09-2019
2910,PRAMUKH SOLITAIRE,SAHAJ HOMES LLP,"201 SIGNATURE COMPLEX ABOVE YES BANK, DHARAMPUR ROAD Valsad 396001",Residential/Group Housing,pramukhsolitaire@gmail.com,9510977031,PR/GJ/VALSAD/VALSAD/Others/RAA06260/251019,Valsad,25-10-2019
2911,SUMUKH TOWNSHIP,SHIVAM DEVELOPERS,SHREE THAKORJI NAGAR NEW CIVIL HOSPITAL NANAKWADA Valsad 396001,Residential/Group Housing,shivamcic@yahoo.com,9825119890,PR/GJ/VALSAD/VALSAD/Others/RAA06855/070320,Valsad,07-03-2020
2912,GOKUL APARTMENT,R D DEVELOPERS,"Poonam, Panchshil Society, Street No. 10 Near Doshi Hospital, Gondal Road Rajkot 360004",Residential/Group Housing,gokulapartmentrera@gmail.com,7202851515,PR/GJ/RAJKOT/RAJKOT/Others/RAA06910/170320,Rajkot,17-03-2020
2913,GREEN CITY,SHREE DEVELOPERS,"PLOT NO 56 57 58, MAVDI SURVEY NO 256/1 AND 257, AMBIKA PARK, NANA MAVA ROAD, Rajkot 360005",Residential/Group Housing,shreedevelop2018@gmail.com,9687840200,PR/GJ/RAJKOT/RAJKOT/Others/RAA09182/141021,Rajkot,14-10-2021
2914,VRUNDAVAN RESIDENCY,RADHE DEVELOPERS,16 NARAYAN NAGAR VAVOL Gandhinagar 382016,Residential/Group Housing,ramaniandvasoya@gmail.com,9824545566,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA05346/EX1/101122,Gandhinagar,30-04-2019
2915,SIDDHIVINAYAK RESIDENCY,SOMNATH INFRASTRUCTURE,B1/11 GALAXY SIGNATURE SCIENCE CITY ROAD SOLA ROAD Ahmedabad 380060,Residential/Group Housing,infra.somnath59@gmail.com,9825218503,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA05514/060619,Ahmedabad,06-06-2019
2916,SHERATON TOWER,ANANTA BUILDERS AND DEVELOPERS,"SHOP NO A/1, PRIYANK TOWNSHIP, SUDAMA CHOWK MOTA VARACHHA Surat 394101",Residential/Group Housing,thesheretontowar@gmail.com,9974304545,PR/GJ/SURAT/SURAT CITY/SUDA/RAA05325/250419,Surat,25-04-2019
2917,Madhav Platina,MADHAV ENTERPRISE,"R.S.No. 86, Block No. 121, Moje: Jahangipura, Surat Surat 395005",Residential/Group Housing,pmonpara@gmail.com,9737033333,PR/GJ/SURAT/CHORASI/SUDA/RAA05730/160719,Surat,16-07-2019
2918,AARAV FLORA,ARVI CONSTRUCTION,"OFFICE NO 301, RADHESHYAM 1, NEAR BALAJI HALL 150 FEET RING ROAD Rajkot 360005",Residential/Group Housing,aaravflora01@gmail.com,9979872101,PR/GJ/RAJKOT/RAJKOT/Others/RAA05751/190719,Rajkot,19-07-2019
2919,SHYAM SHIKHAR,Propritorship of HIMAXIBEN JIGANESHBHAI PATEL,"HAVELI, SHYAM VIHAR SOCIETY VIDHYANAGAR-KARAMSAD ROAD,KARAMSAD Anand 388325",Residential/Group Housing,shyamshikhar001@gmail.com,9825607321,PR/GJ/ANAND/ANAND/AUDA/RAA06133/031019,Anand,03-10-2019
2920,SHREE SHANKAR APARTMENT,RAJESH BHAGWANDAS MULCHANDANI,"SATNAM, GAYAKWADI ST. NO. 4/9 CORNER, JUNCTION PLOT, Rajkot 360001",Residential/Group Housing,shreeshankarapp20@gmail.com,9624001773,PR/GJ/RAJKOT/RAJKOT/Others/RAA07209/210620,Rajkot,21-06-2020
2921,YOGI PARISAR,YOGI CORPORATION,"F.P NO 133, BLOCK NO : 2844/B UVARSAD, GANDHINAGAR Gandhinagar 382421",Residential/Group Housing,yogiparisar@gmail.com,9427075109,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA05781/240719,Gandhinagar,24-07-2019
2922,THE LANDMARK,SHELTER CORPORATION,LAXMI NIVAS BUNGLOWS BESIDE BRIGHT SCHOOL HARNI ROAD VADODARA Vadodara 390022,Residential/Group Housing,thesheltercorporation@gmail.com,9909804804,PR/GJ/VADODARA/VADODARA/Others/RAA05353/300419,Vadodara,30-04-2019
2923,VATSALYA CITY,SAFAL CORPORATION,"SURVEY NO 377 AND 375 1 BH DOCTOR SOCIETY KARAN NAGAR ROAD , KADI Mehsana 382715",Residential/Group Housing,safalelite237@gmail.com,9898214534,PR/GJ/MEHSANA/KADI/Others/RAA06764/110220,Mehsana,11-02-2020
2924,EWS-43,AHMEDABAD MUNICIPAL CORPORATION,"Sardar Patel Bhavan, Danapith, Ahmedabad Ahmedabad 380001",Residential/Group Housing,addcehp@ahmedabadcity.gov.in,9327038855,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08598/EX1/040723,Ahmedabad,11-06-2021
2925,Shyamal And Divine,Uma Developers,"202, Rishikesh Apartment, Sundarvan Society Dharampur Road, Abrama, Valsad. Valsad 396001",Residential/Group Housing,umadevelopersval@gmail.com,9427460210,PR/GJ/VALSAD/VALSAD/Others/RAA05131/220319,Valsad,22-03-2019
2926,NAKSHATRA RISE,RV BUILDCON,"C-1001, CHANDANBALA APARTMENT OPP SUVIDHA SHOPPING CENTER,PALDI Ahmedabad 380007",Residential/Group Housing,rshah087@gmail.com,9879810920,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05397/060519,Ahmedabad,06-05-2019
2927,ORCHID EXOTICA,GOYAL PROCON LLP,"10TH FLOOR COMMERCE HOUSE IV 100FT ROAD, SATELLITE, PRAHALADNAGAR Ahmedabad 380015",Residential/Group Housing,orchid.exotica.rera@gmail.com,9687610082,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05633/010719,Ahmedabad,01-07-2019
2928,SHIVAM FLATS,HARESHKUMAR TULSIDAS NAJKANI AND PRADIPKUMAR TULSIDAS NAJKANI,SHIVAM FLATS PARSANA NAGAR MAIN ROAD OPP NIRANKARI BHAVAN RAJKOT Rajkot 360002,Residential/Group Housing,rerashivamflats@gmail.com,9879072577,PR/GJ/RAJKOT/RAJKOT/Others/RAA07820/231220,Rajkot,23-12-2020
2929,AVASAR PALACE 3,PATIDAR AND COMPANY,"102,FIRST FLOOR,RAJPATH AVENUE,K PARK,MAVDI PLOT 150 FT RING ROAD,RAJKOT Rajkot 360004",Residential/Group Housing,avsaravenuerera@gmail.com,7778087773,PR/GJ/RAJKOT/RAJKOT/Others/RAA05550/EX1/011221,Rajkot,12-06-2019
2930,RAJ FLORA,MUSLIM I. BHARMAL PROP OF M B ENTERPRISE,NEAR JILLA BANK BHAVAN KASTURBA ROAD Rajkot 360002,Residential/Group Housing,rajflorarera@gmail.com,9979605200,PR/GJ/RAJKOT/RAJKOT/Others/RAA05632/010719,Rajkot,01-07-2019
2931,Nanddeep Residency,SHUBH DEVELOPERS,"6, ADARSH-23 BUNGLOWS, OPP SWATI BUNGLOWS BODAKDEV, AHMEDABAD Ahmedabad 380059",Residential/Group Housing,nanddeepresidency@gmail.com,8141517148,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA05794/A1R/051220,Ahmedabad,25-07-2019
2932,Nakshatra Residency 2,SHREE HARI BUILDCON,"10 & 11, Gitanjali Plots, Opp. Kalupur Bank, Bopal, Ahmedabad Ahmedabad 380058",Residential/Group Housing,nakshatraresidency2@gmail.com,9825024051,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06338/181119,Ahmedabad,18-11-2019
2933,GREEN HEAVEN APPARTMENT,BHARATKUMAR VAGHJIBHAI KOTAK,PROP OF GREEN HEAVEN TRADERS C O VAGHJI RATANSHI KOTAK 2 RAJNI BUILDING BHUPENDRA ROAD RAJKOT Rajkot 360001,Residential/Group Housing,greenheaventraders09@gmail.com,9227736198,PR/GJ/RAJKOT/RAJKOT/Others/RAA06561/EX1/190620,Rajkot,03-01-2020
2934,Tirth Avenue Wing - B,TIRTH BUILDCON,"Shop No. 4-A, Gol Residency,Nanamava Main Road,Rajkot RAJKOT Rajkot 360005",Residential/Group Housing,tirthbuildcon.rera@gmail.com,9824201829,PR/GJ/RAJKOT/RAJKOT/Others/RAA07234/210620,Rajkot,21-06-2020
2935,Tirth Avenue Wing - A,TIRTH BUILDCON,"Shop No. 4-A, Gol Residency,Nanamava Main Road,Rajkot RAJKOT Rajkot 360005",Residential/Group Housing,tirthbuildcon.rera@gmail.com,9824201829,PR/GJ/RAJKOT/RAJKOT/Others/RAA07217/210620,Rajkot,21-06-2020
2936,Devasya Gold,Ramdev Corporation,"No.04, Shyam Kutir Bungloes, Opp. R.P Vasani school Nikol-Naroda Road Ahmedabad 382350",Residential/Group Housing,ramdevcorporation4662@gmail.com,9825383320,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06375/261119,Ahmedabad,26-11-2019
2937,AVSAR PALACE 4,PATIDAR AND COMPANY,"102,FIRST FLOOR,RAJPATH AVENUE,K PARK,MAVDI PLOT 150 FT RING ROAD,RAJKOT Rajkot 360004",Residential/Group Housing,avsaravenuerera@gmail.com,7778087773,PR/GJ/RAJKOT/RAJKOT/Others/RAA08931/240821,Rajkot,24-08-2021
2938,Chaitanya,Creative Reality,"Shed No. 5, Near Payal Metal, Near Naramada Ring, Shapar, Kotda Sangali Rajkot 360024",Residential/Group Housing,chaitanya.rera@gmail.com,8511191119,PR/GJ/RAJKOT/RAJKOT/Others/RAA05362/010519,Rajkot,01-05-2019
2939,SARVOTTAM AVENUE,MUKESH NARANBHAI RATHOD AND OTHERS,"AMBIKA TOWNSHIP, JIVRAJ PARK, 40 FEET ROAD, RAJKOT Rajkot 360006",Residential/Group Housing,sarvottamavenue@gmail.com,7575065105,PR/GJ/RAJKOT/RAJKOT/Others/RAA08410/040521,Rajkot,04-05-2021
2940,SHIVALAY SKY,R V BUILDCON,"D48 SHARDAKRUPA SOCIETY,BEHIND JANTANAGAR,CHANDKHEDA Ahmedabad 382424",Residential/Group Housing,rvbuildcon1@gmail.com,9825521921,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05546/120619,Ahmedabad,12-06-2019
2941,West Zone Package 1 -FP 446,RAJKOT MUNICIPAL CORPORATION,Krishna Nagar Civic Center Guruprasad Chowk Rajkot 360004,Residential/Group Housing,czp1fp12a@gmail.com,9624717800,PR/GJ/RAJKOT/RAJKOT/Others/RAA06365/211119,RAJKOT,21-11-2019
2942,West Zone Package 1 -FP S3,RAJKOT MUNICIPAL CORPORATION,Krishna Nagar Civic Center Guruprasad Chowk Rajkot 360004,Residential/Group Housing,czp1fp12a@gmail.com,9624717800,PR/GJ/RAJKOT/RAJKOT/Others/RAA06355/201119,RAJKOT,20-11-2019
2943,West Zone Package 1 -FP 104,RAJKOT MUNICIPAL CORPORATION,Krishna Nagar Civic Center Guruprasad Chowk Rajkot 360004,Residential/Group Housing,czp1fp12a@gmail.com,9624717800,PR/GJ/RAJKOT/RAJKOT/Others/RAA06356/201119,RAJKOT,20-11-2019
2944,West Zone Package 3 -FP 48A,RAJKOT MUNICIPAL CORPORATION,Krishna Nagar Civic Center Guruprasad Chowk Rajkot 360004,Residential/Group Housing,czp1fp12a@gmail.com,9624717800,PR/GJ/RAJKOT/RAJKOT/Others/RAA06330/161119,Rajkot,16-11-2019
2945,West Zone Package 2 - 3A,RAJKOT MUNICIPAL CORPORATION,Krishna Nagar Civic Center Guruprasad Chowk Rajkot 360004,Residential/Group Housing,czp1fp12a@gmail.com,9624717800,PR/GJ/RAJKOT/RAJKOT/Others/RAA06641/180120,Rajkot,18-01-2020
2946,West Zone Package 2 - 2B,RAJKOT MUNICIPAL CORPORATION,Krishna Nagar Civic Center Guruprasad Chowk Rajkot 360004,Residential/Group Housing,czp1fp12a@gmail.com,9624717800,PR/GJ/RAJKOT/RAJKOT/Others/RAA06638/170120,Rajkot,17-01-2020
2947,West Zone Package 2 -6A,RAJKOT MUNICIPAL CORPORATION,Krishna Nagar Civic Center Guruprasad Chowk Rajkot 360004,Residential/Group Housing,czp1fp12a@gmail.com,9624717800,PR/GJ/RAJKOT/RAJKOT/Others/RAA06728/010220,Rajkot,01-02-2020
2948,Rajul Residency,LILAMANI INFRA,"203, Shashwat Complex, Opp. HDFC House, Nr. Mithakhali Six Road, Navrangpura Ahmedabad 380009",Residential/Group Housing,lilamaniinfra@gmail.com,9327796737,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06832/050320,Ahmedabad,05-03-2020
2949,West Zone Package 2 - 57/1,RAJKOT MUNICIPAL CORPORATION,Krishna Nagar Civic Center Guruprasad Chowk Rajkot 360004,Residential/Group Housing,czp1fp12a@gmail.com,9624717800,PR/GJ/RAJKOT/RAJKOT/Others/RAA06703/290120,Rajkot,29-01-2020
2950,West Zone Package 2 - 57/2,RAJKOT MUNICIPAL CORPORATION,Krishna Nagar Civic Center Guruprasad Chowk Rajkot 360004,Residential/Group Housing,czp1fp12a@gmail.com,9624717800,PR/GJ/RAJKOT/RAJKOT/Others/RAA06729/010220,Rajkot,01-02-2020
2951,Skydeck Seasons,SAANVI NIRMAN ORGANISER,"217-218, SECOND FLOOR, RAVIJA PLAZA, OPP. RAMBAUG, THALTEJ-SHILAJ ROAD, THALTEJ, AHMEDABAD Ahmedabad 380059",Residential/Group Housing,saanvi.seasons@gmail.com,9904402727,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07130/120620,Ahmedabad,12-06-2020
2952,ATLANTA ELIZA,Atlanta Corporation,"ATLANTA ELIZA, TP 13, FP 108 BLOCK NO 174, BHARTHANA VESU Surat 395007",Residential/Group Housing,elizaatlanta2@gmail.com,9714506570,PR/GJ/SURAT/SURAT CITY/SUDA/RAA05434/A1R/EX2/061124/280625,Surat,14-05-2019
2953,SHRI GOKUL BUNGLOWS,KARNABHAI BAVABHAI MALDHARI,"GARDEN HOUSE, MALDHARI SOCIETY, RTO RING ROAD, RAJKOT-360003 Rajkot 360003",Residential/Group Housing,shrigokulbunglows.rera@gmail.com,9925038946,PR/GJ/RAJKOT/RAJKOT/Others/RAA05505/EX1/271221,Rajkot,03-06-2019
2954,SHIV APARTMENT,SHIV ASSOCIATES,"HARI OM, 1-NAVJYOT PARK, BH JADE BLUE, 150 FEET RING ROAD, Rajkot 360005",Residential/Group Housing,ananyapmc@gmail.com,9824248391,PR/GJ/RAJKOT/RAJKOT/Others/RAA05668/080719,Rajkot,08-07-2019
2955,BANSARI HEIGHT 2,SHREE GANESH DEVELOPERS,"11 Kumar Estate , Kalyanvadi Naroda road memco Naroda Ahmedabad 382330",Residential/Group Housing,bansariheights2rera@gmail.com,9879754273,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA06573/A1R/080721,Gandhinagar,06-01-2020
2956,KRISHNA ARCADE,UJALA DEVELOPERS,"FLAT NO.A-105, AKSHARATIT ARCADE, KOTHARIYA CHOWKDI, B/H.PIRWADI, RAJKOT, GUJARAT-360002. Rajkot 360002",Residential/Group Housing,krishnaarcade.rera@gmail.com,9924424880,PR/GJ/RAJKOT/LODHIKA/Others/RAA07792/181220,Rajkot,18-12-2020
2957,BALAJI THREE,BALAJI ENTERPRISE,2 RAJHANS SOCIETY KALAWAD ROAD Rajkot 360005,Residential/Group Housing,yrathod583@gmail.com,9586820577,PR/GJ/RAJKOT/RAJKOT/Others/RAA06804/270220,Rajkot,27-02-2020
2958,AATREY EXOTICA,RACHANA INFRACON,19 SARATHI VIBHAG - 2 OPP MANIKAMAL SOCIETY THALTEJ Ahmedabad 380054,Residential/Group Housing,rachanainfracon2019@gmail.com,9824538708,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA05300/A1R/A2R/300522,Gandhinagar,22-04-2019
2959,NEW PARAS VILLA,UTTAM ENTERPRISE,OPP GANGA JAMUNA BUILDING GHANTESHWAR Rajkot 360006,Residential/Group Housing,uttamenterprise1123@gmail.com,9172264513,PR/GJ/RAJKOT/RAJKOT/Others/RAA05622/280619,Rajkot,28-06-2019
2960,ASMAN AVENUE,ASMAN DEVELOPERS,"GRIN PARK-1, BAPA SITARAM CHOWK, MAVDI MAIN ROAD, RAJKOT Rajkot 360004",Residential/Group Housing,aasmanavenuerera@gmail.com,8000270007,PR/GJ/RAJKOT/RAJKOT/Others/RAA06035/160919,Rajkot,16-09-2019
2961,SHIVAM APPARTMENT,SHIVAM DEVELOPERS,"26,0,RANGKRUPA SOCIETY VEJALPUR ROAD, VASNA Ahmedabad 380051",Residential/Group Housing,bhaveshsheth82@gmail.com,9904368236,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06824/040320,Ahmedabad,04-03-2020
2962,NEW PARAS VILLA,UTTAM ENTERPRISE,"OPP GANGA JAMUNA BUILDING, JAMNAGAR ROAD GHANTESHWAR Rajkot 360006",Residential/Group Housing,uttamenterprise11233@gmail.com,9172264513,PR/GJ/RAJKOT/RAJKOT/Others/RAA05666/080719,Rajkot,08-07-2019
2963,TULSI PATRA,VENKATESH BUILDERS,"BEHIND TULSI BAUG, NIVEDITA NAGAR 3, SOMNATH ,RAIYA ROAD Rajkot 360005",Residential/Group Housing,tulsipatra1122@gmail.com,9172264513,PR/GJ/RAJKOT/RAJKOT/Others/RAA06144/051019,Rajkot,05-10-2019
2964,Suhaan Residency,SUHAAN RESIDENCY,"Opp. Mehodist Church, Bhalej Road, Anand 388001",Residential/Group Housing,suhaanresidency123@gmail.com,7990670934,PR/GJ/ANAND/ANAND/Others/RAA07136/EX1/050225/300625,Anand,15-06-2020
2965,Samyak 49,Samyaktva Realty LLP,"53, Vijay Park, Opp. Dr. Gupta Bunglow, Navrangpura, Ahmedabad 380009",Residential/Group Housing,rera.samyak49@gmail.com,9898060368,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08742/090721,Ahmedabad,09-07-2021
2966,RAJ SHAILEE - 2,VUNISON INFRACON LLP,A-1002 SHREENIDHI RESIDENCY BLOCK NO 204 MOTA VARACHHA SURAT Surat 394101,Residential/Group Housing,rajshailee2@gmail.com,9276822293,PR/GJ/SURAT/SURAT CITY/SUDA/RAA05377/030519,Surat,03-05-2019
2967,LIG - II Raysan,GANDHINAGAR URBAN DEVELOPMENT AUTHORITY,"GUDA BHAVAN Near KH-0 Circle, S. G. Highway, Sargasan, Gandhinagar 382421",Residential/Group Housing,guda.infra@gmail.com,7043028011,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA05496/EX1/020221,Gandhinagar,31-05-2019
2968,KANTAM GREENS,KANTAM INFRASTRUCTURE,"KANTAM GREENS, OPP. JAGJIVAN SOCIETY, NR. OM RESIDENCY, ARSODIA, KALOL EAST, TALUKO : KALOL, Gandhinagar 382721",Residential/Group Housing,kantamgreens2019@gmail.com,9081451119,PR/GJ/GANDHINAGAR/KALOL/AUDA/RAA05708/150719,Gandhinagar,15-07-2019
2969,RATNABHAVAN RESIDENCY,TULSI ENTERPRISE,"G F SHOP NO 9,10,11 RAJBHAVAN RECIDENCY B/H BAPOD POLICE STATION Vadodara 390019",Residential/Group Housing,ratnabhavanresidency19@gmail.com,8401785089,PR/GJ/VADODARA/VADODARA/Others/RAA05692/A1R/250121,Vadodara,11-07-2019
2970,MONTE 9,VARNIRAJ SPACELINK,"A-20, MANMOHAN SOCIETY, B/H RAGHUNATH SCHOOL, OPP. ASHOPALAV SOCIETY Ahmedabad 382345",Residential/Group Housing,monte9.amd@gmail.com,9727077788,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05848/060819,Ahmedabad,06-08-2019
2971,River Heights,ARSH DEVELOPERS,"Majur Mahajan Building, Nr. Cama Hotel, Khanpur, Ahmedabad Ahmedabad 380001",Residential/Group Housing,arshdevelopers6555@gmail.com,9898026555,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06007/060919,Ahmedabad,06-09-2019
2972,Baagban Elite (Block H+I and J+K),ALTAIR INFRASPACE PRIVATE LIMITED,"45/02, F/F, TEHJIR CORPORATION, OPP. JANPATH HOTEL, SARKHEJ SANAND ROAD OPP. JANPATH HOTEL, SARKHEJ SANAND ROAD Ahmedabad 380055",Residential/Group Housing,baagban.elite@gmail.com,9898643996,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06746/EX1/300922,Ahmedabad,06-02-2020
2973,EWS 48,AHMEDABAD MUNICIPAL CORPORATION,"Sardar Patel Bhavan, Danapith, Ahmedabad Ahmedabad 380001",Residential/Group Housing,addcehp@ahmedabadcity.gov.in,9327038855,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09041/140921,Ahmedabad,14-09-2021
2974,Govindji Residency,GOVINDJI DEVELOPERS,"Bk No. 116B, FP No. 67/2 Paikee Sub Plot 2, TP No.21, Sarthana, Surat 395006",Residential/Group Housing,govindjidevelopers@gmail.com,9825164564,PR/GJ/SURAT/SURAT CITY/SUDA/RAA05642/A1R/100321,Surat,04-07-2019
2975,SANGATH SAGAR,MANPASAND BUILDCON,"C/o. Sangath Sagar, F. P. No.54+ 55+ 56/1 T. P. No.80, Bhat- Sughad, Nr. & Bh. Balaji Farm, Gandhinagar Airport Highway, Gandhinagar Gandhinagar 382428",Residential/Group Housing,sangathsagar@gmail.com,9879706060,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA05489/240519,Gandhinagar,24-05-2019
2976,Dream Heights,SACHI CONSTRUCTION AND DEVLOPERS,"""Matrukrupa"", Dabhor Road, Near Vithhalvadi, Veraval-362266 Gir Somnath 362266",Residential/Group Housing,rera24.dreamheight@gmail.com,9824133222,PR/GJ/GIR SOMNATH/VERAVAL/Others/RAA05866/080819,Gir Somnath,08-08-2019
2977,NEEL 55,PRAMUKH DEVELOPERS,"3/B, DHANLAKSHMI AVENUE, JAWAHARCHAWK, MANINAGAR, Ahmedabad 380008",Residential/Group Housing,neel55.rera@gmail.com,9825510687,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05837/030819,Ahmedabad,03-08-2019
2978,SAMRUDDH VILLA,Shree Aval Developers,"GROUND FLOORREVENUE SURVEY NO 389,SAMRUDDH VILLA,NR KUTCH KADVA PATIDAR VADI ODHAV Ahmedabad 382430",Residential/Group Housing,samrudhvilla@gmail.com,9624245546,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05997/050919,Ahmedabad,05-09-2019
2979,AMPLE ELYSIUM,ABYSS INFRACON,"C/1207, Titanium City Centre, Nr. Sachin Tower, 100 Ft Road, Shyamal, Satellite, Ahmedabad Ahmedabad 380015",Residential/Group Housing,info.abyssinfracon@gmail.com,9898291811,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05387/040519,Ahmedabad,04-05-2019
2980,PANCHAMRUT HEIGHTS TOWER - A,SHREE DWAR BUILDERS,"A-19, MADHAV, AMI PARK NR. MODI SCHOOL, 150 FT. RING ROAD, RAIYA Rajkot 360005",Residential/Group Housing,panchamruttowera@gmail.com,7999993934,PR/GJ/RAJKOT/RAJKOT/Others/RAA05647/A1R/281220,Rajkot,05-07-2019
2981,EARTH EVENUE,SHREENATHJI DEVELOPERS,"B 17,DARSHNAM VILLA, NR PARIVAR CHAR,WAGHODIA DABHOI RING ROAD,VADODARA-390019 Vadodara 390019",Residential/Group Housing,earthavenue2603@gmail.com,9998195364,PR/GJ/VADODARA/VADODARA/Others/RAA05785/240719,Vadodara,24-07-2019
2982,PANCHAMRUT HEIGHTS TOWER - B,SHREE DWAR BUILDERS,"A-19, MADHAV, AMI PARK NR. MODI SCHOOL, 150 FT. RING ROAD, RAIYA Rajkot 360005",Residential/Group Housing,panchamruttowerb@gmail.com,7999993934,PR/GJ/RAJKOT/RAJKOT/Others/RAA05653/050719,Rajkot,05-07-2019
2983,SAPTAK,PANDAV INCORPORATION,"OPP. RUDRAX CITY APARTMENT, BEHIND MASOOM SCHOOL, KALAWAD ROAD, MOTAMAVA , RAJKOT Rajkot 360005",Residential/Group Housing,saptakrera@gmail.com,8000270007,PR/GJ/RAJKOT/RAJKOT/Others/RAA05868/080819,Rajkot,08-08-2019
2984,Miran Residency,S N Developers,"G F Fazila Flat, Sulemani Pole, Near Subhanalla Hotel, Gendi Gate Road Vadodara 390001",Residential/Group Housing,miranresidency@gmail.com,9998177881,PR/GJ/VADODARA/VADODARA/Others/RAA07793/181220,Vadodara,18-12-2020
2985,SHREE YAMUNA LOTUS,SHREE YAMUNA INFRACON,"SHOP NO-1, SATADHAR GREEN , NEAR MANOHARVILL CROSS ROAD NIKOL-NARODA ROAD, NIKOL, Ahmedabad 382350",Residential/Group Housing,shreeyamunalotus@gmail.com,9909019442,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05372/020519,Ahmedabad,02-05-2019
2986,PALM UNIVERSE WING 2EFG,KHUSHI DEVELOPERS,"PALM UNIVERSE, 80 FEET ROAD, GANGOTRI PARK MAIN ROAD BEHIND PALM CITY, RAIYA ROAD, RAJKOT Rajkot 360007",Residential/Group Housing,prashantmundhava71@gmail.com,9913011111,PR/GJ/RAJKOT/RAJKOT/Others/RAA05803/260719,Rajkot,26-07-2019
