Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,No. of Flats/Apartments constructed,No. of Flats/ Apartments booked,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING,Document URL,OC Document Path
GGM/603/335/2022/78 DATED 17.08.2022,INDEPENDENT FLOORS AT DLF GARDENCITY ENCLAVE,DLF LIMITED,SECTOR 93,GURUGRAM,146,71,Yes,249,95,30,37,315,0,0,0,0,0,0,Not Found,Not Found,3.57 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,WOODEN FRAMES FOR DOORS UPVC/AL/MS FRAMES FOR WINDOWS,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,WHITE WASH / OBD,Not Found,Not Available
GGM/598/330/2022/73 DATED 01.08.2022,WHITELAND BLISSVILLE,WHITELAND CORPORATION PRIVATE LIMITED,SECTOR- 76,GURUGRAM,117.83,114.67,Yes,0,153.6,16.85,0,3.11,0,0,0,0,0,1184.5679,Not Found,Not Found,7.3187 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
GGM/597/329/2022/72 DATED 01.08.2022,ORCHID IVY,M/S ORCHID INFRASTRUCTURE DEVELOPERS PVT. LTD.,"M BLOCK, MAYFIELD GARDEN, SEC
TOR-51, GURGAON, HARYANA",GURUGRAM,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,4152.75 (Sqr/mtrs),Not available,Not available,MARBLE/ VITRIFIED TILES/MATT FINISH TILES/ ANTI SKID CERAMIC TILES,"MODULAR KITCHEN WITH SS SINK AND C.P FITTINGS , CERAMIC TILES IN DDO 2 FT. ABOVE GRANITE COUNTER",WINDOWS FRAMES IN POWDER COATED ALUMINIUM OR EQUIVALENT / UPVC AND DOOR FRAMES IN MARANDI / HARDWOOD,SUPERIOR ISI APPROVED / EQUIVALENT FITTINGS,PASSENGER ELEVATOR- 08 PERSONS,N/A,ACRYLIC/PLASTIC EMULSION PAINT/ OBD,Not Found,Not Available
GGM/596/328/2022/71 DATED 27.07.2022,BIRLA NAVYA (ANAIKA),AVARNA PROJECTS LLP,SECTOR 63A GURUGRAM,GURUGRAM,0,0,No,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,8331.72 (Sqr/mtrs),Not available,Not available,MARBLE / STONE / TILES / ANTI-SKID TILES / LAMINATED / EQUIVALENT,TILES / PLASTIC PAINT / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES FOR MAIN/ INTERNAL DOORS, ANODISED / POWDER COATED FRAMES FOR EXTERNAL DOOR WINDOWS",LED FOR ONLY THE COMMON AREAS,1 COMMON LIFT / PLOT + 1 ADDITIONAL LIFT IN 4BHK AS/ LAYOUT,ISI MARKED FOR ONLY THE COMMON AREAS,NA,Not Found,Not Available
GGM/592/324/2022/67 DATED 18.07.2022,PURI THE ARAVALLIS,PURI CONSTRUCTION PRIVATE LIMITED,"SECTOR 61, VILLAGE ULLAWAS",GURUGRAM,201.39,281.95,No,563.89,80.56,20,604.17,241.67,2500,26.15,32,34.54,0,0,Not Found,Not Found,10 (Acre),Not available,Not available,TILES / LAMINATED WOODEN FLOORING,"TILE ON FLOOR, WALL TILE FOR 2 FEET HEIGHT ABOVE COUNTER, OBD PAINT ABOVE THAT",HARDWOOD DOOR FRAME,ISI MARKED STANDARD FITTINGS,LIFTS WITH MS POWDER COATED / SS FINISH CABINS,ISI MARKED STANDARD FITTING,"TILES / LAMINATED WOODEN FLOORING, OBD PAINT ON WALLS , & OTHER DETAILS AS PER DRAWING",https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mjc4,oc\GGM-592-324-2022-67 DATED 18.07.2022-OC_uploaded.pdf
GGM/590/322/2022/65 DATED 18.07.2022,ASHIANA AMARAH PHASE I & IA,ASHIANA HOUSING LIMITED,"VILL. WAZIRPUR , SEC 93 , GUR
UGRAM",GURUGRAM,190,50,Yes,70,67,14,132.712,12,0,0,6,0,0,0,Not Found,Not Found,5.041 (Acre),Not available,Not available,VITRIFIED TILES (600X600) OR (800X800).,TILES - SAND-CEMENT PLASTER AND A COAT OF POP WITH COATING OF EMULSION PAINT.,"2 TO 3 TRACK ALUMINIUM/UPVC FRAMED WINDOW, WITH 2 TO 3 SLIDING PANELS DEPENDING UPON SIZE WITH CLEAR FLOAT GLASS AND PROVISION FOR FLY MESH SHUTTER.",MODULAR ELECTRICAL SWITCHES WITH SOCKETS AND FAN REGULATORS OF SSK/ANCHOR/NORTH WEST/LEGRAND OR EQUIVALENT,NA,NA,"LIFT LOBBY IN BASEMENT, STILT/GROUND FLOOR AND UPPER FLOORS: GRANITE AND/OR MARBLE AND/OR QUARTZ STONE AND /VITRIFIED TILES AND/OR CERAMIC TILES AND/OR CEMENT SAND PLASTER AND/OR OTHER LOCAL STONE AND/OR COMBINATION OF ANY TWO OR MORE ITEMS WITH EMULSION PAINT FINISH (WHEREVER APPLICABLE).",https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mjc3,oc\GGM-590-322-2022-65 DATED 18.07.2022-OC_uploaded.pdf
GGM/588/320/2022/63 DATED 11.07.2022,MVN ATHENS,MVN INFRASTRUCTURE PVT LTD,"SECTOR- 5, DHAULA ROAD , SOHN
A",GURUGRAM,65.58,95.42,Yes,92.02,22.64,4.02,6.07,3.44,0.00,0.00,10,0.00,0.00,5.985,Not Found,Not Found,8.25 (Acre),Not available,Not available,"ALL ROOMS VITRIFIED FLOORING, TOILETS CERAMIC FLOORING.",OPEN KITCHEN WITH MARBLE PLATFORM.,"RED MERANDI DOOR FRAMES AND Z SECTION WINDOW FRAMES, BALCONY DOOR FRAME IS PRESSED STEEL.",AS PER APPROVED DRAWING,AS PER APPROVED DRAWINGS,AS PER APPROVED DRAWINGS,PUTTY/ POP/ OIL BOUND DISTEMPER,Not Found,Not Available
GGM/586/318/2022/61 DATED 04.07.2022,SS LINDEN RESIDENTIAL FLOORS - II,SS GROUP PRIVATE LIMITED,"SS LINDEN, SECTOR-84",GURUGRAM,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,1.8511 (Acre),Not available,Not available,ITALIAN MARBLE & VITRIFIED TILES,GLAZED 600MM HIGH TILES ABOVE COUNTER LEVEL & BALANCE ACRYLIC PAINT,SOLID HARDWOOD / UPVC FRAMES,MODULER TYPE,01 NO PASSENGER WITH 06 PERSONS CAPACITY,MODULER TYPE,ACRYLIC EMULSION PAINT,Not Found,Not Available
GGM/581/313/2022/56 DATED 27.06.2022,SIGNATURE GLOBAL CITY 63A (1),SIGNATUREGLOBAL (INDIA) LIMITED,VILLAGE KADARPUR SECTOR 63,GURUGRAM,185.03,112.51,No,0,60.19,7.69,0,10.57,0,0,0,0,0,0,Not Found,Not Found,5.0125 (Acre),Not available,Not available,MARBLE / STONE I TILES I ANTI-SKID TILES / LAMINATED I EQUIVALENT,TILES / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES, ANODISED / POWDER COATED FRAMES FOR WINDOWS/ UPVC","LED FOR ONLY THE COMMON AREAS, ISI MARKED",1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,OBD / TILES EQUIVALENT,Not Found,Not Available
GGM/579/311/2022/54 DATED 27.06.2022,ASHIANA ANMOL PHASE III & PLAZA PH II,ASHIANA HOUSING LIMITED,VILL. DHUNELA SEC 33 SOHNA,GURUGRAM,216.51,102.70,Yes,162.69,0,13.54,205.26,3.28,0,0,12.43,0,0,1.2555,Not Found,Not Found,6.7879 (Acre),Not available,Not available,LIVING/ DINING / LOBBY : DOUBLE CHARGED VITRIFIED TILES BEDROOM: DOUBLE CHARGED VITRIFIED TILES KITCHEN. OF HOUSE DOUBLE CHARGED VITRIFIED TILES BATHROOM & BALCONY : CERAMIC TILES,"DOUBLE CHARGED VITRIFIED TILES, 600MM HIGH CERAMIC TILES DADO ABOVE PLATFROM AND PLASTIC PLASTIC EMULSION OF PLEASING SHADE. KITCHEN PLATFORM IN QUALITY QUARTZIGRANITE STONE WITH STAINLESS STEEL SINK WITH STAINLESS, SHINK DRAIN AND PROVISION FOR HOT AND COLD WATER SUPPLY.",FOLDED STEEL SECTION,"CONVENIENT PROVISION AND DISTRIBUTION OF LIGHTS AND ELECTRIC FITTINGS POWER PLUGS; PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM, GAS PIPELINE AND WATER PURIFIER POINT IN KITCHEN.",TWO GEARLESS HIGH SPEED AUTOMATIC LIFTS IN EACH BLOCK WITH DG BACKUP.,NA,NA,Not Found,Not Available
GGM/575/307/2022/50 DATED 13.06.2022,SHREE VARDHMAN MANTRA(RESI.)/ SHOPPING MART,SHREE VARDHMAN BUILDPROP PVT LTD,"SECTOR-67,VILLAGE BADSHAPUR,G
URUGRAM",GURUGRAM,310.43,264.30,Yes,56.00,175.92,43.19,0,7.57,48.22,0,0,0,0,0,1203,1203,11.262 (Acre),31-12-2024,30,CERAMIC TILES/ MARBAL FLOORING,MARBLE COUNTER WITH 2 DADO,HARDWOOD/FLUSH DOORS,ISI MARKED,MARBELE FLOORING/ KOTA STONE,ISI MARKED,OBD,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTA4OA==,oc\GGM-575-307-2022-50 DATED 13.06.2022-OC_uploaded.pdf
GGM/573/305/2022/48 DATED 06.06.2022,SIGNATUEGLOBAL PARK V (2),SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE DHUNELA, SECTOR 36, S
OHNA DISTRICT,GURUGRAM",GURUGRAM,0,0,No,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,1.7756 (Acre),Not available,Not available,MARBLE / STONE I TILES I ANTI-SKID TILES / LAMINATED I EQUIVALENT,TILES / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES, ANODISED / POWDER COATED FRAMES FOR WINDOWS/ UPVC","LED FOR ONLY THE COMMON AREAS, ISI MARKED",1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,OBD / TILES EQUIVALENT,Not Found,Not Available
GGM/572/304/2022/47 DATED 06.06.2022,SIGNATURE GLOBAL PARK IV(2),SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE HARIYAHARA, SECTOR 36
, SOHNA, DISTT. GURUGRAM",GURUGRAM,0,0,No,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,3.938 (Acre),Not available,Not available,VITRIFIED / CERAMIC TILES,GRANITE COUNTER,"WOODEN (DOOR FRAME), MS / ALUMINIUM N/ UPVC (WINDOW FRAME)",ISI MARKED,OTIS,ISI MARKED,OBD,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTE3Ng==,oc\GGM-572-304-2022-47-OC_uploaded.pdf
GGM/562/294/2022/37 DATED 16.05.2022,CENTRAL PARK FLOWER VALLEY - PHASE III,ST. PATRICKS REALTY PVT LTD,"SECTOR 29,30, 32 & 33, SOHNA,
DIST. GURUGRAM",GURUGRAM,1172.22,606.82,Yes,7.96,482.54,132.42,4.32,23.33,0,0,0,0,0,2.2027,Not Found,Not Found,47.759 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
GGM/561/293/2022/36 DATED 16.05.2022,VATIKA INDIA NEXT (PHASE-II),VATIKA LIMITED,"VILLAGE SIHI, SHIKOHPUR, SIKA
NDERPUR BADHA, & KHERKIDAULA, SECTOR- 81-85",GURUGRAM,1624.21,1212.71,Yes,320.00,0,303.48,242.20,505.05,0,0,50.00,0,0,40.108,2118,1225,295.406 (Acre),31-03-2029,72,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
GGM/553/285/2022/28 DATED 25.04.2022,BIRLA NAVYA (DRISHA 1B),AVARNA PROJECTS LLP,SECTOR 63A GURUGRAM,GURUGRAM,0,0,No,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,2908.1 (Sqr/mtrs),Not available,Not available,MARBLE / STONE / TILES / ANTI-SKID TILES / LAMINATED / EQUIVALENT,TILES / PLASTIC PAINT / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES FOR MAIN/ INTERNAL DOORS, ANODISED / POWDER COATED FRAMES FOR EXTERNAL DOOR WINDOWS",LED FOR ONLY THE COMMON AREAS,1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,ACRYLIC PAINT,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTEwOQ==,oc\GGM-553-285-2022-28 DATED 25.04.2022-OC_uploaded.pdf
GGM/551/283/2022/26 DATED 15.03.2022,LUMINARE PHASE 3 (TOWER B),MAHINDRA HOMES PRIVATE LIMITED,"SECTOR 59 ,BEHRAMPUR ,GURUGRA
M ,HARYANA 122001",GURUGRAM,34.69,41.27,Yes,638.73,20.14,5.44,143.43,1.37,0,0,5.84,0,0,0,Not Found,Not Found,1.415 (Acre),Not available,Not available,LIVING ROOM / DINING FAMILY LOUNGE - ITALIAN/ IMPORTED MARBLE BED ROOM-LAMINATED WOODEN FLOOR KITCHEN-ANTI-SKID VITRIFIED TILES TOILETS-ANTI-SKID VITRIFIED TILES BATHROOMS -ANTI-SKID VITRIFIED TILES BALCONIES / TERRACES-ANTI-SKID VITRIFIED TILES SERVANT ROOM & TOILET-ANTI-SKID VITRIFIED TILES APARTMENT LIFT LOBBIES (PRIVATE).-ITALIAN/ IMPORTED MARBLE,"CERAMIC TILES ABOVE KITCHEN PLATFORM UPTO APPROXIMATELY 2 FEET AND LOW VOC ACRYLIC EMULSION PAINT IN THE BALANCE AREA,CEILING - LOW VOC ACRYLIC EMULSION PAINT AND PART GYPSUM BOARD FALSE CEILING AS PER DESIGN. MODULAR KITCHEN CABINET WITH GRANITE COUNTER-TOP, HOB (HAFFELE), CHIMNEY WILL BE PROVIDED.","DOORS - WOODEN FRAME WITH FLUSH DOOR WITH VENEER FINISH (ON BOTH SIDES) & ARCHITRAVES,UPVC FRAMED DOUBLE GLAZING UNIT,WOODEN FRAME WITH FLUSH DOOR WITH BOTH SIDE LAMINATED FINISH & ARCHITRAVE.",HEAVY DUTY/ MEDIUM DUTY,HIGH SPEED ELEVATORS- BY THYSSENKRUPP OR EQUIVALENT,MODULAR,LOW VOC ACRYLIC EMULSION,Not Found,Not Available
GGM/550/282/2022/25 DATED 11.04.2022,DLF GARDENCITY ENCLAVE,M/S. DLF LIMITED,SECTOR 93,GURUGRAM,504,246,Yes,863,250,103,130,1090,0,0,0,0,0,1.141,Not Found,Not Found,26.91875 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/ODcw,oc\GGM-550-282-2022-25 DATED 11.04.2022-OC_uploaded.pdf
GGM/543/275/2022/18 DATED 14.03.2022(SUPERSEDED BY GGM/692/424/2023/36 DATED 02.02.2023),THE NATION,JMS INFRA REALITY PRIVATE LIMITED,"SECTOR 95, WAZIRPUR",GURUGRAM,123.27,42.42,Yes,98.42,134.95,113.55,0,52.95,250,400,0,0,0,0,Not Found,Not Found,16.55625 (Acre),Not available,Not available,NOT APPLICABLE,NA,NA,NA,NA,NA,NA,Not Found,Not Available
GGM/538/270/2022/13 DATED 21.02.2022,THE GROVE,DLF LIMITED,"DLF 5, SECTOR 54",GURUGRAM,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,5.3073 (Acre),Not available,Not available,TILE/STONE/MARBLE/GRANITE,N/A,MODULAR / UPVC/ AL,MODULAR FITTINGS AND MODULAR TOUCH SWITCHES IN SELECT AREAS. HOME AUTOMATION WITH CONTROL DEVICE IN SELECT AREAS,BRANDED MAKE,MODULAR FITTINGS AND MODULAR TOUCH PANELS IN SELECT AREAS,N/A,Not Found,Not Available
GGM/531/263/2022/06 DATED 02.02.2022,M3M CAPITAL,UNION BUILDMART PRIVATE LIMITED,"SECTOR -113, GURUGRAM MANESAR
URBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,205.11,300.32,Yes,48.38,140.06,57.68,645.85,8.36,0,0,49.48,0,0,0,Not Found,Not Found,4.856 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATED WOODEN FLOOR/CERAMIC TILE,N.A.,EXTERNAL ALUMINIUM WITH GLASS INTERNAL – WOODEN,AS PER APPROVED MAKE,3 LIFT PER TOWER,AS PER APPROVED MAKE,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mjg5,oc\GGM-531-263-2022-06-OC_uploaded.pdf
GGM/528/260/2022/03 DATED 24.01.2022,INDEPENDENT FLOORS AT DLF CITY PHASE I & III,DLF HOMES PANCHKULA PRIVATE LIMITED,"DLF CITY PHASE I AND DLF CITY
PHASE III, GURUGRAM, HARYANA",GURUGRAM,0,0,No,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,0.8964 (Acre),Not available,Not available,IPS FLOORING / TILES / MARBLE / GRANITE / LAMINATED WOOD,WHITE WASH / OBD,MS OR AL OR WOODEN OR UPVC,MODULAR FITTINGS / MODULAR TOUCH SWITCHES IN SELECT AREASAS PER DESIGN,BRANDED MAKE,MODULAR FITTINGS / MODULAR TOUCH SWITCHES IN SELECT AREAS AS PER DESIGN. HOME AUTOMATION WITH CONTROL DEVICE INSELECT AREAS AS PER DESIGN,NA,Not Found,Not Available
GGM/520/252/2021/88 DATED 20.12.2021,"INDEPENDENT FLOORS AT DLF CITY PHASE I, II & III",DLF RESIDENTIAL DEVELOPERS LIMITED,"DLF CITY PHASE I, II & III, G
URUGRAM, HARYANA",GURUGRAM,0,0,No,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,0.9092 (Acre),Not available,Not available,IPS FLOORING / TILES / MARBLE / GRANITE / LAMINATED WOOD,WHITE WASH / OBD,MS OR AL OR WOODEN OR UPVC,MODULAR FITTINGS / MODULAR TOUCH SWITCHES IN SELECT AREAS AS PERDESIGN,BRANDED MAKE,MODULAR FITTINGS / MODULAR TOUCH SWITCHES IN SELECT AREAS AS PER DESIGN. HOME AUTOMATION WITH CONTROL DEVICE IN SELECT AREAS AS PER DESIGN,NA,Not Found,Not Available
GGM/518/250/2021/86 DATED 20.12.2021,THE MILLENNIA-IV,STERNAL BUILDCON PRIVATE LIMITED,"VILLAGE GADAULI KALAN, SECTOR
37D, GURUGRAM-MANESAR, DIST. GURUGRAM, HARYANA",GURUGRAM,117.36,164.52,No,0,173.42,18.08,0,16.34,0,0,0,0,0,0,Not Found,Not Found,5.89 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN (DOOR FRAME), MS / ALUMINIUMN/ UPVC (WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA,Not Found,Not Available
GGM/511/243/2021/79 DATED 15.11.2021,WESTERLIES,EXPERION DEVELOPERS PVT. LTD.,SECTOR 108,GURUGRAM,567.64,51.23,Yes,0,40.56,61.51,0,39.07,0,0,0,3.0,0,0,Not Found,Not Found,16.03125 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NzYz,oc\GGM-511-243-2021-79 DATED 15.11.2021-OC_uploaded.pdf
GGM/506/238/2021/74 DATED 03.11.2021,SMARTWORLD ORCHARD,SUPOSHAA REALCON PRIVATE LIMITED,"SECTOR -61, GURUGRAM MANESAR
URBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,903.51,156.2,Yes,372.0,180.0,76.96,5.00,34.44,0,0,0,0,0,0,Not Found,Not Found,20.60902 (Acre),Not available,Not available,VITRIFIED TILE / LAMINATED WOODEN FLOORING / CERAMIC TILE,GRANITE COUNTER WITH SS SINK,HARDWOOD DOOR FRAME WITH LAMINATED FLUSH/WOODEN DOOR,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,NA,Not Found,Not Available
GGM/503/235/2021/71 DATED 27.10.2021,GREEN OAKS,COUNTRYWIDE PROMOTERS PRIVATE LIMITED,SECTOR 70 A GURUGRAM,GURUGRAM,344,82,Yes,178,98,18,0,46,0,0,0,0,0,1.347,Not Found,Not Found,15.5625 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Not Found,Not Available
GGM/502/234/2021/70 DATED 25.10.2021,SMARTWORLD GEMS,ADHIKAANSH REALTORS PRIVATE LIMITED,"SECTOR-89, GURUGRAM MANESAR U
RBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,2420,294,Yes,352,628,201,16,238,0,0,0,0,0,0,Not Found,Not Found,14.21 (Acre),Not available,Not available,VITRIFIED TILE / LAMINATED WOODEN FLOORING / CERAMIC TILE,GRANITE COUNTER WITH SS SINK,HARDWOOD DOOR FRAME WITH LAMINATED FLUSH/WOODEN DOOR,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,NA,Not Found,Not Available
GGM/501/233/2021/69 DATED 25.10.2021,M3M SOULITUDE,AAWAM RESIDENCY PRIVATE LIMITED,"SECTOR-89, GURUGRAM MANESAR U
RBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,27292.28 (Sqr/mtrs),Not available,Not available,VITRIFIED TILE / LAMINATED WOODEN FLOORING / CERAMIC TILE,GRANITE COUNTER WITH SS SINK,HARDWOOD DOOR FRAME WITH LAMINATED FLUSH/WOODEN DOOR,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,NA,Not Found,Not Available
GGM/494/226/2021/62 DATED 11.10.2021,SIGNATURE GLOBAL PARK-1(1),SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE DHUNELA, SECTOR 36",GURUGRAM,85.68,90.00,No,0,55.49,11.51,0,0,0,0,0,0,0,0,Not Found,Not Found,3.91 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTE3OA==,oc\GGM-494-226-2021-62 DATED 11.10.2021-OC_uploaded.pdf
GGM/491/223/2021/59 DATED 21.09.2021,"INDEPENDENT FLOORS AT DLF ALAMEDA, SEC 73",DLF HOME DEVELOPERS LIMITED,SECTOR 73,GURUGRAM,0,0,No,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,2.78 (Acre),Not available,Not available,IPS FLOORING / TILES / MARBLE / GRANITE,WHITE WASH / OBD,MS OR AL,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,ACRYLIC EMULSION PAINT /OBD,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTE0MQ==,oc\GGM-491-223-2021-59-OC_uploaded.pdf
GGM/482/214/2021/50 DATED 07.09.2021,ASHIANA ANMOL PHASE II,ASHIANA HOUSING LIMITED,"VILL. DHUNELA, SECTOR - 33, T
ESHIL SOHNA",GURUGRAM,97.97,54.37,Yes,162.69,8.98,8.13,92.21,6.07,0,0,7.88,0,0,1723.591,300,229,2.40928 (Acre),30-04-2026,0,LIVING/ DINING / LOBBY : DOUBLE CHARGED VITRIFIED TILES BEDROOM: DOUBLE CHARGED VITRIFIED TILES KITCHEN: DOUBLE CHARGED VITRIFIED TILES BATHROOM & BALCONY : CERAMIC TILES,"DOUBLE CHARGED VITRIFIED TILES, 600MM HIGH CERAMIC TILES DADO ABOVE PLATFROM AND PLASTIC PLASTIC EMULSION OF PLEASING SHADE. KITCHEN PLATFORM IN QUALITY QUARTZ/GRANITE STONE WITH STAINLESS STEEL SINK WITH STAINLESS, SHINK DRAIN AND PROVISION FOR HOT AND COLD WATER SUPPLY.",FOLDED STEEL SECTION,"CONVENIENT PROVISION AND DISTRIBUTION OF LIGHTS AND POWER PLUGS ; PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM, GAS PIPELINE AND WATER PURIFIER PPOINT IN KITCHEN.",TWO GEARLESS HIGH SPEED AUTOMATIC LIFTS IN EACH BLOCK WITH DG BACKUP.,NA,NA,Not Found,Not Available
GGM/477/209/2021/45 DATED 27.07.2021,SIGNATURE GLOBAL CITY 81,STERNAL BUILDCON PRIVATE LIMITED,"VILLAGE NAKHDOLA, SECTOR 81",GURUGRAM,213.44,159.73,No,0,127.33,18.38,0,0,0,0,0,0,0,0,Not Found,Not Found,11.9778 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NDEw,oc\GGM-477-209-2021-45-OC_uploaded.pdf
GGM/471/203/2021/39 DATED 27.07.2021,SIGNATURE GLOBAL CITY 92,SIGNATURE INFRBUILD PVT. LTD.,"VILLAGE MEVKA, WAZIRPUR, SECT
OR-92, GURUGRAM",GURUGRAM,257.71,188.81,No,0,106.59,15.81,0,0,0,0,0,0,0,0,Not Found,Not Found,7.806 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NDQ3,oc\GGM-471-203-2021-39-OC_uploaded.pdf
GGM/470/202/2021/38 DATED 27.07.2021,SIGNATURE GLOBAL CITY 92,SIGNATURE INFRBUILD PVT. LTD.,"VILLAGE MEVKA, WAZIRPUR, SECT
OR-92, GURUGRAM",GURUGRAM,257.71,188.81,No,0,106.59,15.81,0,0,0,0,0,0,0,0,Not Found,Not Found,10.30 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NDEy,oc\GGM-470-202-2021-38-OC_uploaded.pdf
GGM/463/195/2021/31 DATED 13.07.2021,SIGNATURE GLOBAL CITY 37D - 1,SIGNATUREGLOBAL DEVELOPERS PVT LTD,"VILLAGE GADULI KALAN, SECTOR-
37D, GURUGRAM",GURUGRAM,317.82,223.01,No,0,194.03,31.60,0,0,0,0,0,0,0,0,Not Found,Not Found,15.502 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NzM1,oc\GGM-463-195-2021-31-OC_uploaded.pdf
