Name,Rera ID,NoBroker RERA ID,Builder Project RERA ID,Address,Price Starting From,Unit Configuration,Parking,Property Type,Water Supply,Builder,Date of establishment,Date of completion,Units,Min Flat Size,Max Flat Size,Project Area,Min. Price,Possesion Date,Security,Amenities,Top Benefits
RAJAPUSHPA PRISTINIA,P02400006086,Not Found,Not Found,"Shanthi Nagar, Near pipe Line Rd, Kokapet, Hyderabad, Telangana 500075",Not Found,"2,3,4 BHK",Bike and Car,Apartment,Borewell,RAJAPUSHPA INFRA PRIVATE LIMITED,Not Found,February 2028,1782,Not Found,Not Found,12.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Lift, Security, Children's play area, Park, Internet services",Not Found
CASAGRAND HANFORD,P02400006229,Not Found,Not Found,"Pahadi Shareef, Mamidpalli, Hyderabad, Telangana 500005",Not Found,4 BHK,Bike and Car,Apartment,Borewell,CASAGRAND HYDERWISE PRIVATE LIMITED,Not Found,April 2028,140,Not Found,Not Found,10.00 acres,Not Found,Not Found,Gated Security,"Gym, Lift, Security, Intercom, Children's play area, Park",Not Found
Sumadhura Epitome,PRM/KA/RERA/1251/446/PR/190924/007044,Not Found,Not Found,"Near SRI VIVEKANANDA PUBLIC SCHOOL, Rachenahalli, Thanisandra, Bangalore.",₹1.35 Crores - ₹2.23 Crores,"2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Sumadhura Infracon Pvt Ltd,January 2012,Not Found,262,871 sqft,1452 sqft,3.75 acres,₹1.56 Cr,December 2027,Gated Security,"Tennis court, Security, Children's play area, Badminton court, Indoor games, Power backup","18000 sqft Clubhouse with 40+ Amenities, 80% Open Space, Lake View Residences"
Assetz 22 and Crest,TOR/PRM/KA/RERA/1251/309/PR/220802/000219,Not Found,Not Found,"Opposite Inani interior solutions,Yeshwanthpur Industrial Suburb,Mahalakshmi Layout,Bangalore",,3 BHK,Bike and Car,Apartment,Corporation and Borewell,Assetz Property Group,January 2006,Not Found,197,956 sqft,1216 sqft,1.79 acres,₹1.94 Cr,September 2024,Gated Security,"Power backup, Visitor parking, Gym, Spa, Vastu compliant, Security",Not Found
Eldeco Live by the Greens,UPRERAPRJ15172 | UPRERAPRJ121123 | UPRERAPRJ575706,Not Found,Not Found,"Near Eldeco Cricket Ground, Pushta Road, Sector 150, Noida",₹1.46 Crores - ₹1.79 Crores,"2,3 BHK",Bike and Car,Apartment,Not Found,Eldeco Group,January 1975,Not Found,1056,807 sqft,994 sqft,19.98 acres,₹1.46 Cr,June 2025,Gated Security,"Skating rink, Visitor parking, Swimming pool, Basketball court, Party area, Lift",Not Found
Esteem South Park,PRM/KA/RERA/1251/310/PR/090523/005912,Not Found,Not Found,"Kammanahalli Village, South, Begur Hobli, Gottigere, Bengaluru, Karnataka 560083",₹65 Lacs onwards,2 BHK,Bike and Car,Apartment,Corporation and Borewell,Esteem Group,Not Found,Not Found,Not Found,513 sqft,513 sqft,2.06 acres,₹78 Lacs,December 2026,Gated Security,"Basketball court, Party area, Children's play area, Rain water harvesting, Security, Sewage treatment plant","Vastu Compliant Homes, Prime Location, Easy Access to Daily Essentials"
Smartworld One Dxp,RC/REP/HARERA/GGM/645/377/2022/120,Not Found,Not Found,"Near Naani Fresh.com, Dwarka Expressway, Sector 113, Gurugram",₹4.47 Crores - ₹5.52 Crores,"2.5,3.5,4+ BHK",Bike and Car,Apartment,Not Found,SmartWorld Developers Pvt Ltd,January 2021,Not Found,928,822 sqft,2104 sqft,16.00 acres,₹4.47 Cr,December 2027,Gated Security,"Shopping center, Rain water harvesting, Maintenance staff, Tennis court, Vastu compliant, Children's play area",Not Found
Sunteck Sky Park,Not Found,A51800026821,P51700050167,"Near Star Bazaar, Kanakia Road, Mira Road, Mumbai",₹1.21 Crores - ₹1.7 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Sunteck Realty Limited,January 1981,Not Found,400,665 sqft,1051 sqft,8.00 acres,₹1.35 Cr,December 2029,Gated Security,"Gym, Cctv camera, Rain water harvesting, Wifi, Maintenance staff, Tennis court","Proximity To Mira Road railway station, 40+ world-class amenities, Close To Western Express Hwy"
Sattva Lumina,PRM/KA/RERA/1251/472/PR/060924/007009,Not Found,Not Found,"Near Vishwa Vidyapeeth Takshashila, Rajanukunte, Yelahanka, Bangalore.",₹44.76 Lacs - ₹1.85 Crores,"1,1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Sattva Group,January 1993,Not Found,1553,293 sqft,1272 sqft,13.00 acres,₹45.16 Lacs,November 2029,Gated Security,"Spa, Children's play area, Rain water harvesting, Golf course, Security, Spa/steam/sauna","50000 Sqft of Grand Clubhouse, Located on a Lush 13 acre Property, 37+ Luxuries Amenities"
Saheel ITrend Futura,Not Found,A51800026821,P52100050688,"Near Bombay Creamery Cafe, Baner Mahalunge road, Mahalunge, Pune",₹73.68 Lacs - ₹1.23 Crores,"2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Saheel Properties,January 2009,Not Found,1200,721 sqft,1342 sqft,6.00 acres,₹84 Lacs,December 2028,Gated Security,"Vastu compliant, Party area, Servant room, Power backup, Spa, Swimming pool","Close to BNG-MUM Highway, Lavish Homes with Luxury Amenities, Easy Access to Daily Essentials"
Runwal Pinnacle,Not Found,A51800026821,P51800021322,"Near Fortis Hospital,Goregaon Link Road,Mulund West,Mumbai",,"1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Subodh Runwal Group,January 1978,Not Found,700,460 sqft,1005 sqft,10.50 acres,₹1.26 Cr,June 2026,Gated Security,"Aerobics room, Lift, Skating rink, Atm, Basketball court, Visitor parking",Not Found
Modi Lotus Homes,P02500000103,Not Found,Not Found,"ECIL - Keesara Rd, Kundanpally, Secunderabad, Telangana 501301",Not Found,"1,2,3 BHK",Bike and Car,Apartment,Borewell,Modi Properties,Not Found,September 2022,522,Not Found,Not Found,4.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
SS The Leaf,GGM/329/61/2019/23 DATED 01.05.2019,Not Found,Not Found,"Near Antriksh Heights,Sector 85, New gurgaon,Gurugram",,"2,3.5,4,4+ BHK",Bike and Car,Apartment,Not Found,SS Group,January 1992,Not Found,560,984 sqft,2688 sqft,11.00 acres,₹1.23 Cr,December 2019,Gated Security,"Basketball court, Party area, House keeping, Children's play area, Air conditioner, Security",Not Found
Rajapushpa Provincia,Not Found,Not Found,Not Found,"Narsingi, Hyderabad.",₹1.49 Crores - ₹2.03 Crores,"2,3 BHK",Bike and Car,Apartment,Not Found,Rajapushpa Properties,Not Found,Not Found,Not Found,756 sqft,1029 sqft,1.00 acres,₹1.71 Cr,March 2025,Gated Security,"Party area, Rain water harvesting, Tennis court, Lift, Gym, Cctv camera","A, B, C"
Lodha Azur,PRM/KA/RERA/1251/310/PR/220324/006728,Not Found,Not Found,"Near Indian Oil petrol Bunk,Akshay Nagar, Begur Village, Bengaluru",₹3.57 Crores - ₹11.9 Crores,"2,2.5,3,3.5,4,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Lodha Group,January 1980,Not Found,450,1030 sqft,5923 sqft,10.00 acres,₹3.75 Cr,October 2029,Gated Security,"Lift, Visitor parking, Park, Power backup, Security, Badminton court","Reputed Grade A Builder, Near to International Schools&Hospitals, Grand Spacious Homes"
Piramal Vaikunth,Not Found,A51800026821,P51700024580,"Near Hotel Raj Residency., Old Agra Road, Balkum , Balkum Pada, Mumbai",₹63.16 Lacs - ₹5.7 Crores,"1,1.5,2,2.5,3,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Piramal Realty,Not Found,Not Found,560,317 sqft,2500 sqft,34.00 acres,₹72 Lacs,June 2026,Gated Security,"Vastu compliant, Security, Cctv camera, Sewage treatment plant, Visitor parking, Power backup","Connectivity To Old Agra HWY Road, Lush Greenery With Upto 40% Open Space, Proximity To Thane Train Station, From The Reputed Builder Piramal"
Dosti Eastern Bay Phase 1,Not Found,A51800026821,P51900030769,"Wadala East, Mumbai, Maharashtra, INDIA.",Not Found,Not Found,Bike,Apartment,Corporation and Borewell,DOSTI REALTY LTD,Not Found,September 2027,170,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,"Gym, Children's play area, Fire safety",Not Found
Ashwin Sheth Avalon,Not Found,A51800026821,P51700015517,"Near Jupiter Hospital, Majiwada, Thane West, Mumbai, India",₹3.17 Crores - ₹6.5 Crores,"3,4,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Ashwin Sheth Group,Not Found,Not Found,120,1455 sqft,2722 sqft,5.50 acres,₹3.87 Cr,December 2025,Gated Security,"Tennis court, Lift, Community hall, Common garden, Party area, Badminton court",Not Found
Nahar Grandeur,Not Found,Not Found,Not Found,,Not Found,Not Found,Not Found,Apartment,Corporation and Borewell,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
Rajapushpa Imperia,P01100003723,Not Found,Not Found,"Tellapur, Hyderabad, Telangana 502032",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,Rajapushpa Properties,Not Found,September 2027,3008,Not Found,Not Found,24.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Godrej Woodland,PRM/KA/RERA/1250/304/PR/210208/003856,Not Found,Not Found,"Chikkathirupathi Main Road, Thiruvaranga, Sarjapura, Bangalore",₹50 Lacs onwards,1 BHK,Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,680,Not Found,1800 sqft,100.00 acres,₹50 Lacs,December 2025,Gated Security,"Lift, Gym, Park, Power backup, Security, House keeping","Plenty Of Open Spaces & Greenery, A Project By Reputed Builder, Away From Urban Mess"
Mantra Mirari,Not Found,A51800026821,P52100049704,"Near Tao Architecture Pvt. Ltd,Upper Koregaon Park,Mundhwa,Pune",₹2.32 Crores - ₹2.68 Crores,"3,4,4+ BHK",Bike and Car,Apartment,Not Found,Mantra Properties,Not Found,Not Found,296,1156 sqft,1916 sqft,3.50 acres,₹2.6 Cr,June 2026,Gated Security,"Spa/steam/sauna, Security, Children's play area, Badminton court, Indoor games, Spa","Proximity to Cerebrum IT Park, Close to Pune Airport, Close to Vimannagar Metro Station, Spacious Homes with 25+ Luxury Amenities"
Emaar Palm Gardens,Not Found,Not Found,Not Found,"Sector 83, Gurugram, Haryana",Not Found,3 BHK,Bike and Car,Apartment,Borewell,Emaar India,Not Found,December 2018,1094,Not Found,Not Found,22.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Children's play area",Not Found
Primark Northwave,P02200007723,Not Found,Not Found,"Near The Lords Box Cricket, Sundar Rao Nagar, Suraram, Hyderabad.",₹69.44 Lacs - ₹96.67 Lacs,"2,2.5,3 BHK",Bike and Car,Apartment,Borewell,Primark Projects,January 2011,Not Found,1026,815 sqft,1140 sqft,13.50 acres,₹83.33 Lacs,November 2028,Gated Security,"Visitor parking, Skating rink, Basketball court, Sewage treatment plant, Lift, Community hall","Premium and Eco Friendly Apartments, Good Connectivity To IT Hubs, 2 Grand Luxurious Clubhouses"
Rathi Mansarovar Residency,Not Found,A51800026821,P51700006054 | P51700006405 | P51700002268,"Kalyan - Shilphata Road, Shilphata, Mumbai, Maharashtra 421204",Not Found,"1,1 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,Not Found,Not Found,184 sqft,346 sqft,Not Found,Not Found,Not Found,Gated Security,"Security, Children's play area, Shopping center, Fire safety, Rain water harvesting, Cctv camera",Not Found
Casagrand Suncity Phase 1,TN/35/Building/0053/2024,Not Found,Not Found,"Near Casagrand International School, Melakottaiyur, Kelambakkam Vandalur Main Road, Chennai.",₹61.98 Lacs - ₹1.47 Crores,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Casagrand Builder Private Limited,January 2003,Not Found,1402,671 sqft,1832 sqft,13.00 acres,₹69.42 Lacs,July 2027,Gated Security,"Library, Tennis court, Security, Golf course, Children's play area, Badminton court","130+ lifestyle amenities with 32,000 Sft, 2 Acres of Ultra Modern Clubhouse, 80% Open Space"
M1 Terra Alegria Phase 2,PRM/KA/RERA/1250/304/PR/091122/005424,Not Found,Not Found,"Near M Visvesvaraya PU & Degree College, Alappanahalli, Hoskote, Bangalore.",,4 BHK,Bike and Car,Apartment,Borewell,M1 Homes,Not Found,Not Found,159,2120 sqft,2244 sqft,9.50 acres,₹1.89 Cr,June 2026,Gated Security,"Rain water harvesting, Community hall, Park, Tennis court, Shopping center, Indoor games",Not Found
"Bright Aristo, Brightera Builders",Not Found,Not Found,Not Found,"Gat No. 144, Kesnand, Maharashtra 412207, India",Not Found,Not Found,Bike and Car,Apartment,Corporation and Borewell,Bright Era Builders,Not Found,June 2019,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Godrej Madison Avenue,P02400009227,Not Found,Not Found,"Near The Global Edge School, Golden Mile Road, Kokapet, Hyderabad",₹2.89 Crores - ₹3.84 Crores,"3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,350,1480 sqft,2110 sqft,3.00 acres,₹3.46 Cr,December 2029,Gated Security,"Lift, Visitor parking, Power backup, Security, Swimming pool, Common garden","Reputed Grade A Builder, Luxuries 3 and 4 BHK Apartments, Just 20 Min to INOX Prism Mall"
Trident Embassy Reso,UPRERAPRJ785019,Not Found,Not Found,"Near Police station Bisrakh, Bisrakh Road, Sector 1, Greater Noida West/ Noida Extension",₹1.06 Crores - ₹1.76 Crores,"2,2.5,3,3.5,4 BHK",Bike and Car,Apartment,Not Found,Trident Realty,January 2008,Not Found,572,700 sqft,1345 sqft,3.20 acres,₹1.06 Cr,December 2025,Gated Security,"Children's play area, Rain water harvesting, Security, Club house, Indoor games, Intercom",Not Found
Adani Codename Triumph,Not Found,A51800026821,"P51800055125 , P51800055166","Near Mangatram petrol & CNG gas station,Ambedkar Nagar Kanjurmarg west , Mumbai",₹1.3 Crores - ₹4.52 Crores,"1,2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Adani Realty,January 1988,Not Found,400,508 sqft,1730 sqft,9.00 acres,₹1.48 Cr,December 2029,Gated Security,"Badminton court, Fire safety, Common garden, Children's play area, Visitor parking, Security","15 mins to Kanjurmarg Railway Stn, Connectivity to Eastern suburbs, Spacious apartments w/modern amenities, Proximity to upcoming Metro Line 4"
Dinesh Auric,P02200002992,Not Found,Not Found,"AURIC,BACHUPALLE,BACHUPALLE,Medchal-Malkajgiri,500090",Not Found,Not Found,Bike,Apartment,Corporation and Borewell,DINESH PROJECTS,Not Found,March 2027,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Fire safety,Not Found
Godrej Green Terraces,Not Found,A51800026821,P52000077918,"Near Subway, Thombrewadi, Panvel, Mumbai.",₹1.05 Crores - ₹1.54 Crores,"1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,600,467 sqft,988 sqft,7.00 acres,₹1.17 Cr,December 2032,Gated Security,"Vastu compliant, Park, Common garden, Cctv camera, Lift, Rain water harvesting","Nestled In The Heart Of Godrej City, Lush Greenery Apartments, Lifestyle Amenities"
Urbanrise On Cloud 33,P02200003724,Not Found,Not Found,"Near Mamatha Academy Of Medical Science, Bachupally village, Medchal, Hyderabad",₹68.07 Lacs - ₹1.62 Crores,"1.5,2.5,3,3.5,4,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Urbanrise,January 2017,Not Found,2066,560 sqft,1435 sqft,9.26 acres,₹81.68 Lacs,March 2026,Gated Security,"Gym, Indoor games, Wifi, Power backup, Amphitheater, Vastu compliant","Located In Bachupally-Miyapur Main Rd, Reminiscent Of Singapore Cityscapes, Moroccan Style Clubhouse, No Pre EMI till 24 months"
Urbanrise The World of Joy,TN/35/Building/0397/2023 dated 14/09/2023,Not Found,Not Found,"Near PSBB School, Kazhipattur,Siruseri, Chennai",₹58.85 Lacs - ₹72.99 Lacs,"1,1,2,3 BHK",Bike and Car,Apartment,Borewell,Urbanrise,January 2017,Not Found,2880,216 sqft,689 sqft,10.13 acres,₹70.62 Lacs,December 2026,Gated Security,"Security, Gym, Children's play area, Common garden, Power backup, Basketball court","45,000 SQ. FT.Grand Clubhouse, 1 Acre Of Large Park With Amenities, 12K sqft Urbanrise Genius"
Aparna Zenon,P02400003722,Not Found,Not Found,"ORR Service Rd - Lanco Hills Link Rd, Khajaguda, Hyderabad, Telangana 500075",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,April 2025,3664,Not Found,Not Found,30.00 acres,₹1.14 Cr,Not Found,Gated Security,"Lift, Club house, Security, Intercom, Children's play area, Gas pipeline",Not Found
IVY County,UPRERAPRJ757529,Not Found,Not Found,"IVY County, Noida, India",,"3,4 BHK",Bike and Car,Apartment,Borewell,County Group,Not Found,Not Found,545,1010 sqft,1534 sqft,5.10 acres,₹1.37 Cr,November 2023,Gated Security,"Security, Children's play area, Badminton court, House keeping, Jogging track, Shopping center",Not Found
Keltech Kumar Imperial Greens,UPRERAPRJ3375,Not Found,Not Found,"Sector 16, Panchsheel Green, Greater Noida, Uttar Pradesh 201309",Not Found,"2,3,3.5 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,January 2021,384,Not Found,Not Found,3.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Children's play area",Not Found
Godrej Tropical Isle,UPRERAPRJ303390,Not Found,Not Found,"Near Noida Sector 146 Metro Station, Noida-Greater Noida Expressway, Sector 146, Noida",,"3,4 BHK",Bike and Car,Apartment,Not Found,Godrej Properties,January 1990,Not Found,1000,1170 sqft,2048 sqft,6.00 acres,₹6.25 Cr,February 2030,Gated Security,"Gas pipeline, Security, Badminton court, Maintenance staff, House keeping, Swimming pool",Not Found
Lakevista At Purva Windermere,TN/29/Building/0008/2023,Not Found,Not Found,"Near Sri Chaitanya Techno School, Bhavani Amman Koil Street, Pallikaranai, Chennai",₹52 Lacs - ₹1.28 Crores,"1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Puravankara Limited,January 1975,Not Found,800,394 sqft,939 sqft,7.90 acres,₹59.8 Lacs,December 2027,Gated Security,"Community hall, Party area, Rain water harvesting, Park, Shopping center, Indoor games","55 Acres Township | 76% Open Space, Lakeside Leisure and Aquamarine Centre, Proximity To Embassy Tech Zone, 40+ World Class Amenities"
JP North Celeste,Not Found,A51800026821,P51700008667,"Vinay Nagar Rd, Kashimira, Mira Bhayandar, Maharashtra 401107",Not Found,"1,2 BHK",Car,Apartment,Borewell,JP Infra,Not Found,June 2019,283,309 sqft,593 sqft,0.00 acres,₹70.48 Lacs,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Central Park The Orchard,RERA-GRG-1158-2022,Not Found,Not Found,"CENTRAL PARK THE ORCHARD,Situated in Sector-32, Tehsil-Sohna, Gurugram,Sohna,GURUGRAM",Not Found,Not Found,Not Found,Apartment,Corporation and Borewell,ST PATRICKS REALTY PRIVATE LIMITED,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
Shree Luxurio 75 Residences,Not Found,Not Found,Not Found,"Shree Luxurio 75 Residences, Hyderabad, India",₹1 Crore onwards,1 BHK,Bike and Car,Apartment,Corporation and Borewell,Shree Kamala Estates LLP,Not Found,Not Found,Not Found,400 sqft,400 sqft,0.00 acres,₹1.2 Cr,November 2024,Gated Security,"Gym, Security, Children's play area, Common garden, Cctv camera, Power backup",Not Found
Aparna Sunstone,P02400007601,Not Found,Not Found,"Vattinagulapally Village Road, Gopanpally, Ranga Reddy, Hyderabad, Telangana 500078",₹2.03 Crores onwards,3 BHK,Bike and Car,Apartment,Corporation and Borewell,Aparna Constructions,Not Found,Not Found,2871,1100 sqft,1100 sqft,0.00 acres,₹2.03 Cr,December 2028,Gated Security,"Party area, Fire safety, Intercom, Vastu compliant, Common garden, Rain water harvesting",Not Found
Sobha Aranya,RC/REP/HARERA/GGM/808/540/2024/35 dated 01-April-2024,Not Found,Not Found,"Near Under The Neem Restaurant, Karma Lake Land Golf Course, Sector 80, Sector 80, New gurgaon, Gurgaon.",₹7.37 Crores - ₹11.14 Crores,"3,4 BHK",Bike and Car,Apartment,Not Found,Sobha Limited,January 1995,Not Found,900,1786 sqft,2699 sqft,31.00 acres,₹7.37 Cr,October 2030,Gated Security,"Security, Gym, Children's play area, Servant room, Cctv camera, Basketball court","Stunning Forestscape & Golf Course Views, Luxuries 3 & 4 BHK Flats, Premium and Eco Friendly Appartments"
Sumadhura The Olympus,P02400003072,Not Found,Not Found,"Near Waverock busstop, Nanakaramguda, Financial District, Hyderabad",₹2.15 Crores - ₹3.47 Crores,"2.5,3,3.5,4 BHK",Bike and Car,Apartment,Borewell,Sumadhura Developer,Not Found,Not Found,854,1052 sqft,2100 sqft,5.80 acres,₹2.58 Cr,January 2027,Gated Security,"Jogging track, Swimming pool, Basketball court, Library, Lift, Community hall","Proximity To Financial District, Tallest Edifice In Financial District, 200 Acres Of Botanical Gardens, Close To Hi- Tech City Railway Station"
Kashish Manor One Gurgaon,Not Found,Not Found,Not Found,"Northern Peripheral Rd, Sector 111, NPR, Gurugram, Haryana 122017",Not Found,"1,2,3,4 BHK",Bike and Car,Apartment,Borewell,Kashish Developers Pvt Ltd,Not Found,December 2021,700,Not Found,Not Found,10.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Suraj The Palette,Not Found,A51800026821,P51900008207,"Near CCIL Bhavan,SK Bole Marg ,Dadar West ,Mumbai",₹6.05 Crores - ₹10.09 Crores,"2,3 BHK",Bike and Car,Apartment,Not Found,Suraj Estate Developers Ltd,January 1986,Not Found,108,905 sqft,1466 sqft,1.00 acres,₹6.9 Cr,December 2025,Gated Security,"Jogging track, Swimming pool, Lift, Club house, Gas pipeline, Gym","Off Eastern Express Highway, Affordable With Best Of Amenities, 40 Storied Luxury Residential Tower, Views of the Bandra-Worli & Arabian Sea"
Arihant Abode,UPRERAPRJ15792,Not Found,Not Found,"Near BP petrol pump & CNG, Greater Noida West/Noida Extension, Sector 10, Greater Noida",₹94.8 Lacs - ₹1.24 Crores,"2,3 BHK",Bike and Car,Apartment,Borewell,Arihant Group,January 1998,Not Found,943,642 sqft,800 sqft,5.00 acres,₹94.8 Lacs,December 2025,Gated Security,"Vastu compliant, Party area, Power backup, Community hall, Swimming pool, Badminton court","Near to Maripat Railway Station, Close to Daily Essentials, Luxury Homes with Modern Amenities"
Provident Ecopolitan,PRM/KA/RERA/1251/309/PR/110823/006165,Not Found,Not Found,"Near Provident White oaks, Huvinayakanahalli,Bagalur, Bangalore",₹49.52 Lacs - ₹1.43 Crores,"1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Provident Housing Limited,January 2008,Not Found,1100,341 sqft,900 sqft,12.00 acres,₹52 Lacs,April 2029,Gated Security,"Party area, Jogging track, Fire safety, Spa/steam/sauna, Vastu compliant, Park","Reputed Grade A Builder, 30+ Amenities | World Class Clubhouse, Established Location, Competitive Pricing"
Godrej Lakeside Orchard,PRM/KA/RERA/1251/446/PR/300924/007105,Not Found,Not Found,"Near State Bank of India, Hadosiddapura Village, Off sarjapura Road, Carmelaram, Bangalore.",₹1.89 Crores - ₹3.22 Crores,"2,3,3.5,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,1050,765 sqft,1701 sqft,16.00 acres,₹2.27 Cr,September 2030,Gated Security,"Squash court, Gym, Gas pipeline, Indoor games, Skating rink, Power backup","47,200 sq. ft. Lavish Clubhouse, Located Near RGA Tech Park, 85% Open Spaces"
Renaissance Reserva,PRM/KA/RERA/1251/309/PR/190614/002602,Not Found,Not Found,"Near Muthyallamma Railway Bridge, Gokula Extension, Jalahalli, Bangalore.",₹1.24 Crores - ₹1.31 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Renaissance Holdings,Not Found,Not Found,214,786 sqft,1138 sqft,2.55 acres,₹1.43 Cr,April 2024,Gated Security,"Rain water harvesting, Gym, Cctv camera, Jogging track, Children's play area, Vastu compliant",Not Found
CRC Joyous,UPRERAPRJ613747,Not Found,Not Found,"Near Galaxy Vega Techzone-IV, Techzone 4, Amrapali Dream Valley, Greater Noida West/ Noida Extension",₹1.98 Crores - ₹2.24 Crores,"2,3,4 BHK",Bike and Car,Apartment,Not Found,CRC Group,January 1985,Not Found,536,637 sqft,1121 sqft,4.00 acres,₹1.98 Cr,September 2027,Gated Security,"Party area, Tennis court, Fire safety, Spa/steam/sauna, Vastu compliant, Badminton court","Proposed Metro Station At 100m Distance, Individual Drop Zone In Each Tower, Nature And Modern World Coexist"
Raheja Lunaris,Not Found,A51800026821,P51700076867,"Near Reserve Bank Information Technology Pvt Ltd, Jui Gaon, Juinagar, Mumbai.",₹1.09 Crores - ₹1.89 Crores,"2,2.5 BHK",Bike and Car,Apartment,Corporation and Borewell,Raheja Universal,January 1980,Not Found,2112,452 sqft,725 sqft,65.00 acres,₹1.24 Cr,December 2030,Gated Security,"Security, Gym, Indoor games, Children's play area, Common garden, Cctv camera","Luxurious Amenities, Panoramic Views Apartments, Close To Juinagar Train Station"
Anuhar Rami Reddy Towers,P51800030439,Not Found,Not Found,"Puppalguda, Rd Number 13, Hyderabad, Telangana 500089",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,June 2024,370,Not Found,1714 sqft,4.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Lift, Club house, Security, Intercom, Children's play area",Not Found
Tulip Monsella,GGM/554/286/2022/29 DATED 25.04.2022,Not Found,Not Found,"Near Centrum Plaza, Golf Course Rd, Sector 53, Gurugram",,"3,4+ BHK",Bike and Car,Apartment,Not Found,Tulip Infratech Pvt Ltd,January 2006,Not Found,970,1638 sqft,2822 sqft,20.00 acres,₹7.98 Cr,December 2030,Gated Security,"Badminton court, Jogging track, Fire safety, Children's play area, Air conditioner, Visitor parking",Not Found
Vivanta Next,Not Found,A51800026821,P52100050053,"Near Samadhan Mutton Bhakri, Newale Wasti, Tathawade, Pune.",₹51.79 Lacs - ₹66.07 Lacs,"2,3 BHK",Bike and Car,Apartment,Borewell,Shree Sonigara Punamiya Developers,Not Found,Not Found,297,703 sqft,897 sqft,2.00 acres,₹58 Lacs,September 2026,Gated Security,"Fire safety, Children's play area, Common garden, Visitor parking, Lift, Rain water harvesting","Modern Housing 2 and 3 BHK Homes, Major Connecting Roads Of The City, Best Modern Amenities"
Bhandari 7 Plumeria Drive,Not Found,A51800026821,P52100050087,"Near Anusaya Ovhal Madhyamik School, Dange Chowk, Tathawade, Pune",₹1.49 Crores - ₹2.56 Crores,"2,3,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Bhandari Associates,Not Found,Not Found,820,800 sqft,1904 sqft,8.00 acres,₹1.7 Cr,March 2026,Gated Security,"House keeping, Basketball court, Gym, Aerobics room, Fire safety, Rain water harvesting","Connectivity To Bangalore-Mumbai Highway, Near To Hinjewadi IT Park, 80% Open Space & Premium Amenities"
Sri Aditya Athena,P02400001111,Not Found,Not Found,"Near Western Plaza, OU Colony, Shaikpet, Hyderabad",₹1.77 Crores onwards,3 BHK,Bike and Car,Apartment,Borewell,Sri Aditya Homes,January 1991,Not Found,522,1115 sqft,1533 sqft,6.00 acres,₹2.03 Cr,November 2024,Gated Security,"Party area, Rain water harvesting, Security, Community hall, Sewage treatment plant, Gym","Proximity To Old Mumbai Highway, Proximity to IT Hub, 2/3 Level Parking, Proximity to Jubilee Hills Metro"
